mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller	ILMN_cov	ONT_cov	UG_cov
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPts	SNPts	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2797104425.0	1148.0	2220070.0	128574.0	0.9716135848303517	0.9994831664429156	0.9999540352912876	0.0547439288372354	0.9452560711627646	0.9452560711627646	HG006	ultima	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPtv	SNPtv	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2798283977.0	651.0	1041015.0	78619.0	0.9633230000462684	0.9993750396000254	0.999971905356328	0.0702184821111184	0.9297815178888816	0.9297815178888816	HG006	ultima	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-INS_50	INS_50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799170398.0	530.0	154715.0	32408.0	0.903793578839144	0.9965860414184032	0.9999884224180076	0.1731908958278779	0.8268091041721221	0.8268091041721221	HG006	ultima	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-INS_gt50	INS_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799325623.0	9.0	11.0	586.0	0.0356564019448946	0.55	0.9999997906639112	0.981574539363484	0.0184254606365159	0.0184254606365159	HG006	ultima	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_50	DEL_50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799164369.0	464.0	160810.0	46343.0	0.8729544794491174	0.9971229088383744	0.999983444261698	0.2237138733206856	0.7762861266793143	0.7762861266793143	HG006	ultima	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_gt50	DEL_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799325618.0	22.0	3.0	1560.0	0.0037783375314861	0.12	0.9999994427232328	0.9980806142034548	0.0019193857965451	0.0019193857965451	HG006	ultima	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_50	Indel_50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799311169.0	17.0	14457.0	5090.0	0.8498868346021575	0.9988254801713418	0.9999981816988404	0.2603980150406712	0.7396019849593287	0.7396019849593288	HG006	ultima	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_gt50	Indel_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799324875.0	10.0	758.0	610.0	0.7097378277153558	0.9869791666666666	0.9999997820903632	0.445906432748538	0.554093567251462	0.554093567251462	HG006	ultima	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2795730953.0	2851.0	3591839.0	293790.0	0.9603438035196092	0.9992068857119808	0.9998949258225502	0.0756093801029382	0.9243906198970616	0.9243906198970616	HG006	ultima	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPts	SNPts	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336302203.0	243.0	260221.0	521.0	0.9985341688315176	0.9990670495730696	0.9999984508005352	0.0019981437589648	0.9980018562410352	0.9980018562410352	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio	15.0	10.0	0.0
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPtv	SNPtv	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336444945.0	139.0	117583.0	230.0	0.998433353853992	0.9988192521363892	0.9999993163819336	0.0019522463565141	0.998047753643486	0.998047753643486	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio	15.0	10.0	0.0
