Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120
ONT1_ANA0-HG001_DBC0_0.ont.sentdont.snv.sort	(-60, 329)	(-59, 22)	(-58, 25)	(-57, 24)	(-56, 43)	(-55, 38)	(-54, 39)	(-53, 36)	(-52, 70)	(-51, 42)	(-50, 89)	(-49, 74)	(-48, 121)	(-47, 51)	(-46, 95)	(-45, 71)	(-44, 138)	(-43, 85)	(-42, 153)	(-41, 101)	(-40, 266)	(-39, 149)	(-38, 228)	(-37, 156)	(-36, 316)	(-35, 207)	(-34, 331)	(-33, 178)	(-32, 548)	(-31, 276)	(-30, 628)	(-29, 331)	(-28, 848)	(-27, 445)	(-26, 930)	(-25, 661)	(-24, 1434)	(-23, 648)	(-22, 1288)	(-21, 911)	(-20, 2430)	(-19, 1040)	(-18, 2359)	(-17, 1288)	(-16, 3957)	(-15, 2528)	(-14, 4043)	(-13, 2460)	(-12, 8269)	(-11, 3535)	(-10, 8867)	(-9, 5414)	(-8, 15513)	(-7, 7783)	(-6, 22576)	(-5, 27925)	(-4, 84118)	(-3, 93570)	(-2, 298911)	(-1, 853779)	(0, None)	(1, 399451)	(2, 176345)	(3, 55072)	(4, 63642)	(5, 19750)	(6, 19361)	(7, 5676)	(8, 14986)	(9, 4490)	(10, 8263)	(11, 2943)	(12, 7905)	(13, 1963)	(14, 3625)	(15, 2329)	(16, 4036)	(17, 1179)	(18, 2302)	(19, 914)	(20, 2714)	(21, 895)	(22, 1236)	(23, 650)	(24, 1667)	(25, 723)	(26, 936)	(27, 522)	(28, 964)	(29, 355)	(30, 804)	(31, 314)	(32, 616)	(33, 249)	(34, 487)	(35, 292)	(36, 509)	(37, 217)	(38, 320)	(39, 185)	(40, 459)	(41, 164)	(42, 253)	(43, 140)	(44, 230)	(45, 153)	(46, 175)	(47, 124)	(48, 247)	(49, 177)	(50, 165)	(51, 121)	(52, 152)	(53, 102)	(54, 125)	(55, 105)	(56, 122)	(57, 75)	(58, 102)	(59, 49)	(60, 2357)
ONT1_ANA0-HG002_DBC0_0.ont.sentdont.snv.sort	(-60, 179)	(-59, 12)	(-58, 16)	(-57, 22)	(-56, 46)	(-55, 25)	(-54, 53)	(-53, 31)	(-52, 55)	(-51, 35)	(-50, 77)	(-49, 84)	(-48, 116)	(-47, 49)	(-46, 124)	(-45, 68)	(-44, 141)	(-43, 73)	(-42, 167)	(-41, 114)	(-40, 254)	(-39, 137)	(-38, 267)	(-37, 141)	(-36, 359)	(-35, 195)	(-34, 341)	(-33, 203)	(-32, 535)	(-31, 285)	(-30, 668)	(-29, 345)	(-28, 877)	(-27, 435)	(-26, 879)	(-25, 690)	(-24, 1487)	(-23, 682)	(-22, 1376)	(-21, 899)	(-20, 2649)	(-19, 1107)	(-18, 2486)	(-17, 1419)	(-16, 4054)	(-15, 2675)	(-14, 4211)	(-13, 2630)	(-12, 8410)	(-11, 3425)	(-10, 9184)	(-9, 5621)	(-8, 15922)	(-7, 8265)	(-6, 22773)	(-5, 29415)	(-4, 87290)	(-3, 99146)	(-2, 330692)	(-1, 936633)	(0, None)	(1, 420352)	(2, 188323)	(3, 58537)	(4, 65982)	(5, 20598)	(6, 20216)	(7, 6061)	(8, 15389)	(9, 4836)	(10, 8535)	(11, 3047)	(12, 8315)	(13, 2083)	(14, 3805)	(15, 2456)	(16, 4238)	(17, 1222)	(18, 2444)	(19, 978)	(20, 2824)	(21, 950)	(22, 1306)	(23, 658)	(24, 1828)	(25, 711)	(26, 960)	(27, 503)	(28, 1007)	(29, 352)	(30, 800)	(31, 292)	(32, 615)	(33, 253)	(34, 439)	(35, 271)	(36, 500)	(37, 183)	(38, 307)	(39, 186)	(40, 429)	(41, 148)	(42, 237)	(43, 134)	(44, 204)	(45, 130)	(46, 156)	(47, 107)	(48, 237)	(49, 165)	(50, 174)	(51, 95)	(52, 123)	(53, 78)	(54, 115)	(55, 62)	(56, 99)	(57, 64)	(58, 93)	(59, 57)	(60, 1784)
ONT1_ANA0-HG003_DBC0_0.ont.sentdont.snv.sort	(-60, 242)	(-59, 23)	(-58, 21)	(-57, 14)	(-56, 54)	(-55, 23)	(-54, 58)	(-53, 30)	(-52, 61)	(-51, 42)	(-50, 93)	(-49, 90)	(-48, 110)	(-47, 46)	(-46, 111)	(-45, 83)	(-44, 138)	(-43, 82)	(-42, 165)	(-41, 114)	(-40, 285)	(-39, 141)	(-38, 253)	(-37, 168)	(-36, 361)	(-35, 209)	(-34, 351)	(-33, 199)	(-32, 546)	(-31, 286)	(-30, 646)	(-29, 340)	(-28, 897)	(-27, 430)	(-26, 862)	(-25, 697)	(-24, 1485)	(-23, 695)	(-22, 1342)	(-21, 925)	(-20, 2589)	(-19, 1113)	(-18, 2465)	(-17, 1373)	(-16, 4098)	(-15, 2695)	(-14, 4155)	(-13, 2493)	(-12, 8248)	(-11, 3407)	(-10, 9112)	(-9, 5486)	(-8, 15690)	(-7, 7889)	(-6, 22640)	(-5, 28396)	(-4, 84262)	(-3, 93360)	(-2, 300220)	(-1, 806661)	(0, None)	(1, 404579)	(2, 177553)	(3, 55130)	(4, 63362)	(5, 19880)	(6, 19759)	(7, 5833)	(8, 15206)	(9, 4691)	(10, 8364)	(11, 2900)	(12, 8130)	(13, 2030)	(14, 3745)	(15, 2413)	(16, 4239)	(17, 1194)	(18, 2426)	(19, 921)	(20, 2785)	(21, 934)	(22, 1393)	(23, 631)	(24, 1708)	(25, 725)	(26, 919)	(27, 486)	(28, 992)	(29, 339)	(30, 812)	(31, 302)	(32, 662)	(33, 255)	(34, 490)	(35, 286)	(36, 471)	(37, 203)	(38, 311)	(39, 192)	(40, 443)	(41, 158)	(42, 248)	(43, 143)	(44, 208)	(45, 148)	(46, 174)	(47, 114)	(48, 226)	(49, 172)	(50, 165)	(51, 100)	(52, 150)	(53, 92)	(54, 133)	(55, 75)	(56, 88)	(57, 62)	(58, 99)	(59, 57)	(60, 2117)
ONT1_ANA0-HG004_DBC0_0.ont.sentdont.snv.sort	(-60, 374)	(-59, 27)	(-58, 39)	(-57, 25)	(-56, 53)	(-55, 31)	(-54, 58)	(-53, 35)	(-52, 55)	(-51, 41)	(-50, 85)	(-49, 94)	(-48, 122)	(-47, 63)	(-46, 113)	(-45, 76)	(-44, 144)	(-43, 81)	(-42, 171)	(-41, 103)	(-40, 260)	(-39, 146)	(-38, 230)	(-37, 156)	(-36, 360)	(-35, 190)	(-34, 329)	(-33, 185)	(-32, 526)	(-31, 284)	(-30, 639)	(-29, 293)	(-28, 839)	(-27, 455)	(-26, 843)	(-25, 641)	(-24, 1420)	(-23, 653)	(-22, 1334)	(-21, 864)	(-20, 2504)	(-19, 1094)	(-18, 2425)	(-17, 1341)	(-16, 4035)	(-15, 2493)	(-14, 4026)	(-13, 2493)	(-12, 8195)	(-11, 3358)	(-10, 8834)	(-9, 5411)	(-8, 15558)	(-7, 7653)	(-6, 21955)	(-5, 27332)	(-4, 82067)	(-3, 88894)	(-2, 280995)	(-1, 765159)	(0, None)	(1, 400651)	(2, 175239)	(3, 54852)	(4, 63794)	(5, 19825)	(6, 19722)	(7, 5682)	(8, 15020)	(9, 4609)	(10, 8141)	(11, 2826)	(12, 8017)	(13, 1953)	(14, 3589)	(15, 2370)	(16, 4218)	(17, 1179)	(18, 2364)	(19, 907)	(20, 2759)	(21, 897)	(22, 1326)	(23, 608)	(24, 1791)	(25, 702)	(26, 998)	(27, 518)	(28, 1024)	(29, 362)	(30, 787)	(31, 297)	(32, 673)	(33, 274)	(34, 468)	(35, 312)	(36, 506)	(37, 212)	(38, 357)	(39, 198)	(40, 450)	(41, 165)	(42, 239)	(43, 150)	(44, 229)	(45, 160)	(46, 189)	(47, 117)	(48, 246)	(49, 194)	(50, 189)	(51, 100)	(52, 147)	(53, 103)	(54, 132)	(55, 88)	(56, 117)	(57, 90)	(58, 119)	(59, 70)	(60, 2438)
ONT1_ANA0-HG005_DBC0_0.ont.sentdont.snv.sort	(-60, 409)	(-59, 20)	(-58, 28)	(-57, 25)	(-56, 44)	(-55, 33)	(-54, 47)	(-53, 46)	(-52, 59)	(-51, 51)	(-50, 94)	(-49, 90)	(-48, 101)	(-47, 52)	(-46, 89)	(-45, 50)	(-44, 141)	(-43, 84)	(-42, 133)	(-41, 106)	(-40, 278)	(-39, 124)	(-38, 216)	(-37, 153)	(-36, 321)	(-35, 174)	(-34, 333)	(-33, 202)	(-32, 563)	(-31, 266)	(-30, 623)	(-29, 306)	(-28, 813)	(-27, 415)	(-26, 925)	(-25, 629)	(-24, 1487)	(-23, 646)	(-22, 1245)	(-21, 876)	(-20, 2387)	(-19, 1066)	(-18, 2384)	(-17, 1335)	(-16, 3899)	(-15, 2482)	(-14, 3963)	(-13, 2390)	(-12, 8060)	(-11, 3266)	(-10, 8828)	(-9, 5333)	(-8, 15533)	(-7, 8045)	(-6, 22953)	(-5, 29229)	(-4, 87330)	(-3, 99763)	(-2, 312147)	(-1, 891291)	(0, None)	(1, 410809)	(2, 177944)	(3, 56011)	(4, 64196)	(5, 19855)	(6, 19552)	(7, 5655)	(8, 14610)	(9, 4634)	(10, 8174)	(11, 2709)	(12, 8112)	(13, 1886)	(14, 3534)	(15, 2293)	(16, 4054)	(17, 1200)	(18, 2326)	(19, 917)	(20, 2788)	(21, 906)	(22, 1294)	(23, 646)	(24, 1723)	(25, 711)	(26, 921)	(27, 504)	(28, 992)	(29, 359)	(30, 839)	(31, 309)	(32, 694)	(33, 298)	(34, 421)	(35, 310)	(36, 554)	(37, 199)	(38, 344)	(39, 207)	(40, 482)	(41, 158)	(42, 262)	(43, 120)	(44, 204)	(45, 146)	(46, 170)	(47, 124)	(48, 238)	(49, 204)	(50, 183)	(51, 101)	(52, 157)	(53, 87)	(54, 145)	(55, 95)	(56, 120)	(57, 74)	(58, 118)	(59, 77)	(60, 2372)
ONT1_ANA0-HG006_DBC0_0.ont.sentdont.snv.sort	(-60, 385)	(-59, 15)	(-58, 31)	(-57, 29)	(-56, 55)	(-55, 28)	(-54, 65)	(-53, 38)	(-52, 62)	(-51, 56)	(-50, 103)	(-49, 93)	(-48, 102)	(-47, 61)	(-46, 84)	(-45, 67)	(-44, 143)	(-43, 87)	(-42, 135)	(-41, 111)	(-40, 271)	(-39, 134)	(-38, 226)	(-37, 155)	(-36, 311)	(-35, 175)	(-34, 328)	(-33, 201)	(-32, 515)	(-31, 235)	(-30, 622)	(-29, 327)	(-28, 784)	(-27, 418)	(-26, 878)	(-25, 633)	(-24, 1414)	(-23, 642)	(-22, 1225)	(-21, 851)	(-20, 2343)	(-19, 1016)	(-18, 2286)	(-17, 1296)	(-16, 3854)	(-15, 2529)	(-14, 3897)	(-13, 2406)	(-12, 7905)	(-11, 3176)	(-10, 8638)	(-9, 5168)	(-8, 15251)	(-7, 7480)	(-6, 21828)	(-5, 27009)	(-4, 81883)	(-3, 90982)	(-2, 284561)	(-1, 791565)	(0, None)	(1, 420626)	(2, 182308)	(3, 57167)	(4, 64834)	(5, 19961)	(6, 19875)	(7, 5720)	(8, 14870)	(9, 4609)	(10, 8289)	(11, 2721)	(12, 8198)	(13, 1950)	(14, 3700)	(15, 2349)	(16, 4062)	(17, 1181)	(18, 2427)	(19, 951)	(20, 2871)	(21, 870)	(22, 1317)	(23, 645)	(24, 1764)	(25, 732)	(26, 903)	(27, 495)	(28, 1003)	(29, 357)	(30, 850)	(31, 310)	(32, 699)	(33, 284)	(34, 433)	(35, 306)	(36, 534)	(37, 214)	(38, 348)	(39, 224)	(40, 471)	(41, 155)	(42, 271)	(43, 130)	(44, 233)	(45, 163)	(46, 193)	(47, 129)	(48, 242)	(49, 197)	(50, 206)	(51, 111)	(52, 169)	(53, 78)	(54, 135)	(55, 78)	(56, 113)	(57, 71)	(58, 111)	(59, 71)	(60, 2404)
ONT1_ANA0-HG007_DBC0_0.ont.sentdont.snv.sort	(-60, 300)	(-59, 28)	(-58, 29)	(-57, 20)	(-56, 46)	(-55, 25)	(-54, 49)	(-53, 33)	(-52, 55)	(-51, 57)	(-50, 91)	(-49, 91)	(-48, 115)	(-47, 51)	(-46, 96)	(-45, 70)	(-44, 150)	(-43, 74)	(-42, 169)	(-41, 98)	(-40, 300)	(-39, 138)	(-38, 246)	(-37, 152)	(-36, 340)	(-35, 203)	(-34, 343)	(-33, 206)	(-32, 559)	(-31, 286)	(-30, 633)	(-29, 326)	(-28, 841)	(-27, 442)	(-26, 888)	(-25, 649)	(-24, 1487)	(-23, 683)	(-22, 1306)	(-21, 875)	(-20, 2507)	(-19, 1104)	(-18, 2409)	(-17, 1357)	(-16, 3967)	(-15, 2600)	(-14, 4117)	(-13, 2412)	(-12, 8296)	(-11, 3384)	(-10, 8844)	(-9, 5416)	(-8, 15520)	(-7, 7554)	(-6, 22035)	(-5, 26717)	(-4, 81053)	(-3, 87970)	(-2, 280116)	(-1, 758639)	(0, None)	(1, 411732)	(2, 183752)	(3, 57461)	(4, 65499)	(5, 20276)	(6, 20463)	(7, 5911)	(8, 15336)	(9, 4890)	(10, 8645)	(11, 3036)	(12, 8394)	(13, 2048)	(14, 3695)	(15, 2412)	(16, 4214)	(17, 1221)	(18, 2408)	(19, 967)	(20, 2931)	(21, 964)	(22, 1381)	(23, 625)	(24, 1758)	(25, 743)	(26, 971)	(27, 474)	(28, 1074)	(29, 374)	(30, 830)	(31, 324)	(32, 684)	(33, 267)	(34, 454)	(35, 298)	(36, 578)	(37, 219)	(38, 347)	(39, 216)	(40, 467)	(41, 157)	(42, 249)	(43, 135)	(44, 224)	(45, 165)	(46, 165)	(47, 114)	(48, 241)	(49, 191)	(50, 180)	(51, 111)	(52, 145)	(53, 82)	(54, 126)	(55, 79)	(56, 118)	(57, 70)	(58, 122)	(59, 70)	(60, 2362)
ONT1_ANA1-HG001_DBC0_0.ont.sentdont.snv.sort	(-60, 270)	(-59, 17)	(-58, 28)	(-57, 24)	(-56, 41)	(-55, 33)	(-54, 44)	(-53, 26)	(-52, 65)	(-51, 44)	(-50, 91)	(-49, 78)	(-48, 115)	(-47, 47)	(-46, 100)	(-45, 68)	(-44, 147)	(-43, 80)	(-42, 149)	(-41, 113)	(-40, 276)	(-39, 143)	(-38, 230)	(-37, 158)	(-36, 341)	(-35, 205)	(-34, 355)	(-33, 195)	(-32, 556)	(-31, 281)	(-30, 652)	(-29, 338)	(-28, 876)	(-27, 466)	(-26, 909)	(-25, 652)	(-24, 1480)	(-23, 636)	(-22, 1271)	(-21, 931)	(-20, 2547)	(-19, 1044)	(-18, 2417)	(-17, 1348)	(-16, 4055)	(-15, 2554)	(-14, 4115)	(-13, 2512)	(-12, 8410)	(-11, 3630)	(-10, 9034)	(-9, 5540)	(-8, 15667)	(-7, 7935)	(-6, 22856)	(-5, 28384)	(-4, 85346)	(-3, 94758)	(-2, 305364)	(-1, 857242)	(0, None)	(1, 400430)	(2, 178734)	(3, 56189)	(4, 64260)	(5, 19987)	(6, 19703)	(7, 5757)	(8, 15261)	(9, 4672)	(10, 8371)	(11, 2998)	(12, 8052)	(13, 1984)	(14, 3694)	(15, 2329)	(16, 4087)	(17, 1161)	(18, 2310)	(19, 945)	(20, 2764)	(21, 913)	(22, 1265)	(23, 652)	(24, 1645)	(25, 712)	(26, 926)	(27, 523)	(28, 986)	(29, 344)	(30, 787)	(31, 305)	(32, 618)	(33, 262)	(34, 461)	(35, 310)	(36, 495)	(37, 199)	(38, 319)	(39, 197)	(40, 445)	(41, 147)	(42, 234)	(43, 122)	(44, 229)	(45, 144)	(46, 164)	(47, 127)	(48, 242)	(49, 187)	(50, 163)	(51, 112)	(52, 154)	(53, 92)	(54, 121)	(55, 83)	(56, 110)	(57, 74)	(58, 98)	(59, 48)	(60, 2208)
ONT1_ANA1-HG002_DBC0_0.ont.sentdont.snv.sort	(-60, 199)	(-59, 22)	(-58, 18)	(-57, 23)	(-56, 46)	(-55, 24)	(-54, 54)	(-53, 32)	(-52, 60)	(-51, 39)	(-50, 82)	(-49, 79)	(-48, 120)	(-47, 49)	(-46, 119)	(-45, 65)	(-44, 138)	(-43, 74)	(-42, 169)	(-41, 117)	(-40, 268)	(-39, 144)	(-38, 268)	(-37, 149)	(-36, 359)	(-35, 194)	(-34, 341)	(-33, 217)	(-32, 520)	(-31, 301)	(-30, 666)	(-29, 339)	(-28, 881)	(-27, 446)	(-26, 903)	(-25, 681)	(-24, 1462)	(-23, 710)	(-22, 1378)	(-21, 901)	(-20, 2604)	(-19, 1143)	(-18, 2473)	(-17, 1430)	(-16, 4042)	(-15, 2654)	(-14, 4182)	(-13, 2623)	(-12, 8423)	(-11, 3366)	(-10, 9159)	(-9, 5652)	(-8, 15799)	(-7, 8126)	(-6, 22636)	(-5, 29142)	(-4, 86009)	(-3, 97228)	(-2, 322223)	(-1, 897107)	(0, None)	(1, 414082)	(2, 185935)	(3, 57613)	(4, 65505)	(5, 20380)	(6, 20273)	(7, 6039)	(8, 15322)	(9, 4819)	(10, 8506)	(11, 2927)	(12, 8305)	(13, 2110)	(14, 3774)	(15, 2488)	(16, 4213)	(17, 1192)	(18, 2428)	(19, 947)	(20, 2830)	(21, 924)	(22, 1344)	(23, 668)	(24, 1800)	(25, 713)	(26, 934)	(27, 501)	(28, 995)	(29, 358)	(30, 800)	(31, 293)	(32, 621)	(33, 268)	(34, 446)	(35, 285)	(36, 499)	(37, 185)	(38, 318)	(39, 187)	(40, 431)	(41, 150)	(42, 246)	(43, 137)	(44, 208)	(45, 134)	(46, 168)	(47, 111)	(48, 237)	(49, 175)	(50, 169)	(51, 97)	(52, 144)	(53, 89)	(54, 115)	(55, 76)	(56, 108)	(57, 75)	(58, 96)	(59, 59)	(60, 1960)
ONT1_ANA1-HG003_DBC0_0.ont.sentdont.snv.sort	(-60, 326)	(-59, 29)	(-58, 26)	(-57, 15)	(-56, 47)	(-55, 22)	(-54, 51)	(-53, 31)	(-52, 60)	(-51, 53)	(-50, 90)	(-49, 91)	(-48, 112)	(-47, 51)	(-46, 115)	(-45, 68)	(-44, 141)	(-43, 81)	(-42, 164)	(-41, 109)	(-40, 267)	(-39, 157)	(-38, 252)	(-37, 164)	(-36, 349)	(-35, 216)	(-34, 327)	(-33, 187)	(-32, 539)	(-31, 271)	(-30, 644)	(-29, 321)	(-28, 881)	(-27, 426)	(-26, 854)	(-25, 674)	(-24, 1455)	(-23, 637)	(-22, 1321)	(-21, 930)	(-20, 2540)	(-19, 1085)	(-18, 2433)	(-17, 1314)	(-16, 3942)	(-15, 2621)	(-14, 4083)	(-13, 2430)	(-12, 8144)	(-11, 3279)	(-10, 8843)	(-9, 5333)	(-8, 15272)	(-7, 7541)	(-6, 21597)	(-5, 26769)	(-4, 80710)	(-3, 87232)	(-2, 281897)	(-1, 772769)	(0, None)	(1, 416601)	(2, 184694)	(3, 57229)	(4, 63999)	(5, 19813)	(6, 19718)	(7, 5823)	(8, 15067)	(9, 4725)	(10, 8316)	(11, 2845)	(12, 8032)	(13, 2037)	(14, 3686)	(15, 2402)	(16, 4146)	(17, 1226)	(18, 2398)	(19, 914)	(20, 2780)	(21, 945)	(22, 1382)	(23, 603)	(24, 1735)	(25, 718)	(26, 908)	(27, 499)	(28, 1003)	(29, 347)	(30, 823)	(31, 315)	(32, 666)	(33, 270)	(34, 488)	(35, 290)	(36, 499)	(37, 206)	(38, 321)	(39, 199)	(40, 470)	(41, 151)	(42, 252)	(43, 144)	(44, 218)	(45, 153)	(46, 179)	(47, 114)	(48, 240)	(49, 182)	(50, 176)	(51, 106)	(52, 150)	(53, 92)	(54, 141)	(55, 81)	(56, 104)	(57, 69)	(58, 97)	(59, 64)	(60, 2301)
