Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
ONT1_ANA0-HG001_DBC0_0.md	(0, 100.0)	(1, 94.0)	(2, 94.0)	(3, 94.0)	(4, 93.0)	(5, 93.0)	(6, 93.0)	(7, 93.0)	(8, 93.0)	(9, 93.0)	(10, 93.0)	(11, 93.0)	(12, 93.0)	(13, 93.0)	(14, 93.0)	(15, 93.0)	(16, 92.0)	(17, 92.0)	(18, 92.0)	(19, 91.0)	(20, 91.0)	(21, 90.0)	(22, 88.0)	(23, 87.0)	(24, 84.0)	(25, 82.0)	(26, 78.0)	(27, 75.0)	(28, 70.0)	(29, 65.0)	(30, 60.0)	(31, 55.00000000000001)	(32, 49.0)	(33, 44.0)	(34, 38.0)	(35, 33.0)	(36, 28.000000000000004)	(37, 24.0)	(38, 20.0)	(39, 16.0)	(40, 13.0)	(41, 11.0)	(42, 9.0)	(43, 7.000000000000001)	(44, 6.0)	(45, 4.0)	(46, 3.0)	(47, 3.0)	(48, 2.0)	(49, 2.0)	(50, 2.0)	(51, 1.0)	(52, 1.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)			
ONT1_ANA0-HG002_DBC0_0.md	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 94.0)	(6, 94.0)	(7, 94.0)	(8, 94.0)	(9, 94.0)	(10, 94.0)	(11, 94.0)	(12, 94.0)	(13, 94.0)	(14, 94.0)	(15, 93.0)	(16, 93.0)	(17, 93.0)	(18, 93.0)	(19, 93.0)	(20, 92.0)	(21, 92.0)	(22, 92.0)	(23, 91.0)	(24, 91.0)	(25, 90.0)	(26, 90.0)	(27, 90.0)	(28, 89.0)	(29, 89.0)	(30, 88.0)	(31, 88.0)	(32, 87.0)	(33, 87.0)	(34, 86.0)	(35, 85.0)	(36, 85.0)	(37, 83.0)	(38, 82.0)	(39, 80.0)	(40, 79.0)	(41, 76.0)	(42, 74.0)	(43, 71.0)	(44, 68.0)	(45, 64.0)	(46, 60.0)	(47, 56.00000000000001)	(48, 52.0)	(49, 48.0)	(50, 44.0)	(51, 40.0)	(52, 35.0)	(53, 31.0)	(54, 28.000000000000004)	(55, 24.0)	(56, 21.0)	(57, 18.0)	(58, 15.0)	(59, 13.0)	(60, 11.0)	(61, 9.0)	(62, 8.0)	(63, 6.0)	(64, 5.0)	(65, 4.0)	(66, 4.0)	(67, 3.0)	(68, 3.0)	(69, 2.0)	(70, 2.0)	(71, 2.0)
ONT1_ANA0-HG003_DBC0_0.md	(0, 100.0)	(1, 94.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 94.0)	(6, 94.0)	(7, 94.0)	(8, 94.0)	(9, 94.0)	(10, 94.0)	(11, 94.0)	(12, 93.0)	(13, 93.0)	(14, 93.0)	(15, 93.0)	(16, 92.0)	(17, 92.0)	(18, 91.0)	(19, 91.0)	(20, 90.0)	(21, 90.0)	(22, 89.0)	(23, 89.0)	(24, 88.0)	(25, 88.0)	(26, 87.0)	(27, 86.0)	(28, 85.0)	(29, 83.0)	(30, 82.0)	(31, 80.0)	(32, 77.0)	(33, 74.0)	(34, 71.0)	(35, 68.0)	(36, 64.0)	(37, 59.0)	(38, 55.00000000000001)	(39, 50.0)	(40, 45.0)	(41, 40.0)	(42, 36.0)	(43, 31.0)	(44, 27.0)	(45, 23.0)	(46, 20.0)	(47, 16.0)	(48, 14.000000000000002)	(49, 11.0)	(50, 9.0)	(51, 8.0)	(52, 6.0)	(53, 5.0)	(54, 4.0)	(55, 3.0)	(56, 3.0)	(57, 2.0)	(58, 2.0)	(59, 2.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)
ONT1_ANA0-HG004_DBC0_0.md	(0, 100.0)	(1, 94.0)	(2, 94.0)	(3, 94.0)	(4, 93.0)	(5, 93.0)	(6, 93.0)	(7, 93.0)	(8, 93.0)	(9, 93.0)	(10, 93.0)	(11, 93.0)	(12, 93.0)	(13, 93.0)	(14, 92.0)	(15, 92.0)	(16, 92.0)	(17, 92.0)	(18, 91.0)	(19, 90.0)	(20, 89.0)	(21, 88.0)	(22, 86.0)	(23, 84.0)	(24, 81.0)	(25, 77.0)	(26, 73.0)	(27, 68.0)	(28, 63.0)	(29, 57.99999999999999)	(30, 52.0)	(31, 46.0)	(32, 41.0)	(33, 35.0)	(34, 30.0)	(35, 25.0)	(36, 21.0)	(37, 17.0)	(38, 14.000000000000002)	(39, 11.0)	(40, 9.0)	(41, 7.000000000000001)	(42, 6.0)	(43, 4.0)	(44, 3.0)	(45, 3.0)	(46, 2.0)	(47, 2.0)	(48, 1.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)								
ONT1_ANA0-HG005_DBC0_0.md	(0, 100.0)	(1, 94.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 94.0)	(6, 94.0)	(7, 94.0)	(8, 93.0)	(9, 93.0)	(10, 93.0)	(11, 92.0)	(12, 92.0)	(13, 91.0)	(14, 90.0)	(15, 90.0)	(16, 89.0)	(17, 88.0)	(18, 86.0)	(19, 84.0)	(20, 82.0)	(21, 80.0)	(22, 77.0)	(23, 73.0)	(24, 69.0)	(25, 64.0)	(26, 59.0)	(27, 53.0)	(28, 47.0)	(29, 42.0)	(30, 36.0)	(31, 31.0)	(32, 26.0)	(33, 21.0)	(34, 17.0)	(35, 14.000000000000002)	(36, 11.0)	(37, 9.0)	(38, 7.000000000000001)	(39, 5.0)	(40, 4.0)	(41, 3.0)	(42, 3.0)	(43, 2.0)	(44, 2.0)	(45, 1.0)	(46, 1.0)	(47, 1.0)	(48, 1.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)											
ONT1_ANA0-HG006_DBC0_0.md	(0, 100.0)	(1, 94.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 94.0)	(6, 94.0)	(7, 94.0)	(8, 93.0)	(9, 93.0)	(10, 93.0)	(11, 92.0)	(12, 91.0)	(13, 91.0)	(14, 90.0)	(15, 89.0)	(16, 88.0)	(17, 86.0)	(18, 85.0)	(19, 82.0)	(20, 80.0)	(21, 76.0)	(22, 73.0)	(23, 68.0)	(24, 63.0)	(25, 57.99999999999999)	(26, 52.0)	(27, 46.0)	(28, 40.0)	(29, 35.0)	(30, 28.999999999999996)	(31, 24.0)	(32, 20.0)	(33, 16.0)	(34, 13.0)	(35, 10.0)	(36, 8.0)	(37, 6.0)	(38, 5.0)	(39, 4.0)	(40, 3.0)	(41, 2.0)	(42, 2.0)	(43, 1.0)	(44, 1.0)	(45, 1.0)	(46, 1.0)	(47, 1.0)	(48, 1.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)															
ONT1_ANA0-HG007_DBC0_0.md	(0, 100.0)	(1, 94.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 93.0)	(6, 93.0)	(7, 93.0)	(8, 93.0)	(9, 93.0)	(10, 93.0)	(11, 93.0)	(12, 93.0)	(13, 93.0)	(14, 93.0)	(15, 93.0)	(16, 93.0)	(17, 93.0)	(18, 92.0)	(19, 92.0)	(20, 92.0)	(21, 91.0)	(22, 91.0)	(23, 90.0)	(24, 88.0)	(25, 87.0)	(26, 85.0)	(27, 82.0)	(28, 79.0)	(29, 75.0)	(30, 71.0)	(31, 66.0)	(32, 61.0)	(33, 56.00000000000001)	(34, 51.0)	(35, 45.0)	(36, 40.0)	(37, 35.0)	(38, 30.0)	(39, 25.0)	(40, 21.0)	(41, 18.0)	(42, 15.0)	(43, 12.0)	(44, 10.0)	(45, 8.0)	(46, 6.0)	(47, 5.0)	(48, 4.0)	(49, 3.0)	(50, 3.0)	(51, 2.0)	(52, 2.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)
ONT1_ANA1-HG001_DBC0_0.md	(0, 100.0)	(1, 94.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 93.0)	(6, 93.0)	(7, 93.0)	(8, 93.0)	(9, 93.0)	(10, 93.0)	(11, 93.0)	(12, 93.0)	(13, 93.0)	(14, 93.0)	(15, 93.0)	(16, 93.0)	(17, 93.0)	(18, 93.0)	(19, 92.0)	(20, 92.0)	(21, 92.0)	(22, 92.0)	(23, 91.0)	(24, 91.0)	(25, 90.0)	(26, 89.0)	(27, 87.0)	(28, 85.0)	(29, 83.0)	(30, 80.0)	(31, 77.0)	(32, 73.0)	(33, 69.0)	(34, 64.0)	(35, 60.0)	(36, 55.00000000000001)	(37, 50.0)	(38, 44.0)	(39, 39.0)	(40, 34.0)	(41, 30.0)	(42, 26.0)	(43, 22.0)	(44, 18.0)	(45, 15.0)	(46, 12.0)	(47, 10.0)	(48, 8.0)	(49, 7.000000000000001)	(50, 5.0)	(51, 4.0)	(52, 4.0)	(53, 3.0)	(54, 2.0)	(55, 2.0)	(56, 2.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)
ONT1_ANA1-HG002_DBC0_0.md	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 94.0)	(6, 94.0)	(7, 94.0)	(8, 94.0)	(9, 94.0)	(10, 94.0)	(11, 94.0)	(12, 94.0)	(13, 94.0)	(14, 93.0)	(15, 93.0)	(16, 93.0)	(17, 93.0)	(18, 93.0)	(19, 92.0)	(20, 92.0)	(21, 91.0)	(22, 91.0)	(23, 90.0)	(24, 90.0)	(25, 89.0)	(26, 89.0)	(27, 89.0)	(28, 88.0)	(29, 87.0)	(30, 87.0)	(31, 86.0)	(32, 85.0)	(33, 84.0)	(34, 83.0)	(35, 82.0)	(36, 80.0)	(37, 78.0)	(38, 75.0)	(39, 72.0)	(40, 69.0)	(41, 65.0)	(42, 61.0)	(43, 56.99999999999999)	(44, 53.0)	(45, 48.0)	(46, 44.0)	(47, 39.0)	(48, 35.0)	(49, 31.0)	(50, 27.0)	(51, 23.0)	(52, 20.0)	(53, 17.0)	(54, 14.000000000000002)	(55, 12.0)	(56, 10.0)	(57, 8.0)	(58, 7.000000000000001)	(59, 5.0)	(60, 4.0)	(61, 4.0)	(62, 3.0)	(63, 3.0)	(64, 2.0)	(65, 2.0)	(66, 2.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)
ONT1_ANA1-HG003_DBC0_0.md	(0, 100.0)	(1, 94.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 94.0)	(6, 94.0)	(7, 94.0)	(8, 94.0)	(9, 94.0)	(10, 93.0)	(11, 93.0)	(12, 93.0)	(13, 92.0)	(14, 92.0)	(15, 91.0)	(16, 91.0)	(17, 90.0)	(18, 90.0)	(19, 89.0)	(20, 88.0)	(21, 87.0)	(22, 86.0)	(23, 84.0)	(24, 83.0)	(25, 80.0)	(26, 78.0)	(27, 75.0)	(28, 71.0)	(29, 67.0)	(30, 63.0)	(31, 57.99999999999999)	(32, 53.0)	(33, 48.0)	(34, 42.0)	(35, 37.0)	(36, 32.0)	(37, 28.000000000000004)	(38, 23.0)	(39, 19.0)	(40, 16.0)	(41, 13.0)	(42, 11.0)	(43, 8.0)	(44, 7.000000000000001)	(45, 5.0)	(46, 4.0)	(47, 3.0)	(48, 3.0)	(49, 2.0)	(50, 2.0)	(51, 1.0)	(52, 1.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)		
