Sample	aligner	AlignedBases	AlignedBasesPct	AlignedReadLengthMean	AlignedReadLengthMedian	AlignedReadLengthMode	AlignedReadLengthStandardDeviation	ChimericReadPairPct	DeletedBases	DeletedBasesPct	DuplicateBases	DuplicateBasesPct	DuplicateReads	DuplicateReadsPct	FilteredRecords	FilteredRecordsPct	InputFileName	InputFileSize	InsertSizeMean	InsertSizeMedian	InsertSizeMode	InsertSizeStandardDeviation	InsertedBases	InsertedBasesPct	MappedBases	MappedBasesPct	MappedReads	MappedReadsPct	MatchedBases	MatchedBasesPct	MismatchedBases	MismatchedBasesPct	PerfectBases	PerfectBasesPct	PerfectReads	PerfectReadsPct	Q20Bases	Q20BasesPct	R1AlignedBases	R1AlignedBasesPct	R1AlignedReadLengthMean	R1AlignedReadLengthMedian	R1AlignedReadLengthMode	R1AlignedReadLengthStandardDeviation	R1DeletedBases	R1DeletedBasesPct	R1InsertedBases	R1InsertedBasesPct	R1MappedBases	R1MappedBasesPct	R1MappedReads	R1MappedReadsPct	R1MatchedBases	R1MatchedBasesPct	R1MismatchedBases	R1MismatchedBasesPct	R1PerfectBases	R1PerfectBasesPct	R1PerfectReads	R1PerfectReadsPct	R1Q20Bases	R1Q20BasesPct	R1SoftClippedBases	R1SoftClippedBasesPct	R1SoftClippedReads	R1SoftClippedReadsPct	R1UnmappedBases	R1UnmappedBasesPct	R1UnmappedReads	R1UnmappedReadsPct	R1UnpairedReads	R1UnpairedReadsPct	R1YieldBases	R1YieldReads	R2AlignedBases	R2AlignedBasesPct	R2AlignedReadLengthMean	R2AlignedReadLengthMedian	R2AlignedReadLengthMode	R2AlignedReadLengthStandardDeviation	R2DeletedBases	R2DeletedBasesPct	R2InsertedBases	R2InsertedBasesPct	R2MappedBases	R2MappedBasesPct	R2MappedReads	R2MappedReadsPct	R2MatchedBases	R2MatchedBasesPct	R2MismatchedBases	R2MismatchedBasesPct	R2PerfectBases	R2PerfectBasesPct	R2PerfectReads	R2PerfectReadsPct	R2Q20Bases	R2Q20BasesPct	R2SoftClippedBases	R2SoftClippedBasesPct	R2SoftClippedReads	R2SoftClippedReadsPct	R2UnmappedBases	R2UnmappedBasesPct	R2UnmappedReads	R2UnmappedReadsPct	R2UnpairedReads	R2UnpairedReadsPct	R2YieldBases	R2YieldReads	SoftClippedBases	SoftClippedBasesPct	SoftClippedReads	SoftClippedReadsPct	TotalPairs	TotalRecords	TotalSameChrPairs	TotalSameChrPairsPct	UnfilteredRecords	UnfilteredRecordsPct	UnmappedBases	UnmappedBasesPct	UnmappedReads	UnmappedReadsPct	UnpairedReads	UnpairedReadsPct	WgsAlignedReads	WgsAlignedReadsPct	WgsCalculatedAlignedReads	WgsCovDuplicateReads	WgsCovDuplicateReadsPct	WgsCoverageBases1	WgsCoverageBases10	WgsCoverageBases100	WgsCoverageBases1000	WgsCoverageBases1000Pct	WgsCoverageBases100Pct	WgsCoverageBases10Pct	WgsCoverageBases15	WgsCoverageBases15Pct	WgsCoverageBases1Pct	WgsCoverageBases20	WgsCoverageBases20Pct	WgsCoverageBases30	WgsCoverageBases30Pct	WgsCoverageBases40	WgsCoverageBases40Pct	WgsCoverageBases50	WgsCoverageBases500	WgsCoverageBases500Pct	WgsCoverageBases50Pct	WgsCoverageBases60	WgsCoverageBases60Pct	WgsCoverageBases70	WgsCoverageBases70Pct	WgsCoverageMean	WgsCoverageMedian	WgsCoverageStandardDeviation	WgsExpectedAlignedReads	WgsFilteredLowBaseQualityBases	WgsFilteredOverlapBases	WgsReadsPaired	WgsReadsPairedWithMates	WgsTotalReads	YieldBases	YieldReads
ONT1_ANA0-HG001_sent	sent	95623088360.0	95.539179	16674.782039	13443.0	112.0	14513.51434	100.0	830936579.0	0.868971	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA0-HG001/align/sent/ONT1_ANA0-HG001.cram	66826188508.0	0.0	0.0	0.0	0.0	566361110.0	0.592285	99846923592.0	99.759308	5734593.0	96.212127	93880851358.0	98.178016	1175875892.0	1.229699	52471837.0	0.052552	154610.0	2.696094	89448110034.0	93.542377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4223835232.0	4.230311	4954137.0	86.390386	0.0	5960364.0	0.0	0.0	5960364.0	100.0	240903183.0	0.240692	225771.0	3.787873	0.0	0.0	5734593.0	96.212127	5734593.0	0.0	0.0	2905094994.0	2879212395.0	7341259.0	449773.0	0.01451	0.236835	92.885606	2862819004.0	92.356742	93.720598	2797950028.0	90.264019	1839128104.0	59.331687	407196556.0	13.136474	46486025.0	899180.0	0.029008	1.499675	19230633.0	0.620395	14081401.0	0.454277	30.666031	31.0	44.488266	5734593.0	0.0	0.0	0.0	0.0	5960364.0	100087826775.0	5960364.0
ONT1_ANA0-HG002_sent	sent	144537955781.0	94.048349	17723.568962	16653.0	292.0	13694.478166	100.0	1343463979.0	0.929489	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA0-HG002/align/sent/ONT1_ANA0-HG002.cram	98734033761.0	0.0	0.0	0.0	0.0	936776876.0	0.648118	153264463825.0	99.726537	8155127.0	97.710167	141627016688.0	97.986038	1974162217.0	1.365843	87137262.0	0.056854	166206.0	2.038055	133826126441.0	92.588916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8726508044.0	5.693758	6738477.0	82.628719	0.0	8346242.0	0.0	0.0	8346242.0	100.0	420271543.0	0.273463	191115.0	2.289833	0.0	0.0	8155127.0	97.710167	8155127.0	0.0	0.0	2927977433.0	2905897412.0	16665756.0	748237.0	0.024138	0.537642	93.745049	2892408801.0	93.309903	94.457356	2858814794.0	92.226151	2727151747.0	87.978665	2410695593.0	77.769702	1325104460.0	1421982.0	0.045874	42.748234	323758374.0	10.444534	54894422.0	1.770909	46.326135	48.0	77.013414	8155127.0	0.0	0.0	0.0	0.0	8346242.0	153684735368.0	8346242.0
ONT1_ANA0-HG003_sent	sent	116367605574.0	94.996094	13090.1906	5841.0	200.0	14913.273414	100.0	930648293.0	0.799749	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA0-HG003/align/sent/ONT1_ANA0-HG003.cram	73960128262.0	0.0	0.0	0.0	0.0	665853996.0	0.572199	122187706142.0	99.747303	8889680.0	96.345366	114363348221.0	98.27765	1338403357.0	1.150151	272644426.0	0.223136	680573.0	7.655765	110213201110.0	94.711239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5820100568.0	4.763246	7451434.0	83.821172	0.0	9226889.0	0.0	0.0	9226889.0	100.0	309547344.0	0.252697	337209.0	3.654634	0.0	0.0	8889680.0	96.345366	8889680.0	0.0	0.0	2927163070.0	2900221660.0	11117799.0	562970.0	0.018161	0.358656	93.560125	2866979039.0	92.48773	94.429245	2796712211.0	90.220947	2516714789.0	81.188329	1371867496.0	44.25596	282353793.0	1280288.0	0.041302	9.108633	41797059.0	1.348358	21666436.0	0.698952	37.324976	38.0	64.168063	8889680.0	0.0	0.0	0.0	0.0	9226889.0	122497253486.0	9226889.0
ONT1_ANA0-HG004_sent	sent	90912819446.0	94.708614	17103.983283	10379.0	191.0	16828.64515	100.0	691060810.0	0.760136	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA0-HG004/align/sent/ONT1_ANA0-HG004.cram	57866456954.0	0.0	0.0	0.0	0.0	520226810.0	0.572226	95484919926.0	99.471609	5315301.0	92.430871	89362673329.0	98.294909	1029919307.0	1.132865	111522951.0	0.116796	269302.0	5.066543	86057814240.0	94.659713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4572100480.0	4.788296	4478706.0	84.260628	0.0	5750569.0	0.0	0.0	5750569.0	100.0	507214049.0	0.528391	435268.0	7.569129	0.0	0.0	5315301.0	92.430871	5315301.0	0.0	0.0	2904791652.0	2875342141.0	6402869.0	343234.0	0.011073	0.206558	92.758986	2854176325.0	92.076173	93.709031	2757694209.0	88.963645	1592396177.0	51.370949	274675260.0	8.861067	32338392.0	886057.0	0.028584	1.043242	16683912.0	0.538226	12273656.0	0.39595	29.160791	30.0	38.202654	5315301.0	0.0	0.0	0.0	0.0	5750569.0	95992133975.0	5750569.0
ONT1_ANA0-HG005_sent	sent	82635407389.0	95.252007	12851.470853	9009.0	119.0	12864.239479	100.0	744396395.0	0.90082	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA0-HG005/align/sent/ONT1_ANA0-HG005.cram	56681316646.0	0.0	0.0	0.0	0.0	500903593.0	0.606161	86315894509.0	99.494423	6430035.0	92.810529	81089248068.0	98.128938	1045255728.0	1.264901	87370833.0	0.101222	284732.0	4.428156	77375104253.0	93.634323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3680487120.0	4.263974	5259335.0	81.793256	0.0	6928131.0	0.0	0.0	6928131.0	100.0	438611150.0	0.505577	498096.0	7.189471	0.0	0.0	6430035.0	92.810529	6430035.0	0.0	0.0	2925907726.0	2870780710.0	6157591.0	503543.0	0.016244	0.198645	92.612091	2768777423.0	89.32144	94.390502	2535255214.0	81.787956	1095795499.0	35.350632	130594422.0	4.213008	23629395.0	1009522.0	0.032567	0.76229	15140860.0	0.488448	11391956.0	0.367507	26.496793	27.0	48.676834	6430035.0	0.0	0.0	0.0	0.0	6928131.0	86754505659.0	6928131.0
ONT1_ANA0-HG006_sent	sent	78962245259.0	93.310311	14322.034422	9133.0	193.0	14634.050605	100.0	646854043.0	0.819194	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA0-HG006/align/sent/ONT1_ANA0-HG006.cram	51948758562.0	0.0	0.0	0.0	0.0	486150431.0	0.615675	84284215829.0	99.599326	5513340.0	87.98798	77506758569.0	98.156731	969336259.0	1.227595	86972280.0	0.103189	154167.0	2.796254	74363213725.0	94.175658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5321970570.0	6.314315	4714481.0	85.510435	0.0	6266015.0	0.0	0.0	6266015.0	100.0	339063567.0	0.400674	752675.0	12.01202	0.0	0.0	5513340.0	87.98798	5513340.0	0.0	0.0	2926100559.0	2863540487.0	5487532.0	468594.0	0.015117	0.177029	92.378611	2747206396.0	88.62564	94.396816	2452826090.0	79.12885	891561552.0	28.762023	87494595.0	2.8226	19702071.0	819836.0	0.026448	0.635594	13501910.0	0.435575	10078723.0	0.325142	25.316606	26.0	43.91869	5513340.0	0.0	0.0	0.0	0.0	6266015.0	84623279396.0	6266015.0
ONT1_ANA0-HG007_sent	sent	102950436920.0	95.305761	13139.575124	8947.0	112.0	13238.623316	100.0	826482142.0	0.802796	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA0-HG007/align/sent/ONT1_ANA0-HG007.cram	65226836331.0	0.0	0.0	0.0	0.0	596479179.0	0.579385	107744129347.0	99.743494	7835142.0	95.636924	101188424821.0	98.288485	1165532920.0	1.13213	118660570.0	0.110132	227419.0	2.902551	97680657370.0	94.881246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4793692427.0	4.449145	6465928.0	82.524707	0.0	8192591.0	0.0	0.0	8192591.0	100.0	277080933.0	0.256506	357449.0	4.363076	0.0	0.0	7835142.0	95.636924	7835142.0	0.0	0.0	2905995265.0	2882390612.0	8952435.0	591703.0	0.019089	0.288811	92.98757	2870152035.0	92.592747	93.74907	2836896598.0	91.519907	2177610427.0	70.250958	649354023.0	20.948532	77861396.0	1050769.0	0.033898	2.511853	23807096.0	0.768031	16893786.0	0.545003	33.019972	33.0	55.77392	7835142.0	0.0	0.0	0.0	0.0	8192591.0	108021210280.0	8192591.0
ONT1_ANA1-HG001_sent	sent	110640847801.0	95.877883	16836.367828	13288.0	115.0	14906.353925	100.0	998232277.0	0.902228	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA1-HG001/align/sent/ONT1_ANA1-HG001.cram	76939206758.0	0.0	0.0	0.0	0.0	687774695.0	0.621628	115149919267.0	99.785302	6571539.0	96.756857	108514062164.0	98.077757	1439010942.0	1.300615	59699527.0	0.051845	169959.0	2.586289	102930804140.0	93.031467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4509071466.0	3.915827	5733879.0	87.253214	0.0	6791807.0	0.0	0.0	6791807.0	100.0	247756190.0	0.214698	220268.0	3.243143	0.0	0.0	6571539.0	96.756857	6571539.0	0.0	0.0	2906112731.0	2882516242.0	9412475.0	525102.0	0.01694	0.303654	92.992236	2871453512.0	92.635344	93.753477	2852297250.0	92.017348	2457196403.0	79.271084	1042787476.0	33.641142	163145089.0	1021463.0	0.032953	5.263189	29393590.0	0.94826	18436889.0	0.594789	35.471724	36.0	51.59987	6571539.0	0.0	0.0	0.0	0.0	6791807.0	115397675457.0	6791807.0
ONT1_ANA1-HG002_sent	sent	132943365925.0	94.479332	17165.715189	14567.0	289.0	14015.838394	100.0	1216164839.0	0.914799	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA1-HG002/align/sent/ONT1_ANA1-HG002.cram	89968340536.0	0.0	0.0	0.0	0.0	857466422.0	0.644986	140415810655.0	99.789801	7744703.0	97.800237	130279865024.0	97.996515	1806034479.0	1.358499	87163875.0	0.062076	158569.0	2.047451	123156986826.0	92.638686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7472444730.0	5.321655	6446900.0	83.242701	0.0	7918900.0	0.0	0.0	7918900.0	100.0	295774793.0	0.210199	174197.0	2.199763	0.0	0.0	7744703.0	97.800237	7744703.0	0.0	0.0	2927609199.0	2903930378.0	14242984.0	675737.0	0.021799	0.459482	93.6815	2885994883.0	93.102897	94.445385	2839725940.0	91.61025	2682297261.0	86.531562	2106345927.0	67.951232	811005023.0	1329676.0	0.042896	26.163219	134151397.0	4.327757	30954441.0	0.998598	42.611233	44.0	69.393458	7744703.0	0.0	0.0	0.0	0.0	7918900.0	140711585448.0	7918900.0
ONT1_ANA1-HG003_sent	sent	97180328437.0	93.959075	14984.206878	6949.0	179.0	16625.944134	100.0	747472762.0	0.769161	0.0	0.0	0.0	0.0	0.0	0.0	results/day/hg38/ONT1_ANA1-HG003/align/sent/ONT1_ANA1-HG003.cram	62435576562.0	0.0	0.0	0.0	0.0	546392150.0	0.562246	102665555680.0	99.262483	6485517.0	88.971976	95554416659.0	98.326913	1079519628.0	1.110842	173060237.0	0.168567	378143.0	5.830576	92297839825.0	94.975847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5485227243.0	5.342812	5317331.0	81.987774	0.0	7289393.0	0.0	0.0	7289393.0	100.0	762801832.0	0.737517	803876.0	11.028024	0.0	0.0	6485517.0	88.971976	6485517.0	0.0	0.0	2926345006.0	2889842508.0	8044983.0	429556.0	0.013857	0.259528	93.225357	2828576540.0	91.248937	94.402916	2717373495.0	87.661564	1918949950.0	61.904686	489496373.0	15.79099	54913313.0	1110787.0	0.035834	1.771485	20389856.0	0.65777	14833526.0	0.478525	31.173786	32.0	52.470019	6485517.0	0.0	0.0	0.0	0.0	7289393.0	103428357512.0	7289393.0
