Sample	peddy-family_id	peddy-ancestry_prediction	peddy-ancestry_prob_het_check	peddy-sex_het_ratio	peddy-error_sex_check	peddy-predicted_sex_sex_check	bcftools_stats-number_of_records	bcftools_stats-number_of_SNPs	bcftools_stats-number_of_indels	bcftools_stats-tstv	bcftools_stats-number_of_MNPs	bcftools_stats-number_of_multiallelic_sites	bcftools_stats-number_of_multiallelic_SNP_sites	bcftools_stats-number_of_records-1	bcftools_stats-number_of_SNPs-1	bcftools_stats-number_of_indels-1	bcftools_stats-tstv-1	bcftools_stats-number_of_MNPs-1	bcftools_stats-number_of_multiallelic_sites-1	bcftools_stats-number_of_multiallelic_SNP_sites-1	mosdepth-1_x_pc	mosdepth-5_x_pc	mosdepth-10_x_pc	mosdepth-30_x_pc	mosdepth-50_x_pc	mosdepth-median_coverage	mosdepth-mean_coverage	mosdepth-min_coverage	mosdepth-max_coverage	mosdepth-coverage_bases	mosdepth-length	custom_content_alignstats_gs-InsertSizeMean	custom_content_alignstats_gs-InsertSizeMedian	custom_content_alignstats_gs-InsertSizeMode	custom_content_alignstats_gs-InsertSizeStandardDeviation	custom_content_alignstats_gs-DuplicateReadsPct	custom_content_alignstats_gs-ChimericReadPairPct
ONT1_ANA0-HG001_DBC0_0.md																					94.0	93.0	93.0	60.0	2.0	31	30.93	0.0	15540.0	95887.663829	3099740131						
ONT1_ANA0-HG001_DBC0_0.ont.sentdont.snv.sort							8734506	6623538	2123100	1.34	0	183781	17475	8734506	6623538	2123100	1.34	0	183781	17475																	
ONT1_ANA0-HG001_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA0-HG002_DBC0_0.md																					95.0	94.0	94.0	88.0	44.0	48	46.76	0.0	22105.0	144944.642884	3099787614						
ONT1_ANA0-HG002_DBC0_0.ont.sentdont.snv.sort							8995367	6736233	2271963	1.34	0	205972	17504	8995367	6736233	2271963	1.34	0	205972	17504																	
ONT1_ANA0-HG002_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA0-HG003_DBC0_0.md																					94.0	94.0	94.0	82.0	9.0	39	37.63	0.0	22753.0	116632.399871	3099848002						
ONT1_ANA0-HG003_DBC0_0.ont.sentdont.snv.sort							8668284	6599403	2081251	1.35	0	188567	15955	8668284	6599403	2081251	1.35	0	188567	15955																	
ONT1_ANA0-HG003_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA0-HG004_DBC0_0.md																					94.0	93.0	93.0	52.0	1.0	30	29.38	0.0	12900.0	91083.653446	3099799038						
ONT1_ANA0-HG004_DBC0_0.ont.sentdont.snv.sort							8630637	6627352	2015079	1.36	0	176652	15919	8630637	6627352	2015079	1.36	0	176652	15919																	
ONT1_ANA0-HG004_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA0-HG005_DBC0_0.md																					94.0	94.0	93.0	36.0	1.0	27	26.74	0.0	17900.0	82878.900191	3099790392						
ONT1_ANA0-HG005_DBC0_0.ont.sentdont.snv.sort							8721717	6523757	2209842	1.36	0	170402	15254	8721717	6523757	2209842	1.36	0	170402	15254																	
ONT1_ANA0-HG005_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA0-HG006_DBC0_0.md																					94.0	94.0	93.0	28.999999999999996	1.0	26	25.53	0.0	14214.0	79122.948871	3099787354						
ONT1_ANA0-HG006_DBC0_0.ont.sentdont.snv.sort							8594305	6521296	2084986	1.36	0	166501	15654	8594305	6521296	2084986	1.36	0	166501	15654																	
ONT1_ANA0-HG006_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA0-HG007_DBC0_0.md																					94.0	93.0	93.0	71.0	3.0	34	33.29	0.0	20622.0	103180.439883	3099759040						
ONT1_ANA0-HG007_DBC0_0.ont.sentdont.snv.sort							8635646	6626059	2022054	1.35	0	188617	16192	8635646	6626059	2022054	1.35	0	188617	16192																	
ONT1_ANA0-HG007_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA1-HG001_DBC0_0.md																					94.0	93.0	93.0	80.0	5.0	37	35.79	0.0	18203.0	110951.305383	3099738607						
ONT1_ANA1-HG001_DBC0_0.ont.sentdont.snv.sort							8804445	6680902	2136126	1.34	0	192422	17765	8804445	6680902	2136126	1.34	0	192422	17765																	
ONT1_ANA1-HG001_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA1-HG002_DBC0_0.md																					95.0	94.0	94.0	87.0	27.0	44	43.0	0.0	20132.0	133302.064342	3099790634						
ONT1_ANA1-HG002_DBC0_0.ont.sentdont.snv.sort							8880600	6679307	2214162	1.35	0	201195	16998	8880600	6679307	2214162	1.35	0	201195	16998																	
ONT1_ANA1-HG002_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA1-HG003_DBC0_0.md																					94.0	94.0	93.0	63.0	2.0	32	31.41	0.0	18170.0	97381.409049	3099846003						
ONT1_ANA1-HG003_DBC0_0.ont.sentdont.snv.sort							8554127	6521842	2044230	1.36	0	179837	15582	8554127	6521842	2044230	1.36	0	179837	15582																	
ONT1_ANA1-HG003_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA1-HG004_DBC0_0.md																					94.0	93.0	93.0	81.0	5.0	37	36.03	0.0	19058.0	111671.35498599999	3099815028						
ONT1_ANA1-HG004_DBC0_0.ont.sentdont.snv.sort							8772078	6703827	2080264	1.35	0	188892	16296	8772078	6703827	2080264	1.35	0	188892	16296																	
ONT1_ANA1-HG004_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA1-HG005_DBC0_0.md																					94.0	94.0	93.0	45.0	1.0	29	28.27	0.0	18276.0	87623.784615	3099805703						
ONT1_ANA1-HG005_DBC0_0.ont.sentdont.snv.sort							8646448	6539810	2118821	1.35	0	175609	15593	8646448	6539810	2118821	1.35	0	175609	15593																	
ONT1_ANA1-HG005_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA1-HG006_DBC0_0.md																					94.0	94.0	93.0	52.0	1.0	30	29.37	0.0	16271.0	91030.354823	3099781453						
ONT1_ANA1-HG006_DBC0_0.ont.sentdont.snv.sort							8578799	6532058	2058828	1.35	0	179598	15796	8578799	6532058	2058828	1.35	0	179598	15796																	
ONT1_ANA1-HG006_sent																																0.0	0.0	0.0	0.0	0.0	100.0
ONT1_ANA1-HG007_DBC0_0.md																					94.0	93.0	93.0	68.0	2.0	33	32.66	0.0	19900.0	101247.956678	3099734604						
ONT1_ANA1-HG007_DBC0_0.ont.sentdont.snv.sort							8616518	6614395	2014610	1.35	0	186857	16369	8616518	6614395	2014610	1.35	0	186857	16369																	
ONT1_ANA1-HG007_sent																																0.0	0.0	0.0	0.0	0.0	100.0
hg001	hg001	EUR	0.7462	1.708	True	female																															
hg002	hg002	UNKNOWN	0.5745	0.2275	True	male																															
hg003	hg003	EUR	0.6678	0.3122	True	male																															
hg004	hg004	UNKNOWN	0.4704	2.319	True	female																															
hg005	hg005	EAS	0.9836	0.4893	True	male																															
hg006	hg006	EAS	0.9859	0.4223	True	male																															
hg007	hg007	EAS	0.9741	1.774	True	female																															
