Name	X	Y
background: EUR	-0.623	0.855
background: EUR	1.283	2.105
background: EUR	0.217	0.414
background: EUR	0.089	1.716
background: EUR	0.8	1.091
background: EUR	1.709	2.178
background: EUR	0.327	1.767
background: EUR	0.93	0.903
background: EUR	-0.101	1.606
background: EUR	0.272	2.388
background: EUR	0.633	1.528
background: EUR	1.182	1.121
background: EUR	0.358	1.244
background: EUR	-0.279	1.032
background: EUR	0.599	1.508
background: EUR	0.781	0.89
background: EUR	0.455	1.052
background: EUR	0.689	1.224
background: EUR	0.255	1.517
background: EUR	0.864	0.893
background: EUR	-0.313	1.364
background: EUR	1.375	0.656
background: EUR	0.636	1.676
background: EUR	0.204	1.366
background: EUR	0.78	1.377
background: EUR	2.104	1.28
background: EUR	1.007	1.59
background: EUR	1.286	1.108
background: EUR	-0.261	1.349
background: EUR	0.526	0.684
background: EUR	-0.12	1.558
background: EUR	0.316	2.246
background: EUR	0.612	0.933
background: EUR	0.905	1.2
background: EUR	-0.098	1.111
background: EUR	1.063	1.985
background: EUR	0.269	1.508
background: EUR	-0.167	0.469
background: EUR	-0.378	1.231
background: EUR	0.779	0.873
background: EUR	0.161	0.71
background: EUR	0.704	1.075
background: EUR	-0.185	1.232
background: EUR	0.866	0.979
background: EUR	0.053	1.925
background: EUR	1.139	1.293
background: EUR	0.531	0.585
background: EUR	0.582	1.067
background: EUR	0.475	1.266
background: EUR	0.709	1.886
background: EUR	1.316	0.798
background: EUR	0.914	-0.104
background: EUR	0.172	0.766
background: EUR	-0.055	1.262
background: EUR	0.208	1.525
background: EUR	-0.132	-0.009
background: EUR	0.755	0.592
background: EUR	1.161	0.906
background: EUR	0.596	1.695
background: EUR	-0.037	1.647
background: EUR	-0.409	1.448
background: EUR	1.005	2.481
background: EUR	0.294	0.814
background: EUR	0.187	1.693
background: EUR	1.148	1.197
background: EUR	0.242	0.923
background: EUR	1.097	0.909
background: EUR	0.46	1.269
background: EUR	0.513	0.835
background: EUR	1.022	0.669
background: EUR	0.762	0.699
background: EUR	-0.112	0.856
background: EUR	1.593	1.417
background: EUR	0.464	0.872
background: EUR	0.64	1.303
background: EUR	-0.58	1.626
background: EUR	-0.419	0.759
background: EUR	0.378	2.034
background: EUR	0.339	1.931
background: EUR	0.226	1.989
background: EUR	0.197	1.409
background: EUR	0.475	2.085
background: EUR	1.108	0.811
background: EUR	0.156	1.775
background: EUR	0.693	-0.307
background: EUR	0.208	1.241
background: EUR	0.604	1.718
background: EUR	0.553	1.904
background: EUR	0.15	0.636
background: EUR	0.919	0.803
background: EUR	0.746	1.825
background: EUR	0.597	1.585
background: EUR	1.196	1.612
background: EUR	0.098	0.876
background: EUR	0.859	1.474
background: EUR	0.265	0.901
background: EUR	1.065	1.067
background: EUR	0.522	1.026
background: EUR	0.234	1.06
background: EUR	0.389	1.289
background: EUR	1.529	1.312
background: EUR	0.393	1.283
background: EUR	0.909	0.774
background: EUR	0.82	0.395
background: EUR	0.736	1.376
background: EUR	0.038	1.421
background: EUR	0.229	1.737
background: EUR	-0.488	2.026
background: EUR	1.522	0.181
background: EUR	1.035	1.156
background: EUR	0.715	0.606
background: EUR	0.036	1.401
background: EUR	0.142	0.886
background: EUR	1.18	-0.25
background: EUR	1.008	0.417
background: EUR	0.631	2.271
background: EUR	0.655	0.83
background: EUR	0.206	1.276
background: EUR	1.298	0.898
background: EUR	0.598	0.535
background: EUR	1.317	0.652
background: EUR	0.586	1.266
background: EUR	0.462	0.794
background: EUR	0.036	0.875
background: EUR	0.546	1.936
background: EUR	0.938	0.522
background: EUR	0.913	0.815
background: EUR	0.047	1.651
background: EUR	0.474	1.81
background: EUR	0.029	0.318
background: EUR	0.261	0.659
background: EUR	0.608	1.07
background: EUR	0.498	1.43
background: EUR	1.363	0.378
background: EUR	0.65	1.408
background: EUR	0.549	0.237
background: EUR	-0.327	1.089
background: EUR	1.385	1.086
background: EUR	0.811	0.599
background: EUR	1.047	1.419
background: EUR	0.322	1.76
background: EUR	0.505	1.743
background: EUR	0.167	1.402
background: EUR	-0.308	0.254
background: EUR	0.399	1.544
background: EUR	0.537	1.124
background: EUR	1.115	1.676
background: EUR	0.566	1.343
background: EUR	0.006	0.647
background: EUR	0.618	0.732
background: EUR	0.145	1.116
background: EUR	0.794	-0.498
background: EUR	0.423	1.93
background: EUR	0.551	-0.226
background: EUR	1.093	1.425
background: EUR	1.012	1.849
background: EUR	-0.138	0.56
background: EUR	0.26	1.424
background: EUR	0.488	2.822
background: EUR	0.708	1.202
background: EUR	0.184	1.101
background: EUR	0.69	1.675
background: EUR	-0.318	-0.075
background: EUR	0.154	1.718
background: EUR	0.269	1.631
background: EUR	0.598	1.019
background: EUR	0.371	0.662
background: EUR	1.265	1.527
background: EUR	-0.061	0.486
background: EUR	0.313	1.436
background: EUR	-0.007	1.857
background: EUR	-0.768	0.879
background: EUR	0.856	1.764
background: EUR	1.083	0.481
background: EUR	-0.325	0.346
background: EUR	0.431	0.519
background: EUR	0.172	2.071
background: EUR	0.298	0.438
background: EUR	1.207	1.466
background: EUR	0.547	1.536
background: EUR	1.357	2.084
background: EUR	0.939	2.238
background: EUR	-0.216	0.876
background: EUR	0.514	0.291
background: EUR	-0.063	1.515
background: EAS	1.098	-0.455
background: EAS	0.696	-1.682
background: EAS	0.209	-1.447
background: EAS	1.009	-1.273
