Sample	verifybamid-FREEMIX	peddy-family_id	peddy-ancestry_prediction	peddy-ancestry_prob_het_check	peddy-sex_het_ratio	peddy-error_sex_check	peddy-predicted_sex_sex_check	bcftools_stats-number_of_records	bcftools_stats-number_of_SNPs	bcftools_stats-number_of_indels	bcftools_stats-tstv	bcftools_stats-number_of_MNPs	bcftools_stats-number_of_multiallelic_sites	bcftools_stats-number_of_multiallelic_SNP_sites	bcftools_stats-number_of_records-1	bcftools_stats-number_of_SNPs-1	bcftools_stats-number_of_indels-1	bcftools_stats-tstv-1	bcftools_stats-number_of_MNPs-1	bcftools_stats-number_of_multiallelic_sites-1	bcftools_stats-number_of_multiallelic_SNP_sites-1	picard_qualityyieldmetrics-TOTAL_READS	mosdepth-1_x_pc	mosdepth-5_x_pc	mosdepth-10_x_pc	mosdepth-30_x_pc	mosdepth-50_x_pc	mosdepth-median_coverage	mosdepth-mean_coverage	mosdepth-min_coverage	mosdepth-max_coverage	mosdepth-coverage_bases	mosdepth-length	custom_content_alignstats_gs-InsertSizeMean	custom_content_alignstats_gs-InsertSizeMedian	custom_content_alignstats_gs-InsertSizeMode	custom_content_alignstats_gs-InsertSizeStandardDeviation	custom_content_alignstats_gs-DuplicateReadsPct	custom_content_alignstats_gs-ChimericReadPairPct
NA12878	0.07668259999999999	NA12878	EUR	0.7233	2.252	True	female																																
NA24143	0.090085	NA24143	UNKNOWN	0.4877	3.586	True	female																																
NA24149	0.06576509999999999	NA24149	EUR	0.6836	0.9861	False	female																																
NA24385	0.0956136	NA24385	EUR	0.6568	1.035	False	female																																
NA24631	0.07675699999999999	NA24631	EAS	0.993	0.8837	False	female																																
NA24694	0.09782339999999999	NA24694	EAS	0.9917	0.8271	False	female																																
NA24695	0.0778321	NA24695	EAS	0.9943	2.763	True	female																																
UG1_ANA0-HG001_DBC0_0																						1.9744119999999998																	
UG1_ANA0-HG001_DBC0_0.md																							91.0	91.0	90.0	89.0	25.0	45	41.98	0.0	18257.0	134945.568348	3214169320						
UG1_ANA0-HG001_DBC0_0.ug.sentdug.snv.sort								7717503	4771745	2952674	1.76	0	92837	4291	7717503	4771745	2952674	1.76	0	92837	4291																		
UG1_ANA0-HG001_sent																																		0.0	0.0	0.0	0.0	8.496075	100.0
UG1_ANA0-HG002_DBC0_0																						1.9674809999999998																	
UG1_ANA0-HG002_DBC0_0.md																							91.0	91.0	91.0	84.0	28.000000000000004	46	41.92	0.0	17461.0	134737.61147899998	3214466364						
UG1_ANA0-HG002_DBC0_0.ug.sentdug.snv.sort								7989249	4851080	3145254	1.75	0	92859	4017	7989249	4851080	3145254	1.75	0	92859	4017																		
UG1_ANA0-HG002_sent																																		0.0	0.0	0.0	0.0	9.357	100.0
UG1_ANA0-HG003_DBC0_0																						1.9696859999999998																	
UG1_ANA0-HG003_DBC0_0.md																							91.0	91.0	91.0	85.0	30.0	46	42.56	0.0	15884.0	136797.800193	3213887380						
UG1_ANA0-HG003_DBC0_0.ug.sentdug.snv.sort								7698173	4770422	2934479	1.76	0	92550	3948	7698173	4770422	2934479	1.76	0	92550	3948																		
UG1_ANA0-HG003_sent																																		0.0	0.0	0.0	0.0	9.034379	100.0
UG1_ANA0-HG004_DBC0_0																						1.9704389999999998																	
UG1_ANA0-HG004_DBC0_0.md																							91.0	91.0	90.0	89.0	31.0	47	43.25	0.0	17199.0	139036.52916499999	3214703487						
UG1_ANA0-HG004_DBC0_0.ug.sentdug.snv.sort								7937093	4881412	3062741	1.76	0	95413	4395	7937093	4881412	3062741	1.76	0	95413	4395																		
UG1_ANA0-HG004_sent																																		0.0	0.0	0.0	0.0	9.238477	100.0
UG1_ANA0-HG005_DBC0_0																						1.971175																	
UG1_ANA0-HG005_DBC0_0.md																							91.0	91.0	91.0	85.0	31.0	46	42.65	0.0	17303.0	137107.765241	3214443108						
UG1_ANA0-HG005_DBC0_0.ug.sentdug.snv.sort								7736667	4760636	2982934	1.76	0	93819	4013	7736667	4760636	2982934	1.76	0	93819	4013																		
UG1_ANA0-HG005_sent																																		0.0	0.0	0.0	0.0	9.017382	100.0
UG1_ANA0-HG006_DBC0_0																						1.9733289999999999																	
UG1_ANA0-HG006_DBC0_0.md																							91.0	91.0	91.0	84.0	28.000000000000004	45	41.66	0.0	16280.0	133883.26915399998	3213951547						
UG1_ANA0-HG006_DBC0_0.ug.sentdug.snv.sort								7980912	4805251	3182840	1.75	0	93687	4141	7980912	4805251	3182840	1.75	0	93687	4141																		
UG1_ANA0-HG006_sent																																		0.0	0.0	0.0	0.0	9.449623	100.0
UG1_ANA0-HG007_DBC0_0																						1.966125																	
UG1_ANA0-HG007_DBC0_0.md																							91.0	91.0	90.0	89.0	33.0	47	43.93	0.0	18428.0	141194.11428799998	3213940170						
UG1_ANA0-HG007_DBC0_0.ug.sentdug.snv.sort								7902773	4828854	3081178	1.76	0	96360	4574	7902773	4828854	3081178	1.76	0	96360	4574																		
UG1_ANA0-HG007_sent																																		0.0	0.0	0.0	0.0	9.407738	100.0
UG1_ANA1-HG004_DBC0_0																						1.9710409999999998																	
UG1_ANA1-HG004_DBC0_0.md																							91.0	91.0	90.0	88.0	26.0	45	42.21	0.0	17180.0	135686.366322	3214306839						
UG1_ANA1-HG004_DBC0_0.ug.sentdug.snv.sort								7760744	4839878	2927669	1.76	0	93899	4391	7760744	4839878	2927669	1.76	0	93899	4391																		
