Module	Section	Sample Name	Source
VerifyBAMID	all_sections	NA24149	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG003_DBC0_0/align/ug/alignqc/contam/vb2/UG1_ANA0-HG003_DBC0_0.ug.vb2.selfSM
VerifyBAMID	all_sections	NA12878	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG001_DBC0_0/align/ug/alignqc/contam/vb2/UG1_ANA0-HG001_DBC0_0.ug.vb2.selfSM
VerifyBAMID	all_sections	NA24695	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG007_DBC0_0/align/ug/alignqc/contam/vb2/UG1_ANA0-HG007_DBC0_0.ug.vb2.selfSM
VerifyBAMID	all_sections	NA24631	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA1-HG005_DBC0_0/align/ug/alignqc/contam/vb2/UG1_ANA1-HG005_DBC0_0.ug.vb2.selfSM
VerifyBAMID	all_sections	NA24694	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG006_DBC0_0/align/ug/alignqc/contam/vb2/UG1_ANA0-HG006_DBC0_0.ug.vb2.selfSM
VerifyBAMID	all_sections	NA24143	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG004_DBC0_0/align/ug/alignqc/contam/vb2/UG1_ANA0-HG004_DBC0_0.ug.vb2.selfSM
VerifyBAMID	all_sections	NA24385	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG002_DBC0_0/align/ug/alignqc/contam/vb2/UG1_ANA0-HG002_DBC0_0.ug.vb2.selfSM
Peddy	all_sections	UG1_ANA0-HG003_DBC0_0.sent.sentdug.peddy.peddy.ped	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG003_DBC0_0/align/sent/snv/sentdug/peddy/UG1_ANA0-HG003_DBC0_0.sent.sentdug.peddy.peddy.ped
Peddy	all_sections	UG1_ANA0-HG001_DBC0_0.sent.sentdug.peddy.peddy.ped	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG001_DBC0_0/align/sent/snv/sentdug/peddy/UG1_ANA0-HG001_DBC0_0.sent.sentdug.peddy.peddy.ped
Peddy	all_sections	UG1_ANA0-HG007_DBC0_0.sent.sentdug.peddy.peddy.ped	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG007_DBC0_0/align/sent/snv/sentdug/peddy/UG1_ANA0-HG007_DBC0_0.sent.sentdug.peddy.peddy.ped
Peddy	all_sections	UG1_ANA0-HG005_DBC0_0.sent.sentdug.peddy.peddy.ped	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG005_DBC0_0/align/sent/snv/sentdug/peddy/UG1_ANA0-HG005_DBC0_0.sent.sentdug.peddy.peddy.ped
Peddy	all_sections	UG1_ANA1-HG005_DBC0_0.sent.sentdug.peddy.peddy.ped	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA1-HG005_DBC0_0/align/sent/snv/sentdug/peddy/UG1_ANA1-HG005_DBC0_0.sent.sentdug.peddy.peddy.ped
Peddy	all_sections	UG1_ANA0-HG006_DBC0_0.sent.sentdug.peddy.peddy.ped	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG006_DBC0_0/align/sent/snv/sentdug/peddy/UG1_ANA0-HG006_DBC0_0.sent.sentdug.peddy.peddy.ped
Peddy	all_sections	UG1_ANA1-HG004_DBC0_0.sent.sentdug.peddy.peddy.ped	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA1-HG004_DBC0_0/align/sent/snv/sentdug/peddy/UG1_ANA1-HG004_DBC0_0.sent.sentdug.peddy.peddy.ped
Peddy	all_sections	UG1_ANA0-HG004_DBC0_0.sent.sentdug.peddy.peddy.ped	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG004_DBC0_0/align/sent/snv/sentdug/peddy/UG1_ANA0-HG004_DBC0_0.sent.sentdug.peddy.peddy.ped
Peddy	all_sections	UG1_ANA0-HG002_DBC0_0.sent.sentdug.peddy.peddy.ped	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG002_DBC0_0/align/sent/snv/sentdug/peddy/UG1_ANA0-HG002_DBC0_0.sent.sentdug.peddy.peddy.ped
Bcftools	stats	UG1_ANA0-HG003_DBC0_0.ug.sentdug.snv.sort	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG003_DBC0_0/align/ug/snv/sentdug/bcfstats/UG1_ANA0-HG003_DBC0_0.ug.sentdug.bcfstats.tsv
Bcftools	stats	UG1_ANA0-HG001_DBC0_0.ug.sentdug.snv.sort	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG001_DBC0_0/align/ug/snv/sentdug/bcfstats/UG1_ANA0-HG001_DBC0_0.ug.sentdug.bcfstats.tsv
Bcftools	stats	UG1_ANA0-HG007_DBC0_0.ug.sentdug.snv.sort	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG007_DBC0_0/align/ug/snv/sentdug/bcfstats/UG1_ANA0-HG007_DBC0_0.ug.sentdug.bcfstats.tsv
Bcftools	stats	UG1_ANA0-HG005_DBC0_0.ug.sentdug.snv.sort	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG005_DBC0_0/align/ug/snv/sentdug/bcfstats/UG1_ANA0-HG005_DBC0_0.ug.sentdug.bcfstats.tsv
Bcftools	stats	UG1_ANA1-HG005_DBC0_0.ug.sentdug.snv.sort	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA1-HG005_DBC0_0/align/ug/snv/sentdug/bcfstats/UG1_ANA1-HG005_DBC0_0.ug.sentdug.bcfstats.tsv
Bcftools	stats	UG1_ANA0-HG006_DBC0_0.ug.sentdug.snv.sort	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG006_DBC0_0/align/ug/snv/sentdug/bcfstats/UG1_ANA0-HG006_DBC0_0.ug.sentdug.bcfstats.tsv
Bcftools	stats	UG1_ANA1-HG004_DBC0_0.ug.sentdug.snv.sort	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA1-HG004_DBC0_0/align/ug/snv/sentdug/bcfstats/UG1_ANA1-HG004_DBC0_0.ug.sentdug.bcfstats.tsv
Bcftools	stats	UG1_ANA0-HG004_DBC0_0.ug.sentdug.snv.sort	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG004_DBC0_0/align/ug/snv/sentdug/bcfstats/UG1_ANA0-HG004_DBC0_0.ug.sentdug.bcfstats.tsv
Bcftools	stats	UG1_ANA0-HG002_DBC0_0.ug.sentdug.snv.sort	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG002_DBC0_0/align/ug/snv/sentdug/bcfstats/UG1_ANA0-HG002_DBC0_0.ug.sentdug.bcfstats.tsv
Picard	AlignmentSummaryMetrics	UG1_ANA0-HG003_DBC0_0	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG003_DBC0_0/align/ug/alignqc/picard/picard/picard/.alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	UG1_ANA0-HG001_DBC0_0	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG001_DBC0_0/align/ug/alignqc/picard/picard/picard/.alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	UG1_ANA0-HG007_DBC0_0	/fsx/analysis_results/ubuntu/ug/daylily/results/day/hg38/UG1_ANA0-HG007_DBC0_0/align/ug/alignqc/picard/picard/picard/.alignment_summary_metrics.txt
