mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
UG1_ANA0-HG001_DBC0_0-sent-sentdug-SNPts	SNPts	UG1_ANA0-HG001_DBC0_0	2512291789.0	2510084745.0	15473.0	2191571.0	4603.0	0.9954406073012965	0.9929892652797135	0.9999981662007356	0.002095917718723562	0.9979040822812765	0.9979040822812765	HG001	wgsHC	-1	-2	sent	sentdug
UG1_ANA0-HG001_DBC0_0-sent-sentdug-SNPtv	SNPtv	UG1_ANA0-HG001_DBC0_0	2512291789.0	2511246754.0	9450.0	1035585.0	5087.0	0.9930301811328245	0.9909572406665805	0.9999979743170649	0.004888187632606624	0.9951118123673933	0.9951118123673933	HG001	wgsHC	-1	-2	sent	sentdug
UG1_ANA0-HG001_DBC0_0-sent-sentdug-INS_50	INS_50	UG1_ANA0-HG001_DBC0_0	2512291789.0	2512081120.0	21624.0	189045.0	6227.0	0.9313915076328826	0.8973555672642867	0.9999975211849192	0.03188885247244869	0.9681111475275513	0.9681111475275513	HG001	wgsHC	-1	-2	sent	sentdug
UG1_ANA0-HG001_DBC0_0-sent-sentdug-INS_gt50	INS_gt50	UG1_ANA0-HG001_DBC0_0	2512291789.0	2512291789.0	0.0	0.0	1.0			0.9999999996019571	1.0	0.0	0.0	HG001	wgsHC	-1	-2	sent	sentdug
UG1_ANA0-HG001_DBC0_0-sent-sentdug-DEL_50	DEL_50	UG1_ANA0-HG001_DBC0_0	2512291789.0	2512063907.0	40295.0	187587.0	2093.0	0.8984869312820611	0.8231760296995814	0.9999991668212539	0.011034373681990721	0.9889656263180093	0.9889656263180093	HG001	wgsHC	-1	-2	sent	sentdug
UG1_ANA0-HG001_DBC0_0-sent-sentdug-DEL_gt50	DEL_gt50	UG1_ANA0-HG001_DBC0_0	2512291789.0	2512291789.0	0.0	0.0	16.0			0.9999999936313131	1.0	0.0	0.0	HG001	wgsHC	-1	-2	sent	sentdug
UG1_ANA0-HG001_DBC0_0-sent-sentdug-Indel_50	Indel_50	UG1_ANA0-HG001_DBC0_0	2512291789.0	2512262490.0	8736.0	20563.0	725.0	0.8129756656848597	0.701832827058944	0.9999997114155891	0.03405674558436678	0.9659432544156332	0.9659432544156332	HG001	wgsHC	-1	-2	sent	sentdug
UG1_ANA0-HG001_DBC0_0-sent-sentdug-Indel_gt50	Indel_gt50	UG1_ANA0-HG001_DBC0_0	2512291789.0	2512291515.0	75.0	199.0	2.0	0.8378947368421052	0.7262773722627737	0.999999999203914	0.009950248756218905	0.9900497512437811	0.9900497512437811	HG001	wgsHC	-1	-2	sent	sentdug
UG1_ANA0-HG001_DBC0_0-sent-sentdug-All	All	UG1_ANA0-HG001_DBC0_0	2512291789.0	2508571586.0	95653.0	3624550.0	18754.0	0.9844629739606413	0.9742882310454564	0.9999925240882495	0.005147525432958655	0.9948524745670413	0.9948524745670413	HG001	wgsHC	-1	-2	sent	sentdug
UG1_ANA0-HG001_DBC0_0-sent-sentdug-SNPts	SNPts	UG1_ANA0-HG001_DBC0_0	2799325643.0	2797106749.0	5935.0	2212959.0	190942.0	0.9574116957381843	0.9973252440179657	0.9999317405506699	0.07943005972375734	0.9205699402762426	0.9205699402762426	HG001	ultima	-1	-2	sent	sentdug
