mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller	ILMN_cov	ONT_cov	UG_cov	Fbeta_1	Fbeta_recall_1.5	Fbeta_recall_2.00	Fbeta_recall_4.00	Fbeta_precision_1.5	Fbeta_precision_2.0	Fbeta_precision_4.0	Youdens_J_Index	MCC
Uds40x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds40x_HG006_408622-Z0116_0	377862616	377419787	14215	428614	74807	0.9059212682	0.967899573	0.9998018329	0.1485972973	0.8514027027	0.8514027027	HG006	clinvar_genes	-1	-2	ug	sentdug	0	0	40	0.9059212682	0.9174517671	0.9421177042	0.9534188186	0.8946987591	0.8724032806	0.8627348191	0.9677014059	0.9076712767
Uds20x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds20x_HG006_408622-Z0116_0	377862616	377419792	19775	423049	72055	0.9020926979	0.9553434322	0.9998091217	0.1455350795	0.8544649205	0.8544649205	HG006	clinvar_genes	-1	-2	ug	sentdug	0	0	20	0.9020926979	0.91207085	0.9333061242	0.9429857283	0.8923494274	0.8728995064	0.8644262389	0.9551525539	0.9033793822
Uds30x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds30x_HG006_408622-Z0116_0	377862616	377419792	19775	423049	72055	0.9020926979	0.9553434322	0.9998091217	0.1455350795	0.8544649205	0.8544649205	HG006	clinvar_genes	-1	-2	ug	sentdug	0	0	30	0.9020926979	0.91207085	0.9333061242	0.9429857283	0.8923494274	0.8728995064	0.8644262389	0.9551525539	0.9033793822
Ods30xUds40x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods30xUds40x_HG006_sup-PAY77227_0	377862616	377419628	8676	434312	86733	0.9010313962	0.9804148194	0.9997702476	0.1664597108	0.8335402892	0.8335402892	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	30	40	0.9010313962	0.9155817157	0.9470400528	0.96160669	0.886963491	0.8592859675	0.8473941826	0.9801850669	0.9038811938
Ods20xUds40x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods20xUds40x_HG006_sup-PAY77227_0	377862616	377419626	9368	433622	86910	0.9000770091	0.9788527958	0.9997697788	0.1669637986	0.8330362014	0.8330362014	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	20	40	0.9000770091	0.9145222606	0.9457437583	0.9601962468	0.8861079951	0.8586173003	0.846802637	0.9786225746	0.9028863396
Ods30xUds30x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods30xUds30x_HG006_sup-PAY77227_0	377862616	377419627	8966	434023	87677	0.8998195273	0.9797602198	0.9997677475	0.1680601878	0.8319398122	0.8319398122	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	30	30	0.8998195273	0.9144638781	0.9461379562	0.9608102574	0.8856641676	0.8578245063	0.8458670972	0.9795279673	0.9027098338
Ods15xUds40x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods15xUds40x_HG006_sup-PAY77227_0	377862616	377419631	10329	432656	86353	0.8994983337	0.9766831834	0.999771254	0.1663805445	0.8336194555	0.8336194555	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	15	40	0.8994983337	0.913670075	0.9442724391	0.958425392	0.8857860147	0.8587780729	0.847161739	0.9764544374	0.9021999192
Ods10xUds40x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods10xUds40x_HG006_sup-PAY77227_0	377862616	377419629	13204	429783	83410	0.8989583551	0.9701932562	0.9997790481	0.1625314453	0.8374685547	0.8374685547	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	10	40	0.8989583551	0.9121025413	0.9403861731	0.9534208214	0.8862122916	0.8610266456	0.850160974	0.9699723044	0.9012698656
Ods20xUds30x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods20xUds30x_HG006_sup-PAY77227_0	377862616	377419623	9721	433272	88015	0.8986435475	0.9780560867	0.9997668524	0.1688417321	0.8311582679	0.8311582679	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	20	30	0.8986435475	0.9131962927	0.9446643401	0.9592375426	0.884574539	0.8568984088	0.8450086735	0.9778229391	0.9014989937
Ods15xUds30x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods15xUds30x_HG006_sup-PAY77227_0	377862616	377419622	10941	432053	87490	0.8977379571	0.9753021486	0.9997682428	0.1683979959	0.8316020041	0.8316020041	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	15	30	0.8977379571	0.911973025	0.9427218365	0.9569470044	0.8839670702	0.856851552	0.8451921213	0.9750703913	0.9004677818
Uds15x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds15x_HG006_408622-Z0116_0	377862616	377419780	25560	417276	70072	0.8971902333	0.9422811154	0.9998143738	0.1437822665	0.8562177335	0.8562177335	HG006	clinvar_genes	-1	-2	ug	sentdug	0	0	15	0.8971902333	0.9056966463	0.9237115995	0.9318837297	0.8888583243	0.8721493102	0.8648380347	0.9420954892	0.898095244
Ods30xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods30xUds15x_HG006_sup-PAY77227_0	377862616	377419629	10906	432081	88647	0.8966987128	0.9753807674	0.9997651787	0.1702366687	0.8297633313	0.8297633313	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	30	15	0.8966987128	0.911124337	0.9423071555	0.9567434722	0.8827497207	0.8553014194	0.843506194	0.975145946	0.8995066267
Ods10xUds30x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods10xUds30x_HG006_sup-PAY77227_0	377862616	377419626	14402	428588	84393	0.8966548148	0.9674891081	0.9997764448	0.1645148651	0.8354851349	0.8354851349	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	10	30	0.8966548148	0.9097274837	0.9378535376	0.950813871	0.883977064	0.8589233938	0.8481134264	0.9672655529	0.8989433143
Ods20xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods20xUds20x_HG006_sup-PAY77227_0	377862616	377419633	11113	431870	88481	0.8966152965	0.9749132585	0.9997656183	0.1700409916	0.8299590084	0.8299590084	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	20	20	0.8966152965	0.9109750312	0.9420084693	0.956372411	0.8827280815	0.8553957852	0.8436481455	0.9746788768	0.8993969179
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods15xUds20x_HG006_sup-PAY77227_0	377862616	377419630	12693	430293	87881	0.8953618544	0.9713467243	0.9997672073	0.1695974711	0.8304025289	0.8304025289	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	15	20	0.8953618544	0.9093231772	0.9394559582	0.9533847136	0.8818488864	0.8552213674	0.8437636676	0.9711139316	0.8979881993
Ods20xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods20xUds15x_HG006_sup-PAY77227_0	377862616	377419632	12416	430568	88681	0.8949350105	0.9719718997	0.9997650886	0.1707870405	0.8292129595	0.8292129595	HG006	clinvar_genes	-1	-2	ont	sentdhuo	0	20	15	0.8949350105	0.9090766908	0.9396185817	0.9537456202	0.8812530171	0.8543083675	0.8427207094	0.9717369883	0.8976329638
