sample,normalized_rule,Total_runtime_user,Total_runtime_cpu,Total_cost,Total_snake_threads,Avg_cpu_efficiency,Avg_task_cost,Runtime_cpu_per_vcpu
DAY_all.,final_multiqc2,85.64510000000001,133.16,0.002495,12,0.4594,0.0008316666666666666,11.096666666666666
I0-1x_HG006_grapev2_0.,dirsetup,0.3639,0.0,4e-06,1,0.0,4e-06,0.0
I0-1x_HG006_grapev2_0.,sent.alNsort,1065.802,1008311.04,0.552914,192,4.9274,0.552914,5251.62
I0-1x_HG006_grapev2_0.,sent.alignstats,13.6715,740.16,0.001182,32,1.6918,0.001182,23.13
I0-1x_HG006_grapev2_0.,sent.mrkdup,25.4428,743.04,0.013199,192,0.1521,0.013199,3.8699999999999997
I0-1x_HG006_grapev2_0.,sent.sentd,39.6283,235787.52,0.020558,192,30.9895,0.020558,1228.06
I0-1x_HG006_grapev2_0.,sent.sentd.concat.fofn,0.459,0.0,5e-06,1,0.0,5e-06,0.0
I0-1x_HG006_grapev2_0.,sent.sentd.concordance,1103.3447,15813.119999999999,0.286195,96,0.1493,0.286195,164.72
I0-1x_HG006_grapev2_0.,sent.sentd.merge,0.9896,0.8,1.1e-05,4,0.2021,1.1e-05,0.2
I0-5x_HG006_grapev2_0.,sent.alNsort,1052.0911,1270905.6,0.545801,192,6.2916,0.545801,6619.3
I0-5x_HG006_grapev2_0.,sent.alignstats,22.2131,955.84,0.001921,32,1.3447,0.001921,29.87
I0-5x_HG006_grapev2_0.,sent.mrkdup,28.5293,49754.88,0.0148,192,9.0833,0.0148,259.14
I0-5x_HG006_grapev2_0.,sent.sentd,66.7636,713543.04,0.034635,192,55.6646,0.034635,3716.3700000000003
I0-5x_HG006_grapev2_0.,sent.sentd.concat.fofn,0.3762,0.0,4e-06,1,0.0,4e-06,0.0
I0-5x_HG006_grapev2_0.,sent.sentd.concordance,1090.2335,10837.44,0.460048,96,0.1035,0.460048,112.89
I0-5x_HG006_grapev2_0.,sent.sentd.merge,2.5758,1.16,2.8e-05,4,0.1126,2.8e-05,0.29
I1-5x_HG006_grapev2_0.,sent.alNsort,1035.6081,1852957.44,0.53725,192,9.319,0.53725,9650.82
I1-5x_HG006_grapev2_0.,sent.alignstats,45.5658,961.6,0.00394,32,0.6595,0.00394,30.05
I1-5x_HG006_grapev2_0.,sent.mrkdup,47.5653,93809.28,0.024676,192,10.272,0.024676,488.59
I1-5x_HG006_grapev2_0.,sent.sentd,140.3471,2115972.48,0.118445,192,78.5246,0.118445,11020.69
I1-5x_HG006_grapev2_0.,sent.sentd.concat.fofn,0.3614,0.0,4e-06,1,0.0,4e-06,0.0
I1-5x_HG006_grapev2_0.,sent.sentd.concordance,1395.7625,16196.16,0.588973,96,0.1209,0.588973,168.71
I1-5x_HG006_grapev2_0.,sent.sentd.merge,8.2583,4.6,8.9e-05,4,0.1393,8.9e-05,1.15
I12x_HG006_grapev2_0.,sent.alNsort,1159.5125,333469.44,0.601529,192,1.4979,0.601529,1736.82
I12x_HG006_grapev2_0.,sent.alignstats,290.4715,17417.92,0.025115,32,1.8739,0.025115,544.31
