sample,rule,task_cost,HG_sample
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,0.056541,HG006
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007127,HG006
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,9.431163,HG006
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.965898,HG006
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,5.854599,HG006
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,1.094924,HG006
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.alignstats,0.019881,HG006
Ods10xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.008342,HG006
Ods30xUds5x_HG006_sup-PAY77227_0.,ont.alignstats,0.069052,HG006
Ods10xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods10xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.926486,HG006
Ods10xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.006667,HG006
Ods10xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,6.417802,HG006
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.008565,HG006
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,0.025873,HG006
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.956972,HG006
Ods10xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,7.188755,HG006
Ods10xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,5.931045,HG006
Ods10xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods10xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007308,HG006
Ods10xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.964067,HG006
Ods15xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007012,HG006
Ods15xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.959999,HG006
Ods15xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,7.024179,HG006
Ods15xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods5xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,1.114962,HG006
Ods5xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.008769,HG006
Ods5xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,4.623723,HG006
Ods5xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,8.317909,HG006
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.962597,HG006
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,0.069716,HG006
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007266,HG006
Ods30xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.006887,HG006
Ods30xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
