mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPts	SNPts	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2797104425.0	1148.0	2220070.0	128574.0	0.9716135848303515	0.9994831664429156	0.9999540352912875	0.054743928837235445	0.9452560711627646	0.9452560711627646	HG006	ultima	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPtv	SNPtv	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2798283977.0	651.0	1041015.0	78619.0	0.9633230000462685	0.9993750396000254	0.9999719053563279	0.07021848211111846	0.9297815178888815	0.9297815178888815	HG006	ultima	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-INS_50	INS_50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799170398.0	530.0	154715.0	32408.0	0.9037935788391439	0.9965860414184031	0.9999884224180076	0.17319089582787792	0.8268091041721221	0.8268091041721221	HG006	ultima	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-INS_gt50	INS_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799325623.0	9.0	11.0	586.0	0.035656401944894646	0.55	0.9999997906639112	0.981574539363484	0.018425460636515956	0.018425460636515914	HG006	ultima	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_50	DEL_50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799164369.0	464.0	160810.0	46343.0	0.8729544794491174	0.9971229088383744	0.999983444261698	0.22371387332068568	0.7762861266793143	0.7762861266793143	HG006	ultima	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_gt50	DEL_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799325618.0	22.0	3.0	1560.0	0.0037783375314861464	0.12	0.9999994427232328	0.9980806142034548	0.0019193857965451588	0.0019193857965451055	HG006	ultima	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_50	Indel_50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799311169.0	17.0	14457.0	5090.0	0.8498868346021575	0.9988254801713418	0.9999981816988404	0.2603980150406712	0.7396019849593287	0.7396019849593288	HG006	ultima	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_gt50	Indel_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2799324875.0	10.0	758.0	610.0	0.7097378277153558	0.9869791666666666	0.9999997820903631	0.44590643274853803	0.554093567251462	0.554093567251462	HG006	ultima	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds15x_HG006_sup-PAY77227_0	2799325643.0	2795730953.0	2851.0	3591839.0	293790.0	0.9603438035196092	0.9992068857119807	0.9998949258225502	0.07560938010293829	0.9243906198970617	0.9243906198970617	HG006	ultima	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPts	SNPts	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336302203.0	243.0	260221.0	521.0	0.9985341688315177	0.9990670495730696	0.9999984508005353	0.0019981437589648003	0.9980018562410352	0.9980018562410352	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPtv	SNPtv	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336444945.0	139.0	117583.0	230.0	0.998433353853992	0.9988192521363891	0.9999993163819335	0.0019522463565141367	0.9980477536434859	0.9980477536434859	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-INS_50	INS_50	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336539256.0	97.0	23314.0	62.0	0.9966016201081497	0.995856648583999	0.9999998157718974	0.0026522929500342233	0.9973477070499658	0.9973477070499658	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-INS_gt50	INS_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336562664.0	0.0	3.0	1.0	0.8571428571428571	1.0	0.9999999970287852	0.25	0.75	0.75	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_50	DEL_50	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336538967.0	81.0	23619.0	49.0	0.997255531160277	0.9965822784810127	0.9999998544002399	0.002070305898259253	0.9979296941017407	0.9979296941017407	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_gt50	DEL_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336562667.0	0.0	0.0	2.0			0.9999999940575703	1.0	0.0	0.0	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_50	Indel_50	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336560700.0	4.0	1963.0	4.0	0.9979664463650229	0.9979664463650229	0.9999999881150712	0.0020335536349771225	0.9979664463650229	0.9979664463650229	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_gt50	Indel_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336562640.0	0.0	27.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds15x_HG006_sup-PAY77227_0	336562667.0	336135373.0	564.0	426730.0	869.0	0.9983237668339779	0.9986800657158771	0.9999974147387535	0.002032277905233642	0.9979677220947664	0.9979677220947664	HG006	giabHC_x_clinvar_genes	-1	-2	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPts	SNPts	Ods10xIds15x_HG006_sup-PAY77227_0	3088286401.0	3086002160.0	2677.0	2281564.0	430291.0	0.9133387348841975	0.9988280571095607	0.9998605862895653	0.15867035663779958	0.8413296433622004	0.8413296433622004	HG006	hg38	-1	-2	ont	sentdhio
