Sample	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds15x_HG006_sup-PAY77227_0	2518942743.0	2515245846.0	4563.0	3692334.0	5867.0	0.9985896062499781	0.9987657216308704	0.9999976674302736	0.0015864470319487773	0.9984135529680512	0.9984135529680512	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_50	DEL_50	Ods10xIds15x_HG006_sup-PAY77227_0	2518942743.0	2518738631.0	811.0	203301.0	404.0	0.9970207225299582	0.9960266912283452	0.9999998396022795	0.001983260106526595	0.9980167398934734	0.9980167398934734	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_gt50	DEL_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	2518942743.0	2518942742.0	0.0	1.0	2.0	0.5	1.0	0.9999999992060161	0.6666666666666666	0.33333333333333337	0.3333333333333333	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-INS_50	INS_50	Ods10xIds15x_HG006_sup-PAY77227_0	2518942743.0	2518740378.0	955.0	201410.0	506.0	0.9963861769412858	0.9952808044869419	0.9999997991059727	0.0025059925909784266	0.9974940074090216	0.9974940074090216	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-INS_gt50	INS_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	2518942743.0	2518942733.0	2.0	8.0	1.0	0.8421052631578948	0.8	0.999999999603008	0.1111111111111111	0.8888888888888888	0.8888888888888888	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_50	Indel_50	Ods10xIds15x_HG006_sup-PAY77227_0	2518942743.0	2518921288.0	46.0	21409.0	16.0	0.998554104477612	0.9978559776275926	0.9999999936480747	0.0007467911318553092	0.9992532088681447	0.9992532088681447	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_gt50	Indel_gt50	Ods10xIds15x_HG006_sup-PAY77227_0	2518942743.0	2518942399.0	1.0	343.0	0.0	0.9985443959243085	0.997093023255814	1.0	0.0	1.0	1.0	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPts	SNPts	Ods10xIds15x_HG006_sup-PAY77227_0	2518942743.0	2516724679.0	1740.0	2216324.0	3238.0	0.9988782290350742	0.9992155321036724	0.9999987134087963	0.0014588463850074924	0.9985411536149925	0.9985411536149925	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds15x_HG006_sup-PAY77227_0-ont-sentdhio-SNPtv	SNPtv	Ods10xIds15x_HG006_sup-PAY77227_0	2518942743.0	2517892197.0	1008.0	1049538.0	1700.0	0.9987115707418079	0.9990404989405509	0.9999993248325507	0.0016171409328810413	0.998382859067119	0.998382859067119	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds20x_HG006_sup-PAY77227_0	377862616.0	377419629.0	776.0	442211.0	117675.0	0.8818883348140791	0.9982482555921506	0.9996883089465511	0.21017671454546105	0.789823285454539	0.789823285454539	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhio
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_50	DEL_50	Ods10xIds20x_HG006_sup-PAY77227_0	377862616.0	377837073.0	77.0	25466.0	23141.0	0.6868779501011463	0.9969854754727323	0.9999387577756467	0.47608369164935094	0.5239163083506491	0.5239163083506491	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhio
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_gt50	DEL_gt50	Ods10xIds20x_HG006_sup-PAY77227_0	377862616.0	377862610.0	4.0	2.0	463.0	0.008492569002123144	0.3333333333333333	0.9999987746884174	0.9956989247311828	0.004301075268817178	0.004301075268817204	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhio
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-INS_50	INS_50	Ods10xIds20x_HG006_sup-PAY77227_0	377862616.0	377837128.0	113.0	25375.0	22121.0	0.6953578866600899	0.9955665411173886	0.9999414570370885	0.46574448374599964	0.5342555162540004	0.5342555162540004	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhio
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-INS_gt50	INS_gt50	Ods10xIds20x_HG006_sup-PAY77227_0	377862616.0	377862607.0	4.0	5.0	335.0	0.02865329512893983	0.5555555555555556	0.9999991134351566	0.9852941176470589	0.014705882352941124	0.014705882352941176	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhio
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_50	Indel_50	Ods10xIds20x_HG006_sup-PAY77227_0	377862616.0	377860060.0	13.0	2543.0	5425.0	0.483276320790574	0.9949139280125195	0.9999856430390831	0.6808483935742972	0.31915160642570284	0.31915160642570284	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhio
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_gt50	Indel_gt50	Ods10xIds20x_HG006_sup-PAY77227_0	377862616.0	377862509.0	2.0	105.0	289.0	0.4191616766467066	0.9813084112149533	0.9999992351721272	0.733502538071066	0.266497461928934	0.26649746192893403	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhio
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-SNPts	SNPts	Ods10xIds20x_HG006_sup-PAY77227_0	377862616.0	377594747.0	365.0	267504.0	40848.0	0.9284770947258083	0.9986373936513744	0.9998918322304866	0.1324719800747198	0.8675280199252802	0.8675280199252802	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhio
Ods10xIds20x_HG006_sup-PAY77227_0-ont-sentdhio-SNPtv	SNPtv	Ods10xIds20x_HG006_sup-PAY77227_0	377862616.0	377741207.0	198.0	121211.0	25053.0	0.9056647476585237	0.9983691489098832	0.9999336812133514	0.171286167477985	0.828713832522015	0.828713832522015	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhio
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds30x_HG006_sup-PAY77227_0	331588110.0	331188989.0	153.0	398968.0	209.0	0.9995465352537524	0.9996166576050872	0.9999993689407708	0.000523577260212888	0.9994764227397871	0.9994764227397871	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhio
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_50	DEL_50	Ods10xIds30x_HG006_sup-PAY77227_0	331588110.0	331570496.0	10.0	17604.0	6.0	0.9995457642516467	0.999432269785398	0.999999981904301	0.00034071550255536625	0.9996592844974447	0.9996592844974447	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhio
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_gt50	DEL_gt50	Ods10xIds30x_HG006_sup-PAY77227_0	331588110.0	331588110.0	0.0	0.0	0.0			1.0				HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhio
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-INS_50	INS_50	Ods10xIds30x_HG006_sup-PAY77227_0	331588110.0	331571555.0	13.0	16542.0	12.0	0.99924491830016	0.9992147387496225	0.9999999638087183	0.0007249003262051468	0.9992750996737949	0.9992750996737948	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhio
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-INS_gt50	INS_gt50	Ods10xIds30x_HG006_sup-PAY77227_0	331588110.0	331588109.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhio
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_50	Indel_50	Ods10xIds30x_HG006_sup-PAY77227_0	331588110.0	331587071.0	0.0	1039.0	1.0	0.9995189995189995	1.0	0.9999999969842008	0.0009615384615384616	0.9990384615384615	0.9990384615384615	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhio
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-Indel_gt50	Indel_gt50	Ods10xIds30x_HG006_sup-PAY77227_0	331588110.0	331588088.0	0.0	22.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhio
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-SNPts	SNPts	Ods10xIds30x_HG006_sup-PAY77227_0	331588110.0	331336494.0	88.0	251528.0	139.0	0.9995489615186685	0.99965026071474	0.9999995804870752	0.0005523171492488089	0.9994476828507511	0.9994476828507511	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhio
Ods10xIds30x_HG006_sup-PAY77227_0-ont-sentdhio-SNPtv	SNPtv	Ods10xIds30x_HG006_sup-PAY77227_0	331588110.0	331475836.0	42.0	112232.0	51.0	0.999585851253802	0.9996259151718118	0.9999998461426547	0.00045420945290026093	0.9995457905470997	0.9995457905470997	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhio
Ods10xIds9x_HG006_sup-PAY77227_0-ont-sentdhio-All	All	Ods10xIds9x_HG006_sup-PAY77227_0	2518942743.0	2515245832.0	16049.0	3680862.0	9565.0	0.9965327158443271	0.9956588081238634	0.9999961972052575	0.002591840998345178	0.9974081590016548	0.9974081590016548	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds9x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_50	DEL_50	Ods10xIds9x_HG006_sup-PAY77227_0	2518942743.0	2518737963.0	3514.0	201266.0	1301.0	0.9881796109950485	0.9828401211055767	0.9999994834717437	0.00642256636075965	0.9935774336392403	0.9935774336392403	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds9x_HG006_sup-PAY77227_0-ont-sentdhio-DEL_gt50	DEL_gt50	Ods10xIds9x_HG006_sup-PAY77227_0	2518942743.0	2518942742.0	0.0	1.0	3.0	0.4	1.0	0.9999999988090241	0.75	0.25	0.25	HG006	giabHC	-1.0	-2.0	ont	sentdhio
Ods10xIds9x_HG006_sup-PAY77227_0-ont-sentdhio-INS_50	INS_50	Ods10xIds9x_HG006_sup-PAY77227_0	2518942743.0	2518739812.0	4203.0	198728.0	1521.0	0.9858028672057145	0.9792885266420606	0.9999993961269543	0.007595543548282389	0.9924044564517176	0.9924044564517176	HG006	giabHC	-1.0	-2.0	ont	sentdhio
