Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER
Ods10xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	357740060.0	357740060.0	1.0	0.0	357740060.0	1.0	53248331730.0	335302314.0	50151339520.0	48950754764.0	0.0	0.004981	0.004306	0.000244	150.405253	356949004.0	0.997789	0.0	0.501548	0.022256	0.0
Ods10xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	476884054.0	476884054.0	1.0	0.0	476884054.0	1.0	70982315477.0	446968968.0	66853380388.0	65252914960.0	0.0	0.004981	0.004307	0.000244	150.405177	475830199.0	0.99779	0.0	0.501549	0.022271	0.0
Ods10xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	715291501.0	715291501.0	1.0	0.0	715291501.0	1.0	106468499642.0	670420660.0	100275253626.0	97874619279.0	0.0	0.004982	0.004307	0.000244	150.405029	713710628.0	0.99779	0.0	0.501545	0.022266	0.0
Ods10xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	119179687.0	119179687.0	1.0	0.0	119179687.0	1.0	17739370466.0	111703826.0	16707526848.0	16307667146.0	0.0	0.00498	0.004306	0.000243	150.404797	118916450.0	0.997791	0.0	0.501545	0.022239	0.0
Ods10xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	214651758.0	214651758.0	1.0	0.0	214651758.0	1.0	31949894639.0	201187072.0	30091541816.0	29371269824.0	0.0	0.00498	0.004306	0.000244	150.405022	214177793.0	0.997792	0.0	0.501547	0.022261	0.0
Ods15xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	357740060.0	357740060.0	1.0	0.0	357740060.0	1.0	53248331730.0	335302314.0	50151339520.0	48950754764.0	0.0	0.004981	0.004306	0.000244	150.405253	356949004.0	0.997789	0.0	0.501548	0.022256	0.0
Ods15xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	476884054.0	476884054.0	1.0	0.0	476884054.0	1.0	70982315477.0	446968968.0	66853380388.0	65252914960.0	0.0	0.004981	0.004307	0.000244	150.405177	475830199.0	0.99779	0.0	0.501549	0.022271	0.0
Ods15xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	715291501.0	715291501.0	1.0	0.0	715291501.0	1.0	106468499642.0	670420660.0	100275253626.0	97874619279.0	0.0	0.004982	0.004307	0.000244	150.405029	713710628.0	0.99779	0.0	0.501545	0.022266	0.0
Ods15xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	119252745.0	119252745.0	1.0	0.0	119252745.0	1.0	17750254973.0	111772456.0	16717800954.0	16317694513.0	0.0	0.00498	0.004306	0.000243	150.404808	118989339.0	0.997791	0.0	0.501543	0.022242	0.0
Ods15xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	214651758.0	214651758.0	1.0	0.0	214651758.0	1.0	31949894639.0	201187072.0	30091541816.0	29371269824.0	0.0	0.00498	0.004306	0.000244	150.405022	214177793.0	0.997792	0.0	0.501547	0.022261	0.0
Ods20xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	357668095.0	357668095.0	1.0	0.0	357668095.0	1.0	53237626539.0	335234369.0	50141194277.0	48940851701.0	0.0	0.004981	0.004306	0.000244	150.405251	356877178.0	0.997789	0.0	0.501548	0.022256	0.0
Ods20xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	476884054.0	476884054.0	1.0	0.0	476884054.0	1.0	70982315477.0	446968968.0	66853380388.0	65252914960.0	0.0	0.004981	0.004307	0.000244	150.405177	475830199.0	0.99779	0.0	0.501549	0.022271	0.0
Ods20xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	715291501.0	715291501.0	1.0	0.0	715291501.0	1.0	106468499642.0	670420660.0	100275253626.0	97874619279.0	0.0	0.004982	0.004307	0.000244	150.405029	713710628.0	0.99779	0.0	0.501545	0.022266	0.0
Ods20xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	119252745.0	119252745.0	1.0	0.0	119252745.0	1.0	17750254973.0	111772456.0	16717800954.0	16317694513.0	0.0	0.00498	0.004306	0.000243	150.404808	118989339.0	0.997791	0.0	0.501543	0.022242	0.0
Ods20xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	2139763482.0	2139763482.0	1.0	0.0	2139763482.0	1.0	318548967557.0	2008470699.0	300413521745.0	293252101912.0	0.0	0.004949	0.004303	0.000243	150.40424	2135035050.0	0.99779	0.0	0.500973	0.019462	0.0
Ods30xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	357668095.0	357668095.0	1.0	0.0	357668095.0	1.0	53237626539.0	335234369.0	50141194277.0	48940851701.0	0.0	0.004981	0.004306	0.000244	150.405251	356877178.0	0.997789	0.0	0.501548	0.022256	0.0
Ods30xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	476884054.0	476884054.0	1.0	0.0	476884054.0	1.0	70982315477.0	446968968.0	66853380388.0	65252914960.0	0.0	0.004981	0.004307	0.000244	150.405177	475830199.0	0.99779	0.0	0.501549	0.022271	0.0
Ods30xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	715291501.0	715291501.0	1.0	0.0	715291501.0	1.0	106468499642.0	670420660.0	100275253626.0	97874619279.0	0.0	0.004982	0.004307	0.000244	150.405029	713710628.0	0.99779	0.0	0.501545	0.022266	0.0
Ods30xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	119252745.0	119252745.0	1.0	0.0	119252745.0	1.0	17750254973.0	111772456.0	16717800954.0	16317694513.0	0.0	0.00498	0.004306	0.000243	150.404808	118989339.0	0.997791	0.0	0.501543	0.022242	0.0
Ods30xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	2139763482.0	2139763482.0	1.0	0.0	2139763482.0	1.0	318548967557.0	2008470699.0	300413521745.0	293252101912.0	0.0	0.004949	0.004303	0.000243	150.40424	2135035050.0	0.99779	0.0	0.500973	0.019462	0.0
Ods5xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	PAIR	357740060.0	357740060.0	1.0	0.0	357740060.0	1.0	53248331730.0	335302314.0	50151339520.0	48950754764.0	0.0	0.004981	0.004306	0.000244	150.405253	356949004.0	0.997789	0.0	0.501548	0.022256	0.0
