Sample	ACCUMULATION_LEVEL	READS_USED	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY	READ_GROUP
Ods10xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	180037458.0	359658141.0	1.68933	0.153535	1.211408	0.983306	0.994405	1.087186	6.365958			
Ods10xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	239997427.0	479442292.0	1.687243	0.153996	1.211049	0.98337	0.994376	1.086818	6.368453			
Ods10xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	359978466.0	719128024.0	1.687629	0.153471	1.211023	0.983385	0.99437	1.086767	6.366209			
Ods10xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	59979176.0	119818413.0	1.68483	0.154563	1.21105	0.983214	0.994522	1.087232	6.356			
Ods10xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	108027277.0	215802846.0	1.684525	0.155017	1.212323	0.983282	0.994419	1.087122	6.367293			
Ods15xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	180037458.0	359658141.0	1.68933	0.153535	1.211408	0.983306	0.994405	1.087186	6.365958			
Ods15xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	239997427.0	479442292.0	1.687243	0.153996	1.211049	0.98337	0.994376	1.086818	6.368453			
Ods15xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	359978466.0	719128024.0	1.687629	0.153471	1.211023	0.983385	0.99437	1.086767	6.366209			
Ods15xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	60015891.0	119891834.0	1.684371	0.154473	1.210962	0.983213	0.994527	1.087209	6.35567			
Ods15xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	108027277.0	215802846.0	1.684525	0.155017	1.212323	0.983282	0.994419	1.087122	6.367293			
Ods20xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	180001213.0	359585761.0	1.689215	0.153517	1.2114	0.983307	0.994404	1.08718	6.366032			
Ods20xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	239997427.0	479442292.0	1.687243	0.153996	1.211049	0.98337	0.994376	1.086818	6.368453			
Ods20xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	359978466.0	719128024.0	1.687629	0.153471	1.211023	0.983385	0.99437	1.086767	6.366209			
Ods20xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	60015891.0	119891834.0	1.684371	0.154473	1.210962	0.983213	0.994527	1.087209	6.35567			
Ods20xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	1076836647.0	2151085780.0	1.594429	0.141616	1.213547	0.985115	0.995827	1.087042	4.732733			
Ods30xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	180001213.0	359585761.0	1.689215	0.153517	1.2114	0.983307	0.994404	1.08718	6.366032			
Ods30xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	239997427.0	479442292.0	1.687243	0.153996	1.211049	0.98337	0.994376	1.086818	6.368453			
Ods30xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	359978466.0	719128024.0	1.687629	0.153471	1.211023	0.983385	0.99437	1.086767	6.366209			
Ods30xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	60015891.0	119891834.0	1.684371	0.154473	1.210962	0.983213	0.994527	1.087209	6.35567			
Ods30xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	1076836647.0	2151085780.0	1.594429	0.141616	1.213547	0.985115	0.995827	1.087042	4.732733			
Ods5xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	180037458.0	359658141.0	1.68933	0.153535	1.211408	0.983306	0.994405	1.087186	6.365958			
Ods5xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	239997427.0	479442292.0	1.687243	0.153996	1.211049	0.98337	0.994376	1.086818	6.368453			
Ods5xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	359978466.0	719128024.0	1.687629	0.153471	1.211023	0.983385	0.99437	1.086767	6.366209			
Ods5xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	59979176.0	119818413.0	1.68483	0.154563	1.21105	0.983214	0.994522	1.087232	6.356			
Ods5xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	All Reads	ALL	100.0	108027277.0	215802846.0	1.684525	0.155017	1.212323	0.983282	0.994419	1.087122	6.367293			
