Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT
Ods10xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods10xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.270415	122.178626	171776551.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods10xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods10xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.226779	122.168132	227654370.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods10xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods10xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	473.0	74.0	2.0	247257771.0	477.084679	122.173001	337604291.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods10xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods10xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	238217448.0	477.243271	122.352279	57925687.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	727.0
Ods10xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods10xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	242327556.0	477.288302	122.241447	103811230.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	725.0
Ods15xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods15xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.270415	122.178626	171776551.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods15xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods15xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	247257771.0	477.226779	122.168132	227654370.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods15xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods15xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	473.0	74.0	2.0	247257771.0	477.084679	122.173001	337604291.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	723.0
Ods15xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods15xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	242563050.0	477.244042	122.351282	57960971.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	727.0
Ods15xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort_FR	Ods15xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	474.0	74.0	2.0	242327556.0	477.288302	122.241447	103811230.0	FR	27.0	55.0	85.0	115.0	149.0	189.0	237.0	303.0	409.0	725.0
