Sample	Aligned Reads
Ods10xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	178870030.0
Ods10xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	238442027.0
Ods10xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	357645750.5
Ods10xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	59589843.5
Ods10xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	107325879.0
Ods15xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	178870030.0
Ods15xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	238442027.0
Ods15xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	357645750.5
Ods15xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	59626372.5
Ods15xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	107325879.0
Ods20xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	178834047.5
Ods20xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	238442027.0
Ods20xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	357645750.5
Ods20xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	59626372.5
Ods20xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	1069881741.0
Ods30xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	178834047.5
Ods30xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	238442027.0
Ods30xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	357645750.5
Ods30xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	59626372.5
Ods30xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	1069881741.0
Ods5xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	178870030.0
Ods5xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	238442027.0
Ods5xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	357645750.5
Ods5xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	59589843.5
Ods5xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	107325879.0
