Sample	12	20	37
Ods10xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1456431823}	{'QUALITY': 20, 'COUNT_OF_Q': 1270931234}	{'QUALITY': 37, 'COUNT_OF_Q': 51009256144}
Ods10xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1941645414}	{'QUALITY': 20, 'COUNT_OF_Q': 1694277362}	{'QUALITY': 37, 'COUNT_OF_Q': 67997428411}
Ods10xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 2912286041}	{'QUALITY': 20, 'COUNT_OF_Q': 2541383930}	{'QUALITY': 37, 'COUNT_OF_Q': 101991043703}
Ods10xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 485098473}	{'QUALITY': 20, 'COUNT_OF_Q': 423206470}	{'QUALITY': 37, 'COUNT_OF_Q': 16993783593}
Ods10xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 873821044}	{'QUALITY': 20, 'COUNT_OF_Q': 762494214}	{'QUALITY': 37, 'COUNT_OF_Q': 30606774050}
Ods15xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1456431823}	{'QUALITY': 20, 'COUNT_OF_Q': 1270931234}	{'QUALITY': 37, 'COUNT_OF_Q': 51009256144}
Ods15xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1941645414}	{'QUALITY': 20, 'COUNT_OF_Q': 1694277362}	{'QUALITY': 37, 'COUNT_OF_Q': 67997428411}
Ods15xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 2912286041}	{'QUALITY': 20, 'COUNT_OF_Q': 2541383930}	{'QUALITY': 37, 'COUNT_OF_Q': 101991043703}
Ods15xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 485393464}	{'QUALITY': 20, 'COUNT_OF_Q': 423464241}	{'QUALITY': 37, 'COUNT_OF_Q': 17004206287}
Ods15xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 873821044}	{'QUALITY': 20, 'COUNT_OF_Q': 762494214}	{'QUALITY': 37, 'COUNT_OF_Q': 30606774050}
Ods20xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1456139070}	{'QUALITY': 20, 'COUNT_OF_Q': 1270676135}	{'QUALITY': 37, 'COUNT_OF_Q': 50998993559}
Ods20xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1941645414}	{'QUALITY': 20, 'COUNT_OF_Q': 1694277362}	{'QUALITY': 37, 'COUNT_OF_Q': 67997428411}
Ods20xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 2912286041}	{'QUALITY': 20, 'COUNT_OF_Q': 2541383930}	{'QUALITY': 37, 'COUNT_OF_Q': 101991043703}
Ods20xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 485393464}	{'QUALITY': 20, 'COUNT_OF_Q': 423464241}	{'QUALITY': 37, 'COUNT_OF_Q': 17004206287}
Ods20xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 8573105840}	{'QUALITY': 20, 'COUNT_OF_Q': 7495969742}	{'QUALITY': 37, 'COUNT_OF_Q': 305344813813}
Ods30xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1456139070}	{'QUALITY': 20, 'COUNT_OF_Q': 1270676135}	{'QUALITY': 37, 'COUNT_OF_Q': 50998993559}
Ods30xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1941645414}	{'QUALITY': 20, 'COUNT_OF_Q': 1694277362}	{'QUALITY': 37, 'COUNT_OF_Q': 67997428411}
Ods30xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 2912286041}	{'QUALITY': 20, 'COUNT_OF_Q': 2541383930}	{'QUALITY': 37, 'COUNT_OF_Q': 101991043703}
Ods30xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 485393464}	{'QUALITY': 20, 'COUNT_OF_Q': 423464241}	{'QUALITY': 37, 'COUNT_OF_Q': 17004206287}
Ods30xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 8573105840}	{'QUALITY': 20, 'COUNT_OF_Q': 7495969742}	{'QUALITY': 37, 'COUNT_OF_Q': 305344813813}
Ods5xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1456431823}	{'QUALITY': 20, 'COUNT_OF_Q': 1270931234}	{'QUALITY': 37, 'COUNT_OF_Q': 51009256144}
Ods5xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 1941645414}	{'QUALITY': 20, 'COUNT_OF_Q': 1694277362}	{'QUALITY': 37, 'COUNT_OF_Q': 67997428411}
Ods5xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 2912286041}	{'QUALITY': 20, 'COUNT_OF_Q': 2541383930}	{'QUALITY': 37, 'COUNT_OF_Q': 101991043703}
Ods5xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 485098473}	{'QUALITY': 20, 'COUNT_OF_Q': 423206470}	{'QUALITY': 37, 'COUNT_OF_Q': 16993783593}
Ods5xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	{'QUALITY': 12, 'COUNT_OF_Q': 873821044}	{'QUALITY': 20, 'COUNT_OF_Q': 762494214}	{'QUALITY': 37, 'COUNT_OF_Q': 30606774050}
