Sample	0	1	2	3	4
Ods10xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 843)	(252, 81003)	(501, 596673)	(750, 51398)	(1000, 599)
Ods10xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1063)	(252, 107867)	(501, 790210)	(750, 68214)	(1000, 802)
Ods10xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1508)	(252, 161216)	(501, 1168165)	(750, 100919)	(1000, 1161)
Ods10xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 387)	(252, 27221)	(501, 201490)	(750, 17428)	(1000, 183)
Ods10xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 598)	(252, 48866)	(501, 361066)	(750, 31031)	(1000, 346)
Ods15xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 843)	(252, 81003)	(501, 596673)	(750, 51398)	(1000, 599)
Ods15xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1063)	(252, 107867)	(501, 790210)	(750, 68214)	(1000, 802)
Ods15xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1508)	(252, 161216)	(501, 1168165)	(750, 100919)	(1000, 1161)
Ods15xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 381)	(252, 27210)	(501, 201539)	(750, 17454)	(1000, 185)
Ods15xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 598)	(252, 48866)	(501, 361066)	(750, 31031)	(1000, 346)
Ods20xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 850)	(252, 80983)	(501, 596485)	(750, 51404)	(1000, 612)
Ods20xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1063)	(252, 107867)	(501, 790210)	(750, 68214)	(1000, 802)
Ods20xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1508)	(252, 161216)	(501, 1168165)	(750, 100919)	(1000, 1161)
Ods20xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 381)	(252, 27210)	(501, 201539)	(750, 17454)	(1000, 185)
Ods20xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 3998)	(252, 466621)	(501, 3255866)	(750, 284855)	(1000, 3364)
Ods30xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 850)	(252, 80983)	(501, 596485)	(750, 51404)	(1000, 612)
Ods30xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1063)	(252, 107867)	(501, 790210)	(750, 68214)	(1000, 802)
Ods30xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1508)	(252, 161216)	(501, 1168165)	(750, 100919)	(1000, 1161)
Ods30xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 381)	(252, 27210)	(501, 201539)	(750, 17454)	(1000, 185)
Ods30xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 3998)	(252, 466621)	(501, 3255866)	(750, 284855)	(1000, 3364)
Ods5xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 843)	(252, 81003)	(501, 596673)	(750, 51398)	(1000, 599)
Ods5xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1063)	(252, 107867)	(501, 790210)	(750, 68214)	(1000, 802)
Ods5xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 1508)	(252, 161216)	(501, 1168165)	(750, 100919)	(1000, 1161)
Ods5xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 387)	(252, 27221)	(501, 201490)	(750, 17428)	(1000, 183)
Ods5xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 598)	(252, 48866)	(501, 361066)	(750, 31031)	(1000, 346)
