Sample	0	1	2	3	4
Ods10xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0004918809305056851)	(252, 0.04726433097716727)	(501, 0.348151922239168)	(750, 0.029990149544639626)	(1000, 0.00034950970032373115)
Ods10xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.00046801079925893685)	(252, 0.047490988601753284)	(501, 0.3479085735488283)	(750, 0.03003282094134442)	(1000, 0.0003530993988764509)
Ods10xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0004477112454851824)	(252, 0.047863538562426505)	(501, 0.3468173787017229)	(750, 0.029961917230185094)	(1000, 0.0003446901565041756)
Ods10xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0006696224065000783)	(252, 0.04710023650475099)	(501, 0.3486362239940589)	(750, 0.03015550206843247)	(1000, 0.00031664315346127735)
Ods10xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0005773675177128245)	(252, 0.04718000187383759)	(501, 0.34860832801086733)	(750, 0.02996035358218504)	(1000, 0.0003340621423555807)
Ods15xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0004918809305056851)	(252, 0.04726433097716727)	(501, 0.348151922239168)	(750, 0.029990149544639626)	(1000, 0.00034950970032373115)
Ods15xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.00046801079925893685)	(252, 0.047490988601753284)	(501, 0.3479085735488283)	(750, 0.03003282094134442)	(1000, 0.0003530993988764509)
Ods15xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0004477112454851824)	(252, 0.047863538562426505)	(501, 0.3468173787017229)	(750, 0.029961917230185094)	(1000, 0.0003446901565041756)
Ods15xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0006588421808402468)	(252, 0.04705274472614991)	(501, 0.3485102212187992)	(750, 0.03018223470967367)	(1000, 0.00031991024528988364)
Ods15xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0005773675177128245)	(252, 0.04718000187383759)	(501, 0.34860832801086733)	(750, 0.02996035358218504)	(1000, 0.0003340621423555807)
Ods20xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0004960615803609197)	(252, 0.04726182936749219)	(501, 0.3481097550136273)	(750, 0.02999946997279143)	(1000, 0.0003571643378598622)
Ods20xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.00046801079925893685)	(252, 0.047490988601753284)	(501, 0.3479085735488283)	(750, 0.03003282094134442)	(1000, 0.0003530993988764509)
Ods20xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(2, 0.0004477112454851824)	(252, 0.047863538562426505)	(501, 0.3468173787017229)	(750, 0.029961917230185094)	(1000, 0.0003446901565041756)
