Sample	0	1	2
Ods10xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1456431823)	(20, 1270931234)	(37, 51009256144)
Ods10xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1941645414)	(20, 1694277362)	(37, 67997428411)
Ods10xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 2912286041)	(20, 2541383930)	(37, 101991043703)
Ods10xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 485098473)	(20, 423206470)	(37, 16993783593)
Ods10xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 873821044)	(20, 762494214)	(37, 30606774050)
Ods15xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1456431823)	(20, 1270931234)	(37, 51009256144)
Ods15xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1941645414)	(20, 1694277362)	(37, 67997428411)
Ods15xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 2912286041)	(20, 2541383930)	(37, 101991043703)
Ods15xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 485393464)	(20, 423464241)	(37, 17004206287)
Ods15xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 873821044)	(20, 762494214)	(37, 30606774050)
Ods20xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1456139070)	(20, 1270676135)	(37, 50998993559)
Ods20xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1941645414)	(20, 1694277362)	(37, 67997428411)
Ods20xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 2912286041)	(20, 2541383930)	(37, 101991043703)
Ods20xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 485393464)	(20, 423464241)	(37, 17004206287)
Ods20xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 8573105840)	(20, 7495969742)	(37, 305344813813)
Ods30xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1456139070)	(20, 1270676135)	(37, 50998993559)
Ods30xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1941645414)	(20, 1694277362)	(37, 67997428411)
Ods30xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 2912286041)	(20, 2541383930)	(37, 101991043703)
Ods30xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 485393464)	(20, 423464241)	(37, 17004206287)
Ods30xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 8573105840)	(20, 7495969742)	(37, 305344813813)
Ods5xIds15x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1456431823)	(20, 1270931234)	(37, 51009256144)
Ods5xIds20x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 1941645414)	(20, 1694277362)	(37, 67997428411)
Ods5xIds30x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 2912286041)	(20, 2541383930)	(37, 101991043703)
Ods5xIds5x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 485098473)	(20, 423206470)	(37, 16993783593)
Ods5xIds9x_HG006_sup-PAY77227_0.ont.sentdhio.1-24.snv.sort	(12, 873821044)	(20, 762494214)	(37, 30606774050)
