Sample	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods10xUds10x_HG006_sup-PAY77227_0	377862616.0	377419614.0	22907.0	420095.0	83629.0	0.8874690248287256	0.9482914298355312	0.9997784681282857	0.16602147207597812	0.8339785279240219	0.8339785279240219	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_50	DEL_50	Ods10xUds10x_HG006_sup-PAY77227_0	377862616.0	377836971.0	7026.0	18619.0	9999.0	0.6862502994674087	0.7260284655878338	0.9999735369056949	0.34939548535886505	0.650604514641135	0.650604514641135	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_gt50	DEL_gt50	Ods10xUds10x_HG006_sup-PAY77227_0	377862616.0	377862610.0	4.0	2.0	427.0	0.009195402298850575	0.3333333333333333	0.9999988699609166	0.9953379953379954	0.004662004662004615	0.004662004662004662	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_50	INS_50	Ods10xUds10x_HG006_sup-PAY77227_0	377862616.0	377837023.0	6645.0	18948.0	9607.0	0.6998596439388343	0.7403586918297972	0.9999745743398585	0.3364384521099632	0.6635615478900367	0.6635615478900367	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_gt50	INS_gt50	Ods10xUds10x_HG006_sup-PAY77227_0	377862616.0	377862606.0	4.0	6.0	314.0	0.03636363636363636	0.6	0.9999991690108149	0.98125	0.018750000000000044	0.01875	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_50	Indel_50	Ods10xUds10x_HG006_sup-PAY77227_0	377862616.0	377860299.0	764.0	1553.0	1297.0	0.6011225082252758	0.6702632714717307	0.9999965675262749	0.4550877192982456	0.5449122807017543	0.5449122807017543	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_gt50	Indel_gt50	Ods10xUds10x_HG006_sup-PAY77227_0	377862616.0	377862516.0	21.0	79.0	146.0	0.4861538461538461	0.79	0.9999996136162297	0.6488888888888888	0.35111111111111115	0.3511111111111111	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPts	SNPts	Ods10xUds10x_HG006_sup-PAY77227_0	377862616.0	377594728.0	5244.0	262644.0	39147.0	0.9220771697745572	0.9804246550797349	0.9998963361006742	0.1297155978806525	0.8702844021193474	0.8702844021193475	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPtv	SNPtv	Ods10xUds10x_HG006_sup-PAY77227_0	377862616.0	377741173.0	3199.0	118244.0	22692.0	0.9013221332499932	0.9736584241166638	0.9999399307289489	0.16100925242663336	0.8389907475733667	0.8389907475733667	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods10xUds15x_HG006_sup-PAY77227_0	2799325643.0	2795731133.0	66223.0	3528287.0	272798.0	0.9541590636047539	0.9815766265777532	0.9999024328982604	0.07176845558570777	0.9282315444142922	0.9282315444142922	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_50	DEL_50	Ods10xUds15x_HG006_sup-PAY77227_0	2799325643.0	2799164152.0	14924.0	146567.0	38995.0	0.8446375625624905	0.9075861812732599	0.9999860692497285	0.21014539614791822	0.7898546038520817	0.7898546038520818	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_gt50	DEL_gt50	Ods10xUds15x_HG006_sup-PAY77227_0	2799325643.0	2799325618.0	23.0	2.0	1291.0	0.0030349013657056147	0.08	0.999999538817708	0.9984532095901005	0.0015467904098994678	0.0015467904098994587	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_50	INS_50	Ods10xUds15x_HG006_sup-PAY77227_0	2799325643.0	2799170362.0	11806.0	143475.0	27771.0	0.8787940966596943	0.9239700929283041	0.9999900789445118	0.1621702112750079	0.8378297887249921	0.8378297887249921	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_gt50	INS_gt50	Ods10xUds15x_HG006_sup-PAY77227_0	2799325643.0	2799325622.0	10.0	11.0	590.0	0.03536977491961415	0.5238095238095238	0.9999997892349961	0.9816971713810316	0.01830282861896837	0.018302828618968387	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_50	Indel_50	Ods10xUds15x_HG006_sup-PAY77227_0	2799325643.0	2799311500.0	274.0	13869.0	4438.0	0.8547919876733435	0.9806264583186028	0.9999984146126775	0.2424209318839788	0.7575790681160212	0.7575790681160212	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_gt50	Indel_gt50	Ods10xUds15x_HG006_sup-PAY77227_0	2799325643.0	2799324908.0	19.0	716.0	540.0	0.7192365645404319	0.9741496598639455	0.9999998070963845	0.4299363057324841	0.5700636942675159	0.5700636942675159	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPts	SNPts	Ods10xUds15x_HG006_sup-PAY77227_0	2799325643.0	2797104453.0	24958.0	2196232.0	123506.0	0.9673053613710677	0.9887636807296989	0.9999558470021713	0.05324135742915795	0.9467586425708421	0.9467586425708421	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods10xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPtv	SNPtv	Ods10xUds15x_HG006_sup-PAY77227_0	2799325643.0	2798284019.0	14209.0	1027415.0	75667.0	0.9580940231434983	0.9863588012564994	0.9999729602308172	0.06859598833087659	0.9314040116691235	0.9314040116691235	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods10xUds5x_HG006_sup-PAY77227_0	377862616.0	377419611.0	31268.0	411737.0	81538.0	0.8795168112103217	0.9294184038554869	0.9997840059554362	0.1652992752521413	0.8347007247478587	0.8347007247478587	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_50	DEL_50	Ods10xUds5x_HG006_sup-PAY77227_0	377862616.0	377836828.0	8504.0	17284.0	9384.0	0.658990391947537	0.6702342174654878	0.9999751644989364	0.35188240587970604	0.6481175941202939	0.648117594120294	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_gt50	DEL_gt50	Ods10xUds5x_HG006_sup-PAY77227_0	377862616.0	377862610.0	5.0	1.0	406.0	0.004842615012106538	0.16666666666666666	0.9999989255365495	0.9975429975429976	0.002457002457002422	0.002457002457002457	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_50	INS_50	Ods10xUds5x_HG006_sup-PAY77227_0	377862616.0	377836896.0	8517.0	17203.0	8866.0	0.6643495723029986	0.6688569206842924	0.9999765353991188	0.3400974337335533	0.6599025662664467	0.6599025662664467	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_gt50	INS_gt50	Ods10xUds5x_HG006_sup-PAY77227_0	377862616.0	377862607.0	4.0	5.0	286.0	0.03333333333333333	0.5555555555555556	0.9999992431117072	0.9828178694158075	0.01718213058419249	0.01718213058419244	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_50	Indel_50	Ods10xUds5x_HG006_sup-PAY77227_0	377862616.0	377860567.0	950.0	1099.0	828.0	0.5528169014084507	0.5363591996095657	0.9999978087203113	0.4296834457706279	0.5703165542293721	0.5703165542293721	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_gt50	Indel_gt50	Ods10xUds5x_HG006_sup-PAY77227_0	377862616.0	377862534.0	32.0	50.0	115.0	0.4048582995951417	0.6097560975609756	0.9999996956566088	0.696969696969697	0.303030303030303	0.30303030303030304	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPts	SNPts	Ods10xUds5x_HG006_sup-PAY77227_0	377862616.0	377594719.0	8345.0	259552.0	39134.0	0.9162011567590274	0.9688499684580267	0.9998963705195149	0.13102053661704935	0.8689794633829506	0.8689794633829506	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods10xUds5x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPtv	SNPtv	Ods10xUds5x_HG006_sup-PAY77227_0	377862616.0	377741162.0	4911.0	116543.0	22519.0	0.8947089622134533	0.95956493816589	0.9999403886579558	0.16193496426054566	0.8380650357394543	0.8380650357394543	HG006	clinvar_genes	-1.0	-2.0	ont	sentdhuo
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods15xUds10x_HG006_sup-PAY77227_0	2799325643.0	2795731144.0	50518.0	3543981.0	283928.0	0.9549410380027613	0.9859457465421467	0.999898452621789	0.07417313211991194	0.9258268678800881	0.9258268678800881	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_50	DEL_50	Ods15xUds10x_HG006_sup-PAY77227_0	2799325643.0	2799163601.0	13774.0	148268.0	40166.0	0.846095025051644	0.9149973463669913	0.9999856509195674	0.21315686128830252	0.7868431387116974	0.7868431387116974	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_gt50	DEL_gt50	Ods15xUds10x_HG006_sup-PAY77227_0	2799325643.0	2799325618.0	22.0	3.0	1416.0	0.004155124653739612	0.12	0.9999994941641391	0.9978858350951374	0.0021141649048626032	0.0021141649048625794	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_50	INS_50	Ods15xUds10x_HG006_sup-PAY77227_0	2799325643.0	2799170015.0	11791.0	143837.0	28720.0	0.8765604765604765	0.9242359986634796	0.9999897399210563	0.16643775679920259	0.8335622432007974	0.8335622432007974	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_gt50	INS_gt50	Ods15xUds10x_HG006_sup-PAY77227_0	2799325643.0	2799325623.0	10.0	10.0	552.0	0.03436426116838488	0.5	0.9999998028096887	0.9822064056939501	0.017793594306049876	0.017793594306049824	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_50	Indel_50	Ods15xUds10x_HG006_sup-PAY77227_0	2799325643.0	2799312400.0	407.0	12836.0	4072.0	0.851447713177009	0.9692667824511062	0.999998545359183	0.2408327418973267	0.7591672581026733	0.7591672581026733	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_gt50	Indel_gt50	Ods15xUds10x_HG006_sup-PAY77227_0	2799325643.0	2799324948.0	27.0	668.0	516.0	0.711016498137307	0.9611510791366906	0.9999998156698795	0.4358108108108108	0.5641891891891893	0.5641891891891891	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPts	SNPts	Ods15xUds10x_HG006_sup-PAY77227_0	2799325643.0	2797104440.0	15053.0	2206150.0	128272.0	0.9685388942241733	0.9932230417480977	0.9999541432504169	0.05494807708289247	0.9450519229171075	0.9450519229171075	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods15xUds10x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPtv	SNPtv	Ods15xUds10x_HG006_sup-PAY77227_0	2799325643.0	2798284000.0	9434.0	1032209.0	80214.0	0.9583819622982768	0.990943154228464	0.9999713353967298	0.07210746271876795	0.9278925372812321	0.927892537281232	HG006	ultima	-1.0	-2.0	ont	sentdhuo
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods15xUds15x_HG006_sup-PAY77227_0	331588110.0	331189012.0	9798.0	389300.0	884.0	0.9864661806553298	0.9754496389358003	0.9999973308364456	0.002265597769257581	0.9977344022307424	0.9977344022307424	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhuo
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_50	DEL_50	Ods15xUds15x_HG006_sup-PAY77227_0	331588110.0	331570348.0	2341.0	15421.0	221.0	0.9233025984911987	0.8682017790789326	0.9999993334752216	0.014128628052678685	0.9858713719473213	0.9858713719473213	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhuo
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_gt50	DEL_gt50	Ods15xUds15x_HG006_sup-PAY77227_0	331588110.0	331588110.0	0.0	0.0	1.0			0.9999999969842104	1.0	0.0	0.0	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhuo
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_50	INS_50	Ods15xUds15x_HG006_sup-PAY77227_0	331588110.0	331571457.0	2276.0	14377.0	195.0	0.9208646917534028	0.8633279289016994	0.9999994118918224	0.013381828163601428	0.9866181718363985	0.9866181718363985	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhuo
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_gt50	INS_gt50	Ods15xUds15x_HG006_sup-PAY77227_0	331588110.0	331588109.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhuo
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_50	Indel_50	Ods15xUds15x_HG006_sup-PAY77227_0	331588110.0	331587325.0	88.0	697.0	0.0	0.9406207827260459	0.8878980891719745	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhuo
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_gt50	Indel_gt50	Ods15xUds15x_HG006_sup-PAY77227_0	331588110.0	331588092.0	1.0	17.0	0.0	0.9714285714285714	0.9444444444444444	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhuo
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPts	SNPts	Ods15xUds15x_HG006_sup-PAY77227_0	331588110.0	331336499.0	3201.0	248410.0	292.0	0.993018370500067	0.987277980692418	0.9999991187214703	0.0011740959059436595	0.9988259040940564	0.9988259040940564	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhuo
Ods15xUds15x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPtv	SNPtv	Ods15xUds15x_HG006_sup-PAY77227_0	331588110.0	331475842.0	1891.0	110377.0	175.0	0.99072794183646	0.983156375815014	0.999999472058336	0.0015829654823069686	0.998417034517693	0.998417034517693	HG006	giabHC_x_ultima_x_clinvar	-1.0	-2.0	ont	sentdhuo
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-All	All	Ods15xUds20x_HG006_sup-PAY77227_0	3088286401.0	3084448334.0	108874.0	3729193.0	1050557.0	0.8654611718953884	0.9716331163577916	0.9996595179460073	0.21979329462838015	0.7802067053716198	0.7802067053716198	HG006	hg38	-1.0	-2.0	ont	sentdhuo
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_50	DEL_50	Ods15xUds20x_HG006_sup-PAY77227_0	3088286401.0	3088063999.0	45903.0	176499.0	105749.0	0.69949073615377	0.7936034747888958	0.9999657567398721	0.37466695955330065	0.6253330404466994	0.6253330404466994	HG006	hg38	-1.0	-2.0	ont	sentdhuo
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-DEL_gt50	DEL_gt50	Ods15xUds20x_HG006_sup-PAY77227_0	3088286401.0	3088286362.0	33.0	6.0	2963.0	0.003989361702127659	0.15384615384615385	0.9999990405691669	0.997979117547996	0.002020882452004047	0.0020208824520040417	HG006	hg38	-1.0	-2.0	ont	sentdhuo
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_50	INS_50	Ods15xUds20x_HG006_sup-PAY77227_0	3088286401.0	3088064965.0	36738.0	184698.0	101817.0	0.7272276262867876	0.8340920175581207	0.9999670299542779	0.3553635935291346	0.6446364064708654	0.6446364064708654	HG006	hg38	-1.0	-2.0	ont	sentdhuo
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-INS_gt50	INS_gt50	Ods15xUds20x_HG006_sup-PAY77227_0	3088286401.0	3088286359.0	24.0	18.0	2406.0	0.014598540145985401	0.42857142857142855	0.9999992209277748	0.9925742574257426	0.007425742574257432	0.007425742574257425	HG006	hg38	-1.0	-2.0	ont	sentdhuo
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_50	Indel_50	Ods15xUds20x_HG006_sup-PAY77227_0	3088286401.0	3088260818.0	6072.0	19511.0	16714.0	0.631342221071706	0.7626548880115702	0.9999945879216402	0.46139406487232576	0.5386059351276742	0.5386059351276743	HG006	hg38	-1.0	-2.0	ont	sentdhuo
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-Indel_gt50	Indel_gt50	Ods15xUds20x_HG006_sup-PAY77227_0	3088286401.0	3088285320.0	175.0	906.0	1548.0	0.5125884016973127	0.8381128584643849	0.9999994987512281	0.6308068459657702	0.3691931540342298	0.3691931540342298	HG006	hg38	-1.0	-2.0	ont	sentdhuo
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPts	SNPts	Ods15xUds20x_HG006_sup-PAY77227_0	3088286401.0	3086002071.0	10976.0	2273354.0	428906.0	0.9117870127682444	0.9951950900263973	0.999861034961353	0.15872121853559612	0.8412787814644038	0.8412787814644038	HG006	hg38	-1.0	-2.0	ont	sentdhuo
Ods15xUds20x_HG006_sup-PAY77227_0-ont-sentdhuo-SNPtv	SNPtv	Ods15xUds20x_HG006_sup-PAY77227_0	3088286401.0	3087203247.0	8953.0	1074201.0	390454.0	0.843235109068223	0.9917343240204071	0.999873541003833	0.26658428093988	0.73341571906012	0.7334157190601199	HG006	hg38	-1.0	-2.0	ont	sentdhuo
