sample	aligner	AlignedBases	AlignedBasesPct	AlignedReadLengthMean	AlignedReadLengthMedian	AlignedReadLengthMode	AlignedReadLengthStandardDeviation	ChimericReadPairPct	DeletedBases	DeletedBasesPct	DuplicateBases	DuplicateBasesPct	DuplicateReads	DuplicateReadsPct	FilteredRecords	FilteredRecordsPct	InputFileName	InputFileSize	InsertSizeMean	InsertSizeMedian	InsertSizeMode	InsertSizeStandardDeviation	InsertedBases	InsertedBasesPct	MappedBases	MappedBasesPct	MappedReads	MappedReadsPct	MatchedBases	MatchedBasesPct	MismatchedBases	MismatchedBasesPct	PerfectBases	PerfectBasesPct	PerfectReads	PerfectReadsPct	Q20Bases	Q20BasesPct	R1AlignedBases	R1AlignedBasesPct	R1AlignedReadLengthMean	R1AlignedReadLengthMedian	R1AlignedReadLengthMode	R1AlignedReadLengthStandardDeviation	R1DeletedBases	R1DeletedBasesPct	R1InsertedBases	R1InsertedBasesPct	R1MappedBases	R1MappedBasesPct	R1MappedReads	R1MappedReadsPct	R1MatchedBases	R1MatchedBasesPct	R1MismatchedBases	R1MismatchedBasesPct	R1PerfectBases	R1PerfectBasesPct	R1PerfectReads	R1PerfectReadsPct	R1Q20Bases	R1Q20BasesPct	R1SoftClippedBases	R1SoftClippedBasesPct	R1SoftClippedReads	R1SoftClippedReadsPct	R1UnmappedBases	R1UnmappedBasesPct	R1UnmappedReads	R1UnmappedReadsPct	R1UnpairedReads	R1UnpairedReadsPct	R1YieldBases	R1YieldReads	R2AlignedBases	R2AlignedBasesPct	R2AlignedReadLengthMean	R2AlignedReadLengthMedian	R2AlignedReadLengthMode	R2AlignedReadLengthStandardDeviation	R2DeletedBases	R2DeletedBasesPct	R2InsertedBases	R2InsertedBasesPct	R2MappedBases	R2MappedBasesPct	R2MappedReads	R2MappedReadsPct	R2MatchedBases	R2MatchedBasesPct	R2MismatchedBases	R2MismatchedBasesPct	R2PerfectBases	R2PerfectBasesPct	R2PerfectReads	R2PerfectReadsPct	R2Q20Bases	R2Q20BasesPct	R2SoftClippedBases	R2SoftClippedBasesPct	R2SoftClippedReads	R2SoftClippedReadsPct	R2UnmappedBases	R2UnmappedBasesPct	R2UnmappedReads	R2UnmappedReadsPct	R2UnpairedReads	R2UnpairedReadsPct	R2YieldBases	R2YieldReads	SoftClippedBases	SoftClippedBasesPct	SoftClippedReads	SoftClippedReadsPct	TotalPairs	TotalRecords	TotalSameChrPairs	TotalSameChrPairsPct	UnfilteredRecords	UnfilteredRecordsPct	UnmappedBases	UnmappedBasesPct	UnmappedReads	UnmappedReadsPct	UnpairedReads	UnpairedReadsPct	WgsAlignedReads	WgsAlignedReadsPct	WgsCalculatedAlignedReads	WgsCovDuplicateReads	WgsCovDuplicateReadsPct	WgsCoverageBases1	WgsCoverageBases10	WgsCoverageBases100	WgsCoverageBases1000	WgsCoverageBases1000Pct	WgsCoverageBases100Pct	WgsCoverageBases10Pct	WgsCoverageBases15	WgsCoverageBases15Pct	WgsCoverageBases1Pct	WgsCoverageBases20	WgsCoverageBases20Pct	WgsCoverageBases30	WgsCoverageBases30Pct	WgsCoverageBases40	WgsCoverageBases40Pct	WgsCoverageBases50	WgsCoverageBases500	WgsCoverageBases500Pct	WgsCoverageBases50Pct	WgsCoverageBases60	WgsCoverageBases60Pct	WgsCoverageBases70	WgsCoverageBases70Pct	WgsCoverageMean	WgsCoverageMedian	WgsCoverageStandardDeviation	WgsExpectedAlignedReads	WgsFilteredLowBaseQualityBases	WgsFilteredOverlapBases	WgsReadsPaired	WgsReadsPairedWithMates	WgsTotalReads	YieldBases	YieldReads
I0-1x_HG006_grapev2_0.sent	sent	343979826	98.470673	148.385246	151	151	12.931099	2.160051	137226	0.039894	106099	0.030535	704	0.030473	0	0.0	results/day/hg38/I0-1x_HG006_grapev2_0/align/sent/I0-1x_HG006_grapev2_0.sent.cram	43768924	477.166119	474	457	122.287683	131679	0.038281	349322102	100.0	2322545	100.0	341949486	99.40975	1898661	0.551969	230560228	66.002187	1540335	66.320997	335338809	97.487929	172786839	98.817862	148.867724	151	151	11.237323	68877	0.039862	64451	0.037301	174853853	100.0	1162615	100.0	171995042	99.541749	727346	0.42095	121725719	69.615692	811981	69.840919	169255503	97.956247	1264666	0.72327	31331	2.694873	0	0.0	0	0.0	0	0.0	174853853	1162615	171192987	98.122717	147.901651	151	151	14.414469	68349	0.039925	67228	0.03927	174468249	100.0	1159930	100.0	169954444	99.276522	1171315	0.684207	108834509	62.380697	728354	62.792927	166083306	97.015251	2227574	1.276779	48765	4.204133	0	0.0	0	0.0	450	0.038795	174468249	1159930	3492240	0.999719	80096	3.448631	1159480	2322545	1136509	97.980826	2322545	100.0	0	0.0	0	0.0	0	0.0	2310233	99.469892	2309529	704	0.030312	309840463	228878	9168	665	2.1e-05	0.000296	0.007384	128672	0.004151	9.995391	92805	0.002994	61852	0.001995	40605	0.00131	26997	830	2.7e-05	0.000871	20718	0.000668	16514	0.000533	0.110893	0	1.682429	2310233	0	0	2310233	2305190	2322545	349322102	2322545
I0-5x_HG006_grapev2_0.sent	sent	1761721518	98.476198	148.393842	151	151	12.908423	2.154885	697312	0.039581	1638017	0.092052	10885	0.092003	0	0.0	results/day/hg38/I0-5x_HG006_grapev2_0/align/sent/I0-5x_HG006_grapev2_0.sent.cram	221965220	477.075326	473	455	122.36936	676463	0.038398	1788982061	100.0	11894545	100.0	1751317264	99.409427	9727791	0.552175	1180913640	66.010368	7889590	66.329481	1717484481	97.488988	884934217	98.823699	148.876743	151	151	11.214371	346065	0.039106	331007	0.037405	895467614	100.0	5954072	100.0	880868861	99.540604	3734349	0.421992	623289915	69.604965	4157687	69.829303	866831786	97.954376	6404184	0.715178	159217	2.674086	0	0.0	0	0.0	0	0.0	895467614	5954072	876787301	98.127938	147.909835	151	151	14.391604	351247	0.040061	345456	0.0394	893514447	100.0	5940473	100.0	870448403	99.277031	5993442	0.683569	557623725	62.407914	3731903	62.821647	850652695	97.019276	11330302	1.26806	248281	4.179482	0	0.0	0	0.0	2340	0.039391	893514447	5940473	17734486	0.991317	407498	3.425923	5938133	11894545	5820120	97.974017	11894545	100.0	0	0.0	0	0.0	0	0.0	11831143	99.466966	11820258	10885	0.091513	1259863828	1284649	91095	2742	8.8e-05	0.002939	0.041442	872727	0.028154	40.642332	634909	0.020482	402385	0.012981	287442	0.009273	210701	9261	0.000299	0.006797	161797	0.005219	131974	0.004257	0.567603	0	8.440851	11831143	0	0	11831143	11805231	11894545	1788982061	11894545
I1-5x_HG006_grapev2_0.sent	sent	5327458737	98.476363	148.392693	151	151	12.913789	2.147449	2107610	0.039561	12500994	0.232311	83099	0.232263	0	0.0	results/day/hg38/I1-5x_HG006_grapev2_0/align/sent/I1-5x_HG006_grapev2_0.sent.cram	666237815	477.074671	473	468	122.273999	2049928	0.038479	5409885772	100.0	35969219	100.0	5295961477	99.408775	29447332	0.552746	3570153179	65.993134	23852191	66.312785	5193647935	97.488281	2676050212	98.821133	148.871965	151	151	11.234843	1047078	0.039128	1001886	0.037439	2707973623	100.0	18005745	100.0	2663754513	99.540528	11293813	0.422033	1884770884	69.600784	12572917	69.827252	2621280900	97.953353	19429877	0.717506	481410	2.673647	0	0.0	0	0.0	0	0.0	2707973623	18005745	2651408525	98.130819	147.912292	151	151	14.385568	1060532	0.039999	1048042	0.039528	2701912149	100.0	17963474	100.0	2632206964	99.275798	18153519	0.684675	1685382295	62.377391	11279274	62.790048	2572367035	97.018887	34253092	1.267735	752236	4.187586	0	0.0	0	0.0	7097	0.039508	2701912149	17963474	53682969	0.992312	1233646	3.429727	17956377	35969219	17599894	97.976004	35969219	100.0	0	0.0	0	0.0	0	0.0	35777916	99.468148	35694817	83099	0.231028	2363776936	4271254	354638	17986	0.00058	0.01144	0.137786	2348502	0.07576	76.252895	1726199	0.055685	1217214	0.039266	961188	0.031007	755701	56457	0.001821	0.024378	613547	0.019792	524001	0.016904	1.714046	1	25.152548	35777916	0	0	35777916	35699024	35969219	5409885772	35969219
I12x_HG006_grapev2_0.sent	sent	42614630789	98.474355	148.391565	151	151	12.915734	2.156448	16812204	0.039452	664699446	1.544221	4418786	1.544009	0	0.0	results/day/hg38/I12x_HG006_grapev2_0/align/sent/I12x_HG006_grapev2_0.sent.cram	5292429766	477.191557	473	466	122.001763	16381731	0.038442	43274851454	100.0	287723253	100.0	42362603609	99.40859	235645449	0.552968	28560517117	65.997955	190812682	66.31813	41544153202	97.488005	21405798047	98.820202	148.871529	151	151	11.237621	8359699	0.039053	7995930	0.037354	21661358271	100.0	144028734	100.0	21307490857	99.540745	90311260	0.421901	15078624249	69.610705	100588160	69.838953	20967918284	97.954387	155603407	0.718346	3851924	2.674414	0	0.0	0	0.0	0	0.0	21661358271	144028734	21208832742	98.127742	147.910485	151	151	14.386805	8452505	0.039854	8385801	0.039539	21613493183	100.0	143694519	100.0	21055112752	99.275208	145334189	0.685253	13481892868	62.377205	90224522	62.789119	20576234918	97.017291	274079799	1.268096	6023417	4.191821	0	0.0	0	0.0	57962	0.040337	21613493183	143694519	429683206	0.992917	9875341	3.432236	143636557	287723253	140778384	97.970601	287723253	100.0	0	0.0	0	0.0	0	0.0	286189123	99.466804	281770337	4418786	1.535776	2925664475	2413640607	2601841	265201	0.008555	0.083932	77.86132	1226397707	39.562205	94.378632	302658410	9.763418	19284558	0.622098	10158944	0.327716	6864065	575037	0.01855	0.221427	5134763	0.165642	4091204	0.131978	13.532251	13	191.617012	286189123	0	0	286189123	285556340	287723253	43274851454	287723253
I15x_HG006_grapev2_0.sent	sent	53268814456	98.474126	148.391446	151	151	12.91564	2.160086	21024224	0.039468	1019172917	1.894163	6775100	1.893861	0	0.0	results/day/hg38/I15x_HG006_grapev2_0/align/sent/I15x_HG006_grapev2_0.sent.cram	6628854424	477.181261	473	466	121.979548	20482726	0.038452	54094224367	100.0	359658141	100.0	52953758200	99.408554	294573530	0.552994	35700941892	65.997696	238517657	66.317881	51930654564	97.487911	26757501403	98.820218	148.871669	151	151	11.236403	10449058	0.039051	9997451	0.037363	27076950454	100.0	180037458	100.0	26634606243	99.540708	112897709	0.421929	18848371960	69.610394	125735611	69.838584	26210134872	97.954344	194511964	0.718367	4815341	2.674633	0	0.0	0	0.0	0	0.0	27076950454	180037458	26511313053	98.127269	147.910109	151	151	14.387565	10575166	0.039889	10485275	0.03955	27017273913	100.0	179620683	100.0	26319151957	99.275173	181675821	0.685277	16852569932	62.377018	112782046	62.789009	25720519692	97.017148	342657683	1.268291	7530623	4.192514	0	0.0	0	0.0	72779	0.040518	27017273913	179620683	537169647	0.993026	12345964	3.432694	179547904	359658141	175972509	97.968957	359658141	100.0	0	0.0	0	0.0	0	0.0	357740060	99.466693	350964960	6775100	1.883761	2926907866	2700503585	3386520	345083	0.011132	0.109245	87.115196	2025402566	65.337199	94.418742	914659067	29.505868	52584445	1.696315	15333701	0.494648	9960601	713260	0.023009	0.321318	7229471	0.233215	5650010	0.182263	16.855754	17	238.419227	357740060	0	0	357740060	356949004	359658141	54094224367	359658141
I1x_HG006_grapev2_0.sent	sent	3566051469	98.477813	148.394891	151	151	12.908237	2.149021	1409100	0.039514	5938492	0.164869	39473	0.164825	0	0.0	results/day/hg38/I1x_HG006_grapev2_0/align/sent/I1x_HG006_grapev2_0.sent.cram	447117022	477.039192	473	468	122.304768	1371210	0.038452	3621172500	100.0	24076397	100.0	3544980871	99.409134	19699388	0.552415	2390165980	66.005306	15968618	66.324783	3476530607	97.489636	1791278931	98.825088	148.876866	151	151	11.216179	699090	0.039027	671851	0.037507	1812575088	100.0	12052073	100.0	1783046501	99.540416	7560579	0.422077	1261777890	69.612448	8416949	69.838185	1754634504	97.954287	12974180	0.715787	322071	2.672329	0	0.0	0	0.0	0	0.0	1812575088	12052073	1774772538	98.129773	147.911803	151	151	14.389943	710010	0.040006	699359	0.039406	1808597412	100.0	12024324	100.0	1761934370	99.27663	12138809	0.683964	1128388090	62.39023	7551669	62.803273	1721896103	97.020664	22922736	1.267432	502805	4.181566	0	0.0	0	0.0	4803	0.039944	1808597412	12024324	35896916	0.991306	824876	3.426077	12019521	24076397	11780774	97.974522	24076397	100.0	0	0.0	0	0.0	0	0.0	23948456	99.468604	23908983	39473	0.163949	1973097834	2515667	209040	9416	0.000304	0.006743	0.081153	1594812	0.051447	63.650066	1241226	0.040041	863226	0.027847	625385	0.020174	488791	26478	0.000854	0.015768	400062	0.012906	336429	0.010853	1.1481	1	16.949303	23948456	0	0	23948456	23895646	24076397	3621172500	24076397
I20x_HG006_grapev2_0.sent	sent	71009622017	98.473651	148.390769	151	151	12.918083	2.166449	28044958	0.039495	1767393668	2.464096	11748646	2.463627	0	0.0	results/day/hg38/I20x_HG006_grapev2_0/align/sent/I20x_HG006_grapev2_0.sent.cram	8865043474	477.137137	473	468	121.968016	27306540	0.038455	72110276428	100.0	479442292	100.0	70589595073	99.408493	392720404	0.553052	47589727680	65.995764	317947256	66.316064	69225676705	97.487741	35668853689	98.820238	148.871532	151	151	11.236684	13931347	0.039057	13328197	0.037366	36094685120	100.0	239997427	100.0	35505016429	99.540671	150509063	0.421962	25125122901	69.608927	167606902	69.836958	34939109173	97.954113	259296678	0.718379	6420357	2.675177	0	0.0	0	0.0	0	0.0	36094685120	239997427	35340768328	98.126303	147.908896	151	151	14.391683	14113611	0.039936	13978343	0.039553	36015591308	100.0	239444865	100.0	35084578644	99.275087	242211341	0.68536	22464604779	62.374666	150340354	62.787045	34286567532	97.017041	456911820	1.26865	10041299	4.193575	0	0.0	0	0.0	97376	0.040667	36015591308	239444865	716208498	0.993213	16461656	3.433501	239347489	479442292	234579094	97.967895	479442292	100.0	0	0.0	0	0.0	0	0.0	476884054	99.466414	465135408	11748646	2.450482	2928023588	2837181366	5017514	466090	0.015036	0.161859	91.524266	2629717077	84.831703	94.454734	2053266929	66.236072	394977626	12.741532	36586328	1.180234	16908089	993292	0.032042	0.545436	11848928	0.382233	8928158	0.288012	22.339663	22	315.778303	476884054	0	0	476884054	475830199	479442292	72110276428	479442292
I30x_HG006_grapev2_0.sent	sent	106530850478	98.474068	148.391183	151	151	12.915514	2.177399	42105842	0.039525	3838013043	3.56676	25512128	3.56596	0	0.0	results/day/hg38/I30x_HG006_grapev2_0/align/sent/I30x_HG006_grapev2_0.sent.cram	13381879808	476.994739	473	460	121.97219	40973734	0.038462	108181628763	100.0	719271992	100.0	105900655108	99.408439	589221636	0.5531	71393380190	65.993996	476978629	66.314083	103854432943	97.48766	53511548142	98.820721	148.871979	151	151	11.234364	20917965	0.039091	19993740	0.037363	54150129293	100.0	360050295	100.0	53265732333	99.54063	225822069	0.422006	37692511587	69.607427	251442363	69.835344	52416707312	97.95401	388849808	0.718096	9633342	2.675555	0	0.0	0	0.0	0	0.0	54150129293	360050295	53019302336	98.126654	147.909278	151	151	14.388876	21187877	0.039963	20979994	0.03957	54031499470	100.0	359221697	100.0	52634922775	99.27502	363399567	0.68541	33700868603	62.372633	225536266	62.7847	51437725631	97.016979	685331870	1.268393	15066535	4.194216	0	0.0	0	0.0	146232	0.040708	54031499470	359221697	1074181678	0.992943	24699877	3.434011	359075465	719271992	351925109	97.968779	719271992	100.0	0	0.0	0	0.0	0	0.0	715435068	99.466555	689922940	25512128	3.546937	2929169130	2902745254	9488851	696863	0.02248	0.3061	93.639283	2841263202	91.655942	94.491688	2736110590	88.263837	2082580412	67.181692	678108503	21.875014	97874347	1328433	0.042854	3.157316	27389048	0.88354	18639367	0.601285	33.137455	33	470.047391	715435068	0	0	715435068	713853850	719271992	108181628763	719271992
I3x_HG006_grapev2_0.sent	sent	10653238137	98.473727	148.389745	151	151	12.922732	2.152136	4203690	0.039459	46897285	0.435818	311783	0.435784	0	0.0	results/day/hg38/I3x_HG006_grapev2_0/align/sent/I3x_HG006_grapev2_0.sent.cram	1325102229	477.149462	473	466	122.224453	4093934	0.038429	10818355736	100.0	71928701	100.0	10590242522	99.408672	58901681	0.552899	7139743220	65.996565	47700653	66.316578	10385609790	97.487822	5351274061	98.818848	148.869371	151	151	11.246991	2088711	0.039032	1996550	0.03731	5415236225	100.0	36006601	100.0	5326701387	99.540807	22576124	0.421883	3769702817	69.612897	25147168	69.840438	5241779735	97.953864	38941253	0.719105	963739	2.676562	0	0.0	0	0.0	0	0.0	5415236225	36006601	5301964076	98.127833	147.908992	151	151	14.392108	2114979	0.03989	2097384	0.039559	5403119511	100.0	35922100	100.0	5263541135	99.275307	36325557	0.685134	3370040403	62.372124	22553485	62.784428	5143830055	97.017445	68575848	1.26919	1506422	4.19358	0	0.0	0	0.0	14447	0.040218	5403119511	35922100	107517101	0.99384	2470161	3.43418	35907653	71928701	35192616	97.969261	71928701	100.0	0	0.0	0	0.0	0	0.0	71545379	99.467081	71233596	311783	0.433461	2796266488	26422659	742837	55777	0.001799	0.023963	0.852365	5899164	0.1903	90.204399	3718391	0.119951	2231707	0.071992	1674360	0.054013	1384339	107009	0.003452	0.044657	1199269	0.038687	1066892	0.034417	3.420653	3	49.681511	71545379	0	0	71545379	71386915	71928701	10818355736	71928701
I5x_HG006_grapev2_0.sent	sent	17746190369	98.474103	148.390664	151	151	12.918727	2.151238	7002833	0.039461	124012837	0.691835	824463	0.691781	0	0.0	results/day/hg38/I5x_HG006_grapev2_0/align/sent/I5x_HG006_grapev2_0.sent.cram	2201306563	477.154829	473	464	122.154885	6819903	0.03843	18021174967	100.0	119818413	100.0	17641252100	99.408672	98118366	0.552898	11893475156	65.997224	79460573	66.317497	17300515439	97.488616	8914071356	98.818972	148.869679	151	151	11.244622	3481346	0.039055	3326768	0.03732	9020607294	100.0	59979176	100.0	8873135341	99.540771	37609247	0.421909	6279327927	69.610922	41889052	69.839326	8731758700	97.954777	64847355	0.71888	1604846	2.675672	0	0.0	0	0.0	0	0.0	9020607294	59979176	8832119013	98.128466	147.910528	151	151	14.386784	3521487	0.039871	3493135	0.03955	9000567673	100.0	59839237	100.0	8768116759	99.275347	60509119	0.685103	5614147229	62.375479	37571521	62.787433	8568756739	97.01813	114158940	1.268353	2508835	4.192625	0	0.0	0	0.0	24054	0.040198	9000567673	59839237	179006295	0.993311	4113681	3.433263	59815183	119818413	58625124	97.971042	119818413	100.0	0	0.0	0	0.0	0	0.0	119179687	99.466922	118355224	824463	0.688094	2898994261	264024465	1190920	88762	0.002863	0.038418	8.517134	19639506	0.633548	93.518312	8071466	0.260376	4136715	0.133446	2815662	0.09083	2179905	204807	0.006607	0.070321	1817504	0.058631	1581885	0.05103	5.683653	5	81.624126	119179687	0	0	119179687	118916450	119818413	18021174967	119818413
