Sample	aligner	AlignedBases	AlignedBasesPct	AlignedReadLengthMean	AlignedReadLengthMedian	AlignedReadLengthMode	AlignedReadLengthStandardDeviation	ChimericReadPairPct	DeletedBases	DeletedBasesPct	DuplicateBases	DuplicateBasesPct	DuplicateReads	DuplicateReadsPct	FilteredRecords	FilteredRecordsPct	InputFileName	InputFileSize	InsertSizeMean	InsertSizeMedian	InsertSizeMode	InsertSizeStandardDeviation	InsertedBases	InsertedBasesPct	MappedBases	MappedBasesPct	MappedReads	MappedReadsPct	MatchedBases	MatchedBasesPct	MismatchedBases	MismatchedBasesPct	PerfectBases	PerfectBasesPct	PerfectReads	PerfectReadsPct	Q20Bases	Q20BasesPct	R1AlignedBases	R1AlignedBasesPct	R1AlignedReadLengthMean	R1AlignedReadLengthMedian	R1AlignedReadLengthMode	R1AlignedReadLengthStandardDeviation	R1DeletedBases	R1DeletedBasesPct	R1InsertedBases	R1InsertedBasesPct	R1MappedBases	R1MappedBasesPct	R1MappedReads	R1MappedReadsPct	R1MatchedBases	R1MatchedBasesPct	R1MismatchedBases	R1MismatchedBasesPct	R1PerfectBases	R1PerfectBasesPct	R1PerfectReads	R1PerfectReadsPct	R1Q20Bases	R1Q20BasesPct	R1SoftClippedBases	R1SoftClippedBasesPct	R1SoftClippedReads	R1SoftClippedReadsPct	R1UnmappedBases	R1UnmappedBasesPct	R1UnmappedReads	R1UnmappedReadsPct	R1UnpairedReads	R1UnpairedReadsPct	R1YieldBases	R1YieldReads	R2AlignedBases	R2AlignedBasesPct	R2AlignedReadLengthMean	R2AlignedReadLengthMedian	R2AlignedReadLengthMode	R2AlignedReadLengthStandardDeviation	R2DeletedBases	R2DeletedBasesPct	R2InsertedBases	R2InsertedBasesPct	R2MappedBases	R2MappedBasesPct	R2MappedReads	R2MappedReadsPct	R2MatchedBases	R2MatchedBasesPct	R2MismatchedBases	R2MismatchedBasesPct	R2PerfectBases	R2PerfectBasesPct	R2PerfectReads	R2PerfectReadsPct	R2Q20Bases	R2Q20BasesPct	R2SoftClippedBases	R2SoftClippedBasesPct	R2SoftClippedReads	R2SoftClippedReadsPct	R2UnmappedBases	R2UnmappedBasesPct	R2UnmappedReads	R2UnmappedReadsPct	R2UnpairedReads	R2UnpairedReadsPct	R2YieldBases	R2YieldReads	SoftClippedBases	SoftClippedBasesPct	SoftClippedReads	SoftClippedReadsPct	TotalPairs	TotalRecords	TotalSameChrPairs	TotalSameChrPairsPct	UnfilteredRecords	UnfilteredRecordsPct	UnmappedBases	UnmappedBasesPct	UnmappedReads	UnmappedReadsPct	UnpairedReads	UnpairedReadsPct	WgsAlignedReads	WgsAlignedReadsPct	WgsCalculatedAlignedReads	WgsCovDuplicateReads	WgsCovDuplicateReadsPct	WgsCoverageBases1	WgsCoverageBases10	WgsCoverageBases100	WgsCoverageBases1000	WgsCoverageBases1000Pct	WgsCoverageBases100Pct	WgsCoverageBases10Pct	WgsCoverageBases15	WgsCoverageBases15Pct	WgsCoverageBases1Pct	WgsCoverageBases20	WgsCoverageBases20Pct	WgsCoverageBases30	WgsCoverageBases30Pct	WgsCoverageBases40	WgsCoverageBases40Pct	WgsCoverageBases50	WgsCoverageBases500	WgsCoverageBases500Pct	WgsCoverageBases50Pct	WgsCoverageBases60	WgsCoverageBases60Pct	WgsCoverageBases70	WgsCoverageBases70Pct	WgsCoverageMean	WgsCoverageMedian	WgsCoverageStandardDeviation	WgsExpectedAlignedReads	WgsFilteredLowBaseQualityBases	WgsFilteredOverlapBases	WgsReadsPaired	WgsReadsPairedWithMates	WgsTotalReads	YieldBases	YieldReads
I0-1x_HG006_grapev2_0.sent	sent	343979826.0	98.470673	148.385246	151.0	151.0	12.931099	2.160051	137226.0	0.039894	106099.0	0.030535	704.0	0.030473	0.0	0.0	results/day/hg38/I0-1x_HG006_grapev2_0/align/sent/I0-1x_HG006_grapev2_0.sent.cram	43768924.0	477.166119	474.0	457.0	122.287683	131679.0	0.038281	349322102.0	100.0	2322545.0	100.0	341949486.0	99.40975	1898661.0	0.551969	230560228.0	66.002187	1540335.0	66.320997	335338809.0	97.487929	172786839.0	98.817862	148.867724	151.0	151.0	11.237323	68877.0	0.039862	64451.0	0.037301	174853853.0	100.0	1162615.0	100.0	171995042.0	99.541749	727346.0	0.42095	121725719.0	69.615692	811981.0	69.840919	169255503.0	97.956247	1264666.0	0.72327	31331.0	2.694873	0.0	0.0	0.0	0.0	0.0	0.0	174853853.0	1162615.0	171192987.0	98.122717	147.901651	151.0	151.0	14.414469	68349.0	0.039925	67228.0	0.03927	174468249.0	100.0	1159930.0	100.0	169954444.0	99.276522	1171315.0	0.684207	108834509.0	62.380697	728354.0	62.792927	166083306.0	97.015251	2227574.0	1.276779	48765.0	4.204133	0.0	0.0	0.0	0.0	450.0	0.038795	174468249.0	1159930.0	3492240.0	0.999719	80096.0	3.448631	1159480.0	2322545.0	1136509.0	97.980826	2322545.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	2310233.0	99.469892	2309529.0	704.0	0.030312	309840463.0	228878.0	9168.0	665.0	2.1e-05	0.000296	0.007384	128672.0	0.004151	9.995391	92805.0	0.002994	61852.0	0.001995	40605.0	0.00131	26997.0	830.0	2.7e-05	0.000871	20718.0	0.000668	16514.0	0.000533	0.110893	0.0	1.682429	2310233.0	0.0	0.0	2310233.0	2305190.0	2322545.0	349322102.0	2322545.0
I0-5x_HG006_grapev2_0.sent	sent	1761721518.0	98.476198	148.393842	151.0	151.0	12.908423	2.154885	697312.0	0.039581	1638017.0	0.092052	10885.0	0.092003	0.0	0.0	results/day/hg38/I0-5x_HG006_grapev2_0/align/sent/I0-5x_HG006_grapev2_0.sent.cram	221965220.0	477.075326	473.0	455.0	122.36936	676463.0	0.038398	1788982061.0	100.0	11894545.0	100.0	1751317264.0	99.409427	9727791.0	0.552175	1180913640.0	66.010368	7889590.0	66.329481	1717484481.0	97.488988	884934217.0	98.823699	148.876743	151.0	151.0	11.214371	346065.0	0.039106	331007.0	0.037405	895467614.0	100.0	5954072.0	100.0	880868861.0	99.540604	3734349.0	0.421992	623289915.0	69.604965	4157687.0	69.829303	866831786.0	97.954376	6404184.0	0.715178	159217.0	2.674086	0.0	0.0	0.0	0.0	0.0	0.0	895467614.0	5954072.0	876787301.0	98.127938	147.909835	151.0	151.0	14.391604	351247.0	0.040061	345456.0	0.0394	893514447.0	100.0	5940473.0	100.0	870448403.0	99.277031	5993442.0	0.683569	557623725.0	62.407914	3731903.0	62.821647	850652695.0	97.019276	11330302.0	1.26806	248281.0	4.179482	0.0	0.0	0.0	0.0	2340.0	0.039391	893514447.0	5940473.0	17734486.0	0.991317	407498.0	3.425923	5938133.0	11894545.0	5820120.0	97.974017	11894545.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	11831143.0	99.466966	11820258.0	10885.0	0.091513	1259863828.0	1284649.0	91095.0	2742.0	8.8e-05	0.002939	0.041442	872727.0	0.028154	40.642332	634909.0	0.020482	402385.0	0.012981	287442.0	0.009273	210701.0	9261.0	0.000299	0.006797	161797.0	0.005219	131974.0	0.004257	0.567603	0.0	8.440851	11831143.0	0.0	0.0	11831143.0	11805231.0	11894545.0	1788982061.0	11894545.0
I1-5x_HG006_grapev2_0.sent	sent	5327458737.0	98.476363	148.392693	151.0	151.0	12.913789	2.147449	2107610.0	0.039561	12500994.0	0.232311	83099.0	0.232263	0.0	0.0	results/day/hg38/I1-5x_HG006_grapev2_0/align/sent/I1-5x_HG006_grapev2_0.sent.cram	666237815.0	477.074671	473.0	468.0	122.273999	2049928.0	0.038479	5409885772.0	100.0	35969219.0	100.0	5295961477.0	99.408775	29447332.0	0.552746	3570153179.0	65.993134	23852191.0	66.312785	5193647935.0	97.488281	2676050212.0	98.821133	148.871965	151.0	151.0	11.234843	1047078.0	0.039128	1001886.0	0.037439	2707973623.0	100.0	18005745.0	100.0	2663754513.0	99.540528	11293813.0	0.422033	1884770884.0	69.600784	12572917.0	69.827252	2621280900.0	97.953353	19429877.0	0.717506	481410.0	2.673647	0.0	0.0	0.0	0.0	0.0	0.0	2707973623.0	18005745.0	2651408525.0	98.130819	147.912292	151.0	151.0	14.385568	1060532.0	0.039999	1048042.0	0.039528	2701912149.0	100.0	17963474.0	100.0	2632206964.0	99.275798	18153519.0	0.684675	1685382295.0	62.377391	11279274.0	62.790048	2572367035.0	97.018887	34253092.0	1.267735	752236.0	4.187586	0.0	0.0	0.0	0.0	7097.0	0.039508	2701912149.0	17963474.0	53682969.0	0.992312	1233646.0	3.429727	17956377.0	35969219.0	17599894.0	97.976004	35969219.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	35777916.0	99.468148	35694817.0	83099.0	0.231028	2363776936.0	4271254.0	354638.0	17986.0	0.00058	0.01144	0.137786	2348502.0	0.07576	76.252895	1726199.0	0.055685	1217214.0	0.039266	961188.0	0.031007	755701.0	56457.0	0.001821	0.024378	613547.0	0.019792	524001.0	0.016904	1.714046	1.0	25.152548	35777916.0	0.0	0.0	35777916.0	35699024.0	35969219.0	5409885772.0	35969219.0
I12x_HG006_grapev2_0.sent	sent	42614630789.0	98.474355	148.391565	151.0	151.0	12.915734	2.156448	16812204.0	0.039452	664699446.0	1.544221	4418786.0	1.544009	0.0	0.0	results/day/hg38/I12x_HG006_grapev2_0/align/sent/I12x_HG006_grapev2_0.sent.cram	5292429766.0	477.191557	473.0	466.0	122.001763	16381731.0	0.038442	43274851454.0	100.0	287723253.0	100.0	42362603609.0	99.40859	235645449.0	0.552968	28560517117.0	65.997955	190812682.0	66.31813	41544153202.0	97.488005	21405798047.0	98.820202	148.871529	151.0	151.0	11.237621	8359699.0	0.039053	7995930.0	0.037354	21661358271.0	100.0	144028734.0	100.0	21307490857.0	99.540745	90311260.0	0.421901	15078624249.0	69.610705	100588160.0	69.838953	20967918284.0	97.954387	155603407.0	0.718346	3851924.0	2.674414	0.0	0.0	0.0	0.0	0.0	0.0	21661358271.0	144028734.0	21208832742.0	98.127742	147.910485	151.0	151.0	14.386805	8452505.0	0.039854	8385801.0	0.039539	21613493183.0	100.0	143694519.0	100.0	21055112752.0	99.275208	145334189.0	0.685253	13481892868.0	62.377205	90224522.0	62.789119	20576234918.0	97.017291	274079799.0	1.268096	6023417.0	4.191821	0.0	0.0	0.0	0.0	57962.0	0.040337	21613493183.0	143694519.0	429683206.0	0.992917	9875341.0	3.432236	143636557.0	287723253.0	140778384.0	97.970601	287723253.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	286189123.0	99.466804	281770337.0	4418786.0	1.535776	2925664475.0	2413640607.0	2601841.0	265201.0	0.008555	0.083932	77.86132	1226397707.0	39.562205	94.378632	302658410.0	9.763418	19284558.0	0.622098	10158944.0	0.327716	6864065.0	575037.0	0.01855	0.221427	5134763.0	0.165642	4091204.0	0.131978	13.532251	13.0	191.617012	286189123.0	0.0	0.0	286189123.0	285556340.0	287723253.0	43274851454.0	287723253.0
I15x_HG006_grapev2_0.sent	sent	53268814456.0	98.474126	148.391446	151.0	151.0	12.91564	2.160086	21024224.0	0.039468	1019172917.0	1.894163	6775100.0	1.893861	0.0	0.0	results/day/hg38/I15x_HG006_grapev2_0/align/sent/I15x_HG006_grapev2_0.sent.cram	6628854424.0	477.181261	473.0	466.0	121.979548	20482726.0	0.038452	54094224367.0	100.0	359658141.0	100.0	52953758200.0	99.408554	294573530.0	0.552994	35700941892.0	65.997696	238517657.0	66.317881	51930654564.0	97.487911	26757501403.0	98.820218	148.871669	151.0	151.0	11.236403	10449058.0	0.039051	9997451.0	0.037363	27076950454.0	100.0	180037458.0	100.0	26634606243.0	99.540708	112897709.0	0.421929	18848371960.0	69.610394	125735611.0	69.838584	26210134872.0	97.954344	194511964.0	0.718367	4815341.0	2.674633	0.0	0.0	0.0	0.0	0.0	0.0	27076950454.0	180037458.0	26511313053.0	98.127269	147.910109	151.0	151.0	14.387565	10575166.0	0.039889	10485275.0	0.03955	27017273913.0	100.0	179620683.0	100.0	26319151957.0	99.275173	181675821.0	0.685277	16852569932.0	62.377018	112782046.0	62.789009	25720519692.0	97.017148	342657683.0	1.268291	7530623.0	4.192514	0.0	0.0	0.0	0.0	72779.0	0.040518	27017273913.0	179620683.0	537169647.0	0.993026	12345964.0	3.432694	179547904.0	359658141.0	175972509.0	97.968957	359658141.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	357740060.0	99.466693	350964960.0	6775100.0	1.883761	2926907866.0	2700503585.0	3386520.0	345083.0	0.011132	0.109245	87.115196	2025402566.0	65.337199	94.418742	914659067.0	29.505868	52584445.0	1.696315	15333701.0	0.494648	9960601.0	713260.0	0.023009	0.321318	7229471.0	0.233215	5650010.0	0.182263	16.855754	17.0	238.419227	357740060.0	0.0	0.0	357740060.0	356949004.0	359658141.0	54094224367.0	359658141.0
I1x_HG006_grapev2_0.sent	sent	3566051469.0	98.477813	148.394891	151.0	151.0	12.908237	2.149021	1409100.0	0.039514	5938492.0	0.164869	39473.0	0.164825	0.0	0.0	results/day/hg38/I1x_HG006_grapev2_0/align/sent/I1x_HG006_grapev2_0.sent.cram	447117022.0	477.039192	473.0	468.0	122.304768	1371210.0	0.038452	3621172500.0	100.0	24076397.0	100.0	3544980871.0	99.409134	19699388.0	0.552415	2390165980.0	66.005306	15968618.0	66.324783	3476530607.0	97.489636	1791278931.0	98.825088	148.876866	151.0	151.0	11.216179	699090.0	0.039027	671851.0	0.037507	1812575088.0	100.0	12052073.0	100.0	1783046501.0	99.540416	7560579.0	0.422077	1261777890.0	69.612448	8416949.0	69.838185	1754634504.0	97.954287	12974180.0	0.715787	322071.0	2.672329	0.0	0.0	0.0	0.0	0.0	0.0	1812575088.0	12052073.0	1774772538.0	98.129773	147.911803	151.0	151.0	14.389943	710010.0	0.040006	699359.0	0.039406	1808597412.0	100.0	12024324.0	100.0	1761934370.0	99.27663	12138809.0	0.683964	1128388090.0	62.39023	7551669.0	62.803273	1721896103.0	97.020664	22922736.0	1.267432	502805.0	4.181566	0.0	0.0	0.0	0.0	4803.0	0.039944	1808597412.0	12024324.0	35896916.0	0.991306	824876.0	3.426077	12019521.0	24076397.0	11780774.0	97.974522	24076397.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	23948456.0	99.468604	23908983.0	39473.0	0.163949	1973097834.0	2515667.0	209040.0	9416.0	0.000304	0.006743	0.081153	1594812.0	0.051447	63.650066	1241226.0	0.040041	863226.0	0.027847	625385.0	0.020174	488791.0	26478.0	0.000854	0.015768	400062.0	0.012906	336429.0	0.010853	1.1481	1.0	16.949303	23948456.0	0.0	0.0	23948456.0	23895646.0	24076397.0	3621172500.0	24076397.0
I20x_HG006_grapev2_0.sent	sent	71009622017.0	98.473651	148.390769	151.0	151.0	12.918083	2.166449	28044958.0	0.039495	1767393668.0	2.464096	11748646.0	2.463627	0.0	0.0	results/day/hg38/I20x_HG006_grapev2_0/align/sent/I20x_HG006_grapev2_0.sent.cram	8865043474.0	477.137137	473.0	468.0	121.968016	27306540.0	0.038455	72110276428.0	100.0	479442292.0	100.0	70589595073.0	99.408493	392720404.0	0.553052	47589727680.0	65.995764	317947256.0	66.316064	69225676705.0	97.487741	35668853689.0	98.820238	148.871532	151.0	151.0	11.236684	13931347.0	0.039057	13328197.0	0.037366	36094685120.0	100.0	239997427.0	100.0	35505016429.0	99.540671	150509063.0	0.421962	25125122901.0	69.608927	167606902.0	69.836958	34939109173.0	97.954113	259296678.0	0.718379	6420357.0	2.675177	0.0	0.0	0.0	0.0	0.0	0.0	36094685120.0	239997427.0	35340768328.0	98.126303	147.908896	151.0	151.0	14.391683	14113611.0	0.039936	13978343.0	0.039553	36015591308.0	100.0	239444865.0	100.0	35084578644.0	99.275087	242211341.0	0.68536	22464604779.0	62.374666	150340354.0	62.787045	34286567532.0	97.017041	456911820.0	1.26865	10041299.0	4.193575	0.0	0.0	0.0	0.0	97376.0	0.040667	36015591308.0	239444865.0	716208498.0	0.993213	16461656.0	3.433501	239347489.0	479442292.0	234579094.0	97.967895	479442292.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	476884054.0	99.466414	465135408.0	11748646.0	2.450482	2928023588.0	2837181366.0	5017514.0	466090.0	0.015036	0.161859	91.524266	2629717077.0	84.831703	94.454734	2053266929.0	66.236072	394977626.0	12.741532	36586328.0	1.180234	16908089.0	993292.0	0.032042	0.545436	11848928.0	0.382233	8928158.0	0.288012	22.339663	22.0	315.778303	476884054.0	0.0	0.0	476884054.0	475830199.0	479442292.0	72110276428.0	479442292.0
I30x_HG006_grapev2_0.sent	sent	106530850478.0	98.474068	148.391183	151.0	151.0	12.915514	2.177399	42105842.0	0.039525	3838013043.0	3.56676	25512128.0	3.56596	0.0	0.0	results/day/hg38/I30x_HG006_grapev2_0/align/sent/I30x_HG006_grapev2_0.sent.cram	13381879808.0	476.994739	473.0	460.0	121.97219	40973734.0	0.038462	108181628763.0	100.0	719271992.0	100.0	105900655108.0	99.408439	589221636.0	0.5531	71393380190.0	65.993996	476978629.0	66.314083	103854432943.0	97.48766	53511548142.0	98.820721	148.871979	151.0	151.0	11.234364	20917965.0	0.039091	19993740.0	0.037363	54150129293.0	100.0	360050295.0	100.0	53265732333.0	99.54063	225822069.0	0.422006	37692511587.0	69.607427	251442363.0	69.835344	52416707312.0	97.95401	388849808.0	0.718096	9633342.0	2.675555	0.0	0.0	0.0	0.0	0.0	0.0	54150129293.0	360050295.0	53019302336.0	98.126654	147.909278	151.0	151.0	14.388876	21187877.0	0.039963	20979994.0	0.03957	54031499470.0	100.0	359221697.0	100.0	52634922775.0	99.27502	363399567.0	0.68541	33700868603.0	62.372633	225536266.0	62.7847	51437725631.0	97.016979	685331870.0	1.268393	15066535.0	4.194216	0.0	0.0	0.0	0.0	146232.0	0.040708	54031499470.0	359221697.0	1074181678.0	0.992943	24699877.0	3.434011	359075465.0	719271992.0	351925109.0	97.968779	719271992.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	715435068.0	99.466555	689922940.0	25512128.0	3.546937	2929169130.0	2902745254.0	9488851.0	696863.0	0.02248	0.3061	93.639283	2841263202.0	91.655942	94.491688	2736110590.0	88.263837	2082580412.0	67.181692	678108503.0	21.875014	97874347.0	1328433.0	0.042854	3.157316	27389048.0	0.88354	18639367.0	0.601285	33.137455	33.0	470.047391	715435068.0	0.0	0.0	715435068.0	713853850.0	719271992.0	108181628763.0	719271992.0
I3x_HG006_grapev2_0.sent	sent	10653238137.0	98.473727	148.389745	151.0	151.0	12.922732	2.152136	4203690.0	0.039459	46897285.0	0.435818	311783.0	0.435784	0.0	0.0	results/day/hg38/I3x_HG006_grapev2_0/align/sent/I3x_HG006_grapev2_0.sent.cram	1325102229.0	477.149462	473.0	466.0	122.224453	4093934.0	0.038429	10818355736.0	100.0	71928701.0	100.0	10590242522.0	99.408672	58901681.0	0.552899	7139743220.0	65.996565	47700653.0	66.316578	10385609790.0	97.487822	5351274061.0	98.818848	148.869371	151.0	151.0	11.246991	2088711.0	0.039032	1996550.0	0.03731	5415236225.0	100.0	36006601.0	100.0	5326701387.0	99.540807	22576124.0	0.421883	3769702817.0	69.612897	25147168.0	69.840438	5241779735.0	97.953864	38941253.0	0.719105	963739.0	2.676562	0.0	0.0	0.0	0.0	0.0	0.0	5415236225.0	36006601.0	5301964076.0	98.127833	147.908992	151.0	151.0	14.392108	2114979.0	0.03989	2097384.0	0.039559	5403119511.0	100.0	35922100.0	100.0	5263541135.0	99.275307	36325557.0	0.685134	3370040403.0	62.372124	22553485.0	62.784428	5143830055.0	97.017445	68575848.0	1.26919	1506422.0	4.19358	0.0	0.0	0.0	0.0	14447.0	0.040218	5403119511.0	35922100.0	107517101.0	0.99384	2470161.0	3.43418	35907653.0	71928701.0	35192616.0	97.969261	71928701.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	71545379.0	99.467081	71233596.0	311783.0	0.433461	2796266488.0	26422659.0	742837.0	55777.0	0.001799	0.023963	0.852365	5899164.0	0.1903	90.204399	3718391.0	0.119951	2231707.0	0.071992	1674360.0	0.054013	1384339.0	107009.0	0.003452	0.044657	1199269.0	0.038687	1066892.0	0.034417	3.420653	3.0	49.681511	71545379.0	0.0	0.0	71545379.0	71386915.0	71928701.0	10818355736.0	71928701.0
I5x_HG006_grapev2_0.sent	sent	17746190369.0	98.474103	148.390664	151.0	151.0	12.918727	2.151238	7002833.0	0.039461	124012837.0	0.691835	824463.0	0.691781	0.0	0.0	results/day/hg38/I5x_HG006_grapev2_0/align/sent/I5x_HG006_grapev2_0.sent.cram	2201306563.0	477.154829	473.0	464.0	122.154885	6819903.0	0.03843	18021174967.0	100.0	119818413.0	100.0	17641252100.0	99.408672	98118366.0	0.552898	11893475156.0	65.997224	79460573.0	66.317497	17300515439.0	97.488616	8914071356.0	98.818972	148.869679	151.0	151.0	11.244622	3481346.0	0.039055	3326768.0	0.03732	9020607294.0	100.0	59979176.0	100.0	8873135341.0	99.540771	37609247.0	0.421909	6279327927.0	69.610922	41889052.0	69.839326	8731758700.0	97.954777	64847355.0	0.71888	1604846.0	2.675672	0.0	0.0	0.0	0.0	0.0	0.0	9020607294.0	59979176.0	8832119013.0	98.128466	147.910528	151.0	151.0	14.386784	3521487.0	0.039871	3493135.0	0.03955	9000567673.0	100.0	59839237.0	100.0	8768116759.0	99.275347	60509119.0	0.685103	5614147229.0	62.375479	37571521.0	62.787433	8568756739.0	97.01813	114158940.0	1.268353	2508835.0	4.192625	0.0	0.0	0.0	0.0	24054.0	0.040198	9000567673.0	59839237.0	179006295.0	0.993311	4113681.0	3.433263	59815183.0	119818413.0	58625124.0	97.971042	119818413.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	119179687.0	99.466922	118355224.0	824463.0	0.688094	2898994261.0	264024465.0	1190920.0	88762.0	0.002863	0.038418	8.517134	19639506.0	0.633548	93.518312	8071466.0	0.260376	4136715.0	0.133446	2815662.0	0.09083	2179905.0	204807.0	0.006607	0.070321	1817504.0	0.058631	1581885.0	0.05103	5.683653	5.0	81.624126	119179687.0	0.0	0.0	119179687.0	118916450.0	119818413.0	18021174967.0	119818413.0
