Sample	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
I0-1x_HG006_grapev2_0-sent-sentd-All	All	I0-1x_HG006_grapev2_0	2497573920.0	2494081195.0	3475317.0	17408.0	531.0	0.00991721224247037	0.0049840740396109055	0.9999997870959902	0.029600312169017224	0.9703996878309827	0.9703996878309827	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-1x_HG006_grapev2_0-sent-sentd-DEL_50	DEL_50	I0-1x_HG006_grapev2_0	2497573920.0	2497422306.0	148936.0	2678.0	142.0	0.03468148205705997	0.017663276478425475	0.9999999431413775	0.05035460992907802	0.949645390070922	0.949645390070922	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-1x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I0-1x_HG006_grapev2_0	2497573920.0	2497573919.0	1.0	0.0	7.0		0.0	0.9999999971972802	1.0	0.0	0.0	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-1x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I0-1x_HG006_grapev2_0	2497573920.0	2497428256.0	143591.0	2073.0	82.0	0.028047815233495015	0.014231381810193322	0.9999999671662251	0.038051044083526685	0.9619489559164733	0.9619489559164733	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-1x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I0-1x_HG006_grapev2_0	2497573920.0	2497573916.0	4.0	0.0	0.0		0.0	1.0				HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-1x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I0-1x_HG006_grapev2_0	2497573920.0	2497562651.0	11256.0	13.0	0.0	0.002304555929799681	0.0011536072411039134	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-1x_HG006_grapev2_0-sent-sentd-Indel_gt50	Indel_gt50	I0-1x_HG006_grapev2_0	2497573920.0	2497573655.0	265.0	0.0	0.0		0.0	1.0				HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-1x_HG006_grapev2_0-sent-sentd-SNPts	SNPts	I0-1x_HG006_grapev2_0	2497573920.0	2495406453.0	2158610.0	8857.0	228.0	0.008138560438712238	0.004086336723927054	0.9999999086321273	0.025096312603192075	0.9749036873968079	0.9749036873968079	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-1x_HG006_grapev2_0-sent-sentd-SNPtv	SNPtv	I0-1x_HG006_grapev2_0	2497573920.0	2496557479.0	1012654.0	3787.0	72.0	0.007423306870528276	0.003725745026027089	0.9999999711602883	0.01865768333765224	0.9813423166623477	0.9813423166623477	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-5x_HG006_grapev2_0-sent-sentd-All	All	I0-5x_HG006_grapev2_0	2497573920.0	2494081070.0	3237713.0	255137.0	3618.0	0.13601485230987803	0.07304550725052608	0.9999985493676228	0.013982338505536126	0.9860176614944639	0.9860176614944639	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-5x_HG006_grapev2_0-sent-sentd-DEL_50	DEL_50	I0-5x_HG006_grapev2_0	2497573920.0	2497421138.0	135670.0	17112.0	671.0	0.2006507782956644	0.11200272283384169	0.9999997313229196	0.03773266602935388	0.9622673339706461	0.9622673339706461	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-5x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I0-5x_HG006_grapev2_0	2497573920.0	2497573919.0	1.0	0.0	27.0		0.0	0.9999999891895093	1.0	0.0	0.0	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-5x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I0-5x_HG006_grapev2_0	2497573920.0	2497427330.0	130946.0	15644.0	454.0	0.19231904012588513	0.10671942151579235	0.9999998182129618	0.028202261150453472	0.9717977388495466	0.9717977388495466	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-5x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I0-5x_HG006_grapev2_0	2497573920.0	2497573916.0	4.0	0.0	0.0		0.0	1.0				HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-5x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I0-5x_HG006_grapev2_0	2497573920.0	2497564710.0	8944.0	266.0	3.0	0.05612406371980167	0.028881650380021717	0.99999999879883	0.011152416356877323	0.9888475836431226	0.9888475836431226	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-5x_HG006_grapev2_0-sent-sentd-Indel_gt50	Indel_gt50	I0-5x_HG006_grapev2_0	2497573920.0	2497573698.0	219.0	3.0	0.0	0.026666666666666665	0.013513513513513514	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-5x_HG006_grapev2_0-sent-sentd-SNPts	SNPts	I0-5x_HG006_grapev2_0	2497573920.0	2495406396.0	2015113.0	152411.0	1572.0	0.13130350242321046	0.0703157150739738	0.9999993700428867	0.010208919166401487	0.9897910808335986	0.9897910808335986	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I0-5x_HG006_grapev2_0-sent-sentd-SNPtv	SNPtv	I0-5x_HG006_grapev2_0	2497573920.0	2496557403.0	946816.0	69701.0	891.0	0.12823185163585252	0.06856845483154733	0.999999643108674	0.012621826835902085	0.9873781731640979	0.9873781731640979	HG006	giabHC_x_ultima	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-All	All	I1-5x_HG006_grapev2_0	2518942743.0	2515245529.0	2407622.0	1289592.0	18807.0	0.5152583709527684	0.3488010161164596	0.9999925228534707	0.01437405562064783	0.9856259443793521	0.9856259443793521	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-DEL_50	DEL_50	I1-5x_HG006_grapev2_0	2518942743.0	2518734017.0	122583.0	86143.0	3751.0	0.5769405933962896	0.41270852696837	0.9999985107619984	0.04172692282021047	0.9582730771797895	0.9582730771797895	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I1-5x_HG006_grapev2_0	2518942743.0	2518942742.0	1.0	0.0	59.0		0.0	0.9999999765774753	1.0	0.0	0.0	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I1-5x_HG006_grapev2_0	2518942743.0	2518735949.0	120829.0	85965.0	4100.0	0.579163845461987	0.4157035503931449	0.9999983722020057	0.045522678065841336	0.9544773219341587	0.9544773219341587	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I1-5x_HG006_grapev2_0	2518942743.0	2518942733.0	9.0	1.0	1.0	0.16666666666666669	0.1	0.999999999603008	0.5	0.5	0.5	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I1-5x_HG006_grapev2_0	2518942743.0	2518930399.0	8897.0	3447.0	13.0	0.43621867881548976	0.2792449773169151	0.9999999948390793	0.0037572254335260114	0.996242774566474	0.996242774566474	HG006	giabHC	-1.0	-2.0	sent	sentd
