mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-SNPts	SNPts	Ods10x_HG006_sup-PAY77227_0	2799325643.0	2797104825.0	57884.0	2162934.0	201138.0	0.9435052967464869	0.9739357299877793	0.9999280958169537	0.08508116504065866	0.9149188349593413	0.9149188349593413	HG006	ultima	-1	-2	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-SNPtv	SNPtv	Ods10x_HG006_sup-PAY77227_0	2799325643.0	2798284183.0	28526.0	1012934.0	121661.0	0.930981983451705	0.9726096057457799	0.9999565248906763	0.10722857054719966	0.8927714294528003	0.8927714294528003	HG006	ultima	-1	-2	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-INS_50	INS_50	Ods10x_HG006_sup-PAY77227_0	2799325643.0	2799170042.0	17261.0	138340.0	40136.0	0.8281923029720692	0.8890688363185326	0.9999856616697398	0.22488177682153343	0.7751182231784666	0.7751182231784666	HG006	ultima	-1	-2	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-INS_gt50	INS_gt50	Ods10x_HG006_sup-PAY77227_0	2799325643.0	2799325623.0	12.0	8.0	467.0	0.03232323232323232	0.4	0.9999998331741337	0.9831578947368421	0.01684210526315788	0.016842105263157894	HG006	ultima	-1	-2	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-DEL_50	DEL_50	Ods10x_HG006_sup-PAY77227_0	2799325643.0	2799163050.0	18417.0	144176.0	52162.0	0.8033633205267866	0.8867294409968449	0.9999813654913791	0.2656745000967719	0.734325499903228	0.7343254999032282	HG006	ultima	-1	-2	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-DEL_gt50	DEL_gt50	Ods10x_HG006_sup-PAY77227_0	2799325643.0	2799325618.0	24.0	1.0	153.0	0.011173184357541898	0.04	0.999999945343982	0.9935064935064936	0.00649350649350644	0.006493506493506494	HG006	ultima	-1	-2	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-Indel_50	Indel_50	Ods10x_HG006_sup-PAY77227_0	2799325643.0	2799312397.0	1333.0	11913.0	5377.0	0.7802593659942363	0.8993658462932206	0.999998079174844	0.310989010989011	0.689010989010989	0.689010989010989	HG006	ultima	-1	-2	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-Indel_gt50	Indel_gt50	Ods10x_HG006_sup-PAY77227_0	2799325643.0	2799325107.0	64.0	472.0	347.0	0.6966789667896679	0.8805970149253731	0.9999998760415658	0.4236874236874237	0.5763125763125763	0.5763125763125763	HG006	ultima	-1	-2	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-All	All	Ods10x_HG006_sup-PAY77227_0	2799325643.0	2795731344.0	123521.0	3470778.0	421441.0	0.927207548288804	0.9656341890310183	0.9998492782646711	0.10827782301047295	0.891722176989527	0.891722176989527	HG006	ultima	-1	-2	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-SNPts	SNPts	Ods10x_HG006_sup-PAY77227_0	2518942743.0	2516725011.0	59594.0	2158138.0	18481.0	0.9822328712476541	0.9731284032516102	0.9999926567804551	0.008490691296915077	0.991509308703085	0.991509308703085	HG006	giabHC	-1	-2	ont	sentdont
