Sample	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-All	All	Ods10x_HG006_sup-PAY77227_0	377862616.0	377419692.0	24676.0	418248.0	104667.0	0.866082235237964	0.9442884106528434	0.9997227543137157	0.20016063796219272	0.7998393620378073	0.7998393620378073	HG006	clinvar_genes	-1.0	-2.0	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-DEL_50	DEL_50	Ods10x_HG006_sup-PAY77227_0	377862616.0	377837036.0	6194.0	19386.0	16824.0	0.627480174785564	0.7578577013291634	0.9999554748494563	0.46462303231151614	0.5353769676884839	0.5353769676884839	HG006	clinvar_genes	-1.0	-2.0	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-DEL_gt50	DEL_gt50	Ods10x_HG006_sup-PAY77227_0	377862616.0	377862610.0	5.0	1.0	65.0	0.027777777777777776	0.16666666666666666	0.9999998279798342	0.9848484848484849	0.015151515151515138	0.015151515151515152	HG006	clinvar_genes	-1.0	-2.0	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-INS_50	INS_50	Ods10x_HG006_sup-PAY77227_0	377862616.0	377837055.0	6441.0	19120.0	13025.0	0.662669393130697	0.7480145534212277	0.9999655286562332	0.405195209208275	0.594804790791725	0.594804790791725	HG006	clinvar_genes	-1.0	-2.0	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-INS_gt50	INS_gt50	Ods10x_HG006_sup-PAY77227_0	377862616.0	377862606.0	6.0	4.0	283.0	0.026936026936026935	0.4	0.999999251051087	0.9860627177700348	0.013937282229965153	0.013937282229965157	HG006	clinvar_genes	-1.0	-2.0	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-Indel_50	Indel_50	Ods10x_HG006_sup-PAY77227_0	377862616.0	377860146.0	781.0	1689.0	2198.0	0.5313827277017461	0.6838056680161944	0.9999941830668366	0.565474659120144	0.43452534087985595	0.43452534087985595	HG006	clinvar_genes	-1.0	-2.0	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-Indel_gt50	Indel_gt50	Ods10x_HG006_sup-PAY77227_0	377862616.0	377862533.0	14.0	69.0	196.0	0.396551724137931	0.8313253012048193	0.9999994812931127	0.7396226415094339	0.2603773584905661	0.26037735849056604	HG006	clinvar_genes	-1.0	-2.0	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-SNPts	SNPts	Ods10x_HG006_sup-PAY77227_0	377862616.0	377594796.0	7475.0	260345.0	45243.0	0.9080619733244044	0.9720894630722127	0.9998801954365861	0.1480522795397725	0.8519477204602275	0.8519477204602275	HG006	clinvar_genes	-1.0	-2.0	ont	sentdont
Ods10x_HG006_sup-PAY77227_0-ont-sentdont-SNPtv	SNPtv	Ods10x_HG006_sup-PAY77227_0	377862616.0	377741222.0	3760.0	117634.0	26833.0	0.8849285905040605	0.9690264757731024	0.9999289696424967	0.18573791938643427	0.8142620806135658	0.8142620806135658	HG006	clinvar_genes	-1.0	-2.0	ont	sentdont
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-All	All	Ods15x_HG006_sup-PAY77227_0	3088286401.0	3084448522.0	125165.0	3712714.0	1315480.0	0.8375103611260589	0.9673869342936554	0.9995736939055782	0.261620772786412	0.7383792272135881	0.7383792272135881	HG006	hg38	-1.0	-2.0	ont	sentdont
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-DEL_50	DEL_50	Ods15x_HG006_sup-PAY77227_0	3088286401.0	3088066552.0	42089.0	177760.0	172301.0	0.623817795792318	0.8085549627244154	0.9999442073595335	0.4922027875141761	0.5077972124858239	0.5077972124858239	HG006	hg38	-1.0	-2.0	ont	sentdont
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-DEL_gt50	DEL_gt50	Ods15x_HG006_sup-PAY77227_0	3088286401.0	3088286362.0	37.0	2.0	583.0	0.00641025641025641	0.05128205128205128	0.9999998112222049	0.9965811965811966	0.0034188034188034067	0.003418803418803419	HG006	hg38	-1.0	-2.0	ont	sentdont
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-INS_50	INS_50	Ods15x_HG006_sup-PAY77227_0	3088286401.0	3088066564.0	45613.0	174224.0	135131.0	0.6584528866649534	0.7925144538908373	0.9999562428191725	0.4368153092725186	0.5631846907274813	0.5631846907274813	HG006	hg38	-1.0	-2.0	ont	sentdont
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-INS_gt50	INS_gt50	Ods15x_HG006_sup-PAY77227_0	3088286401.0	3088286359.0	26.0	16.0	2497.0	0.012524461839530333	0.38095238095238093	0.9999991914616422	0.993633107839236	0.006366892160764026	0.006366892160764027	HG006	hg38	-1.0	-2.0	ont	sentdont
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-Indel_50	Indel_50	Ods15x_HG006_sup-PAY77227_0	3088286401.0	3088256363.0	6482.0	23556.0	32680.0	0.5460741358926212	0.7842066715493708	0.9999894180889337	0.5811224126893805	0.4188775873106195	0.4188775873106195	HG006	hg38	-1.0	-2.0	ont	sentdont
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-Indel_gt50	Indel_gt50	Ods15x_HG006_sup-PAY77227_0	3088286401.0	3088285364.0	95.0	942.0	2199.0	0.45093346098611775	0.9083895853423336	0.9999992879549087	0.7000955109837631	0.2999044890162369	0.29990448901623684	HG006	hg38	-1.0	-2.0	ont	sentdont
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-SNPts	SNPts	Ods15x_HG006_sup-PAY77227_0	3088286401.0	3086002285.0	19938.0	2264178.0	514709.0	0.8944012081367521	0.9912710212616171	0.9998332395379644	0.18522127743949285	0.8147787225605072	0.8147787225605071	HG006	hg38	-1.0	-2.0	ont	sentdont
Ods15x_HG006_sup-PAY77227_0-ont-sentdont-SNPtv	SNPtv	Ods15x_HG006_sup-PAY77227_0	3088286401.0	3087203480.0	10885.0	1072036.0	455380.0	0.8213774696523859	0.9899484819298915	0.9998525160904596	0.298137508052816	0.701862491947184	0.701862491947184	HG006	hg38	-1.0	-2.0	ont	sentdont
Ods5x_HG006_sup-PAY77227_0-ont-sentdont-All	All	Ods5x_HG006_sup-PAY77227_0	2518942743.0	2515247063.0	514177.0	3181503.0	149628.0	0.9055325381599136	0.860870800502208	0.9999405151479545	0.04491807737372082	0.9550819226262792	0.9550819226262792	HG006	giabHC	-1.0	-2.0	ont	sentdont
Ods5x_HG006_sup-PAY77227_0-ont-sentdont-DEL_50	DEL_50	Ods5x_HG006_sup-PAY77227_0	2518942743.0	2518736212.0	85278.0	121253.0	25980.0	0.6855021992062504	0.5870934629668185	0.9999896854097292	0.17645500669007627	0.8235449933099237	0.8235449933099237	HG006	giabHC	-1.0	-2.0	ont	sentdont
Ods5x_HG006_sup-PAY77227_0-ont-sentdont-DEL_gt50	DEL_gt50	Ods5x_HG006_sup-PAY77227_0	2518942743.0	2518942742.0	1.0	0.0	12.0		0.0	0.9999999952360966	1.0	0.0	0.0	HG006	giabHC	-1.0	-2.0	ont	sentdont
Ods5x_HG006_sup-PAY77227_0-ont-sentdont-INS_50	INS_50	Ods5x_HG006_sup-PAY77227_0	2518942743.0	2518738602.0	84679.0	119462.0	22656.0	0.6900152775812325	0.585193567191304	0.999991005102239	0.15941682264034113	0.8405831773596588	0.8405831773596589	HG006	giabHC	-1.0	-2.0	ont	sentdont
Ods5x_HG006_sup-PAY77227_0-ont-sentdont-INS_gt50	INS_gt50	Ods5x_HG006_sup-PAY77227_0	2518942743.0	2518942733.0	3.0	7.0	29.0	0.30434782608695654	0.7	0.9999999884872335	0.8055555555555556	0.19444444444444442	0.19444444444444445	HG006	giabHC	-1.0	-2.0	ont	sentdont
Ods5x_HG006_sup-PAY77227_0-ont-sentdont-Indel_50	Indel_50	Ods5x_HG006_sup-PAY77227_0	2518942743.0	2518923916.0	9492.0	9335.0	826.0	0.6440596108734649	0.49583045625962713	0.9999996720823031	0.0812912114949316	0.9187087885050684	0.9187087885050684	HG006	giabHC	-1.0	-2.0	ont	sentdont
Ods5x_HG006_sup-PAY77227_0-ont-sentdont-Indel_gt50	Indel_gt50	Ods5x_HG006_sup-PAY77227_0	2518942743.0	2518942496.0	62.0	185.0	4.0	0.8486238532110092	0.7489878542510121	0.999999998412032	0.021164021164021163	0.9788359788359788	0.9788359788359788	HG006	giabHC	-1.0	-2.0	ont	sentdont
Ods5x_HG006_sup-PAY77227_0-ont-sentdont-SNPts	SNPts	Ods5x_HG006_sup-PAY77227_0	2518942743.0	2516726506.0	222252.0	1993985.0	68832.0	0.9319746841241079	0.8997165014391512	0.9999726509347182	0.03336796235439208	0.9666320376456079	0.9666320376456079	HG006	giabHC	-1.0	-2.0	ont	sentdont
Ods5x_HG006_sup-PAY77227_0-ont-sentdont-SNPtv	SNPtv	Ods5x_HG006_sup-PAY77227_0	2518942743.0	2517893057.0	112410.0	937276.0	31289.0	0.9288002334694744	0.8929108323822552	0.9999875734947916	0.03230449169647881	0.9676955083035212	0.9676955083035211	HG006	giabHC	-1.0	-2.0	ont	sentdont
