mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPts	SNPts	Uds10x_HG006_408622-Z0116_0	2799325643.0	2797105047.0	104497.0	2116099.0	153664.0	0.9425077148619966	0.9529419128918543	0.9999450662180814	0.06770046035643369	0.9322995396435663	0.9322995396435663	HG006	ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPtv	SNPtv	Uds10x_HG006_408622-Z0116_0	2799325643.0	2798284244.0	55088.0	986311.0	89589.0	0.9316690746087349	0.9471019273112419	0.9999679853352889	0.08326889116088856	0.9167311088391115	0.9167311088391115	HG006	ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_50	INS_50	Uds10x_HG006_408622-Z0116_0	2799325643.0	2799169111.0	20722.0	135810.0	34593.0	0.8308073470261672	0.8676181228119489	0.9999876418425888	0.20300698931356842	0.7969930106864316	0.7969930106864316	HG006	ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_gt50	INS_gt50	Uds10x_HG006_408622-Z0116_0	2799325643.0	2799325623.0	15.0	5.0	190.0	0.04651162790697674	0.25	0.9999999321265145	0.9743589743589743	0.02564102564102566	0.02564102564102564	HG006	ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_50	DEL_50	Uds10x_HG006_408622-Z0116_0	2799325643.0	2799162299.0	27106.0	136238.0	40008.0	0.8023675608822404	0.8340557351356646	0.9999857073567352	0.22700089647424623	0.7729991035257537	0.7729991035257537	HG006	ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_gt50	DEL_gt50	Uds10x_HG006_408622-Z0116_0	2799325643.0	2799325619.0	23.0	1.0	380.0	0.0049382716049382715	0.041666666666666664	0.999999864253038	0.9973753280839895	0.002624671916010457	0.0026246719160104987	HG006	ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-Indel_50	Indel_50	Uds10x_HG006_408622-Z0116_0	2799325643.0	2799314234.0	981.0	10428.0	3145.0	0.8348410855816188	0.9140152511175388	0.9999988765118155	0.23171001252486553	0.7682899874751344	0.7682899874751344	HG006	ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-Indel_gt50	Indel_gt50	Uds10x_HG006_408622-Z0116_0	2799325643.0	2799325065.0	55.0	523.0	322.0	0.7350667603654251	0.9048442906574394	0.999999884972286	0.3810650887573965	0.6189349112426035	0.6189349112426036	HG006	ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds10x_HG006_408622-Z0116_0	2799325643.0	2795731741.0	208487.0	3385415.0	321891.0	0.9273575002931022	0.9419886797135815	0.999884876671779	0.08682612117801984	0.9131738788219802	0.9131738788219802	HG006	ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPts	SNPts	Uds10x_HG006_408622-Z0116_0	336562667.0	336302287.0	15419.0	244961.0	1824.0	0.9660012027643864	0.9407827022044704	0.9999945763374865	0.007391048888708795	0.9926089511112912	0.9926089511112912	HG006	giabHC_x_clinvar_genes	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPtv	SNPtv	Uds10x_HG006_408622-Z0116_0	336562667.0	336444954.0	8336.0	109377.0	1406.0	0.9573646803445137	0.9291836925403312	0.9999958210277561	0.012691477934340107	0.9873085220656599	0.9873085220656599	HG006	giabHC_x_clinvar_genes	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_50	INS_50	Uds10x_HG006_408622-Z0116_0	336562667.0	336539098.0	6457.0	17112.0	995.0	0.8211920529801324	0.7260384403241547	0.9999970434429042	0.05495112387474457	0.9450488761252555	0.9450488761252555	HG006	giabHC_x_clinvar_genes	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_gt50	INS_gt50	Uds10x_HG006_408622-Z0116_0	336562667.0	336562664.0	2.0	1.0	1.0	0.4	0.3333333333333333	0.9999999970287852	0.5	0.5	0.5	HG006	giabHC_x_clinvar_genes	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_50	DEL_50	Uds10x_HG006_408622-Z0116_0	336562667.0	336538795.0	7369.0	16503.0	356.0	0.8103410178979156	0.6913119973190348	0.9999989421735958	0.021116317693813395	0.9788836823061866	0.9788836823061866	HG006	giabHC_x_clinvar_genes	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_gt50	DEL_gt50	Uds10x_HG006_408622-Z0116_0	336562667.0	336562667.0	0.0	0.0	2.0			0.9999999940575703	1.0	0.0	0.0	HG006	giabHC_x_clinvar_genes	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-Indel_50	Indel_50	Uds10x_HG006_408622-Z0116_0	336562667.0	336561013.0	696.0	958.0	32.0	0.724659606656581	0.5792019347037485	0.999999904920666	0.03232323232323232	0.9676767676767677	0.9676767676767677	HG006	giabHC_x_clinvar_genes	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-Indel_gt50	Indel_gt50	Uds10x_HG006_408622-Z0116_0	336562667.0	336562638.0	8.0	21.0	0.0	0.8400000000000001	0.7241379310344828	1.0	0.0	1.0	1.0	HG006	giabHC_x_clinvar_genes	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds10x_HG006_408622-Z0116_0	336562667.0	336135447.0	38287.0	388933.0	4616.0	0.9477282889582819	0.9103810683020458	0.9999862676291579	0.011729162061141052	0.988270837938859	0.988270837938859	HG006	giabHC_x_clinvar_genes	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPts	SNPts	Uds10x_HG006_408622-Z0116_0	331588110.0	331336583.0	12011.0	239516.0	913.0	0.973729357910057	0.9522476712241628	0.9999972445014191	0.0037973788519687726	0.9962026211480313	0.9962026211480313	HG006	giabHC_x_ultima_x_clinvar	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPtv	SNPtv	Uds10x_HG006_408622-Z0116_0	331588110.0	331475875.0	6279.0	105956.0	802.0	0.9676656331480915	0.944054884839845	0.9999975805235914	0.007512317578073775	0.9924876824219262	0.9924876824219262	HG006	giabHC_x_ultima_x_clinvar	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_50	INS_50	Uds10x_HG006_408622-Z0116_0	331588110.0	331571488.0	2298.0	14324.0	463.0	0.9120952593205769	0.8617494886295272	0.9999986036213299	0.03131128694123216	0.9686887130587678	0.9686887130587678	HG006	giabHC_x_ultima_x_clinvar	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_gt50	INS_gt50	Uds10x_HG006_408622-Z0116_0	331588110.0	331588109.0	1.0	0.0	1.0		0.0	0.9999999969842103	1.0	0.0	0.0	HG006	giabHC_x_ultima_x_clinvar	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_50	DEL_50	Uds10x_HG006_408622-Z0116_0	331588110.0	331570342.0	2931.0	14837.0	77.0	0.9079615690594212	0.835040522287258	0.9999997677718048	0.00516293415582674	0.9948370658441733	0.9948370658441733	HG006	giabHC_x_ultima_x_clinvar	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_gt50	DEL_gt50	Uds10x_HG006_408622-Z0116_0	331588110.0	331588110.0	0.0	0.0	1.0			0.9999999969842104	1.0	0.0	0.0	HG006	giabHC_x_ultima_x_clinvar	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-Indel_50	Indel_50	Uds10x_HG006_408622-Z0116_0	331588110.0	331587263.0	61.0	786.0	13.0	0.9550425273390036	0.9279811097992916	0.9999999607946356	0.016270337922403004	0.983729662077597	0.983729662077597	HG006	giabHC_x_ultima_x_clinvar	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-Indel_gt50	Indel_gt50	Uds10x_HG006_408622-Z0116_0	331588110.0	331588093.0	2.0	15.0	0.0	0.9375	0.8823529411764706	1.0	0.0	1.0	1.0	HG006	giabHC_x_ultima_x_clinvar	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds10x_HG006_408622-Z0116_0	331588110.0	331189093.0	23583.0	375434.0	2270.0	0.9667152040436656	0.9408972550041728	0.9999931459565267	0.006009997246521085	0.9939900027534789	0.9939900027534789	HG006	giabHC_x_ultima_x_clinvar	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPts	SNPts	Uds10x_HG006_408622-Z0116_0	2497573920.0	2495406672.0	99755.0	2067493.0	8215.0	0.9745531181563042	0.9539715805482344	0.9999967079622539	0.0039576857631227515	0.9960423142368773	0.9960423142368773	HG006	giabHC_x_ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPtv	SNPtv	Uds10x_HG006_408622-Z0116_0	2497573920.0	2496557345.0	52600.0	963975.0	8114.0	0.9694699557089583	0.9482576297862922	0.9999967499350074	0.008346972345124777	0.9916530276548752	0.9916530276548752	HG006	giabHC_x_ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_50	INS_50	Uds10x_HG006_408622-Z0116_0	2497573920.0	2497427170.0	19401.0	127349.0	4281.0	0.9149292334219412	0.8677955706984668	0.9999982858388372	0.03252298108333966	0.9674770189166604	0.9674770189166604	HG006	giabHC_x_ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_gt50	INS_gt50	Uds10x_HG006_408622-Z0116_0	2497573920.0	2497573916.0	3.0	1.0	4.0	0.22222222222222224	0.25	0.9999999983984458	0.8	0.19999999999999996	0.2	HG006	giabHC_x_ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_50	DEL_50	Uds10x_HG006_408622-Z0116_0	2497573920.0	2497420816.0	25383.0	127721.0	711.0	0.9073155830870652	0.8342107325739366	0.9999997153063701	0.005536003488227233	0.9944639965117728	0.9944639965117728	HG006	giabHC_x_ultima	-1	-2	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_gt50	DEL_gt50	Uds10x_HG006_408622-Z0116_0	2497573920.0	2497573919.0	0.0	1.0	6.0	0.25	1.0	0.9999999975976687	0.8571428571428571	0.1428571428571429	0.14285714285714285	HG006	giabHC_x_ultima	-1	-2	ug	sentdug
