Sample	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
Uds10x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds10x_HG006_408622-Z0116_0	2518942743.0	2515246280.0	309743.0	3386720.0	38506.0	0.9511002235565188	0.9162055727326366	0.9999846911967128	0.011241885936869566	0.9887581140631304	0.9887581140631304	HG006	giabHC	-1.0	-2.0	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_50	DEL_50	Uds10x_HG006_408622-Z0116_0	2518942743.0	2518736571.0	64059.0	142113.0	3119.0	0.808829723053807	0.6892934055060823	0.9999987616822761	0.0214759832543792	0.9785240167456208	0.9785240167456208	HG006	giabHC	-1.0	-2.0	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-DEL_gt50	DEL_gt50	Uds10x_HG006_408622-Z0116_0	2518942743.0	2518942742.0	0.0	1.0	10.0	0.16666666666666669	1.0	0.9999999960300805	0.9090909090909091	0.09090909090909094	0.09090909090909091	HG006	giabHC	-1.0	-2.0	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_50	INS_50	Uds10x_HG006_408622-Z0116_0	2518942743.0	2518737942.0	53663.0	151138.0	8899.0	0.8285211518536995	0.7379749122318738	0.9999964668938318	0.05560589113767441	0.9443941088623256	0.9443941088623256	HG006	giabHC	-1.0	-2.0	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-INS_gt50	INS_gt50	Uds10x_HG006_408622-Z0116_0	2518942743.0	2518942733.0	6.0	4.0	4.0	0.4444444444444445	0.4	0.9999999984120321	0.5	0.5	0.5	HG006	giabHC	-1.0	-2.0	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-Indel_50	Indel_50	Uds10x_HG006_408622-Z0116_0	2518942743.0	2518925503.0	7390.0	9850.0	184.0	0.7222996260174526	0.5713457076566125	0.999999926952986	0.018337651983256927	0.9816623480167431	0.9816623480167431	HG006	giabHC	-1.0	-2.0	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-Indel_gt50	Indel_gt50	Uds10x_HG006_408622-Z0116_0	2518942743.0	2518942455.0	43.0	245.0	0.0	0.9193245778611632	0.8506944444444444	1.0	0.0	1.0	1.0	HG006	giabHC	-1.0	-2.0	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPts	SNPts	Uds10x_HG006_408622-Z0116_0	2518942743.0	2516725243.0	119296.0	2098204.0	13592.0	0.9693049401103552	0.946202480270575	0.9999945993601677	0.006436227741694747	0.9935637722583053	0.9935637722583053	HG006	giabHC	-1.0	-2.0	ug	sentdug
Uds10x_HG006_408622-Z0116_0-ug-sentdug-SNPtv	SNPtv	Uds10x_HG006_408622-Z0116_0	2518942743.0	2517892292.0	65286.0	985165.0	12698.0	0.9619277122550546	0.9378495522399427	0.9999949569185294	0.012725193739020287	0.9872748062609797	0.9872748062609797	HG006	giabHC	-1.0	-2.0	ug	sentdug
Uds15x_HG006_408622-Z0116_0-ug-sentdug-All	All	Uds15x_HG006_408622-Z0116_0	336562667.0	336135482.0	22687.0	404498.0	3954.0	0.9681189320243119	0.9468918618397182	0.999988237024352	0.009680452048221088	0.9903195479517789	0.9903195479517789	HG006	giabHC_x_clinvar_genes	-1.0	-2.0	ug	sentdug
Uds15x_HG006_408622-Z0116_0-ug-sentdug-DEL_50	DEL_50	Uds15x_HG006_408622-Z0116_0	336562667.0	336538861.0	5932.0	17874.0	299.0	0.851568641463589	0.750819121229942	0.9999991115447011	0.016452979695152147	0.9835470203048479	0.9835470203048479	HG006	giabHC_x_clinvar_genes	-1.0	-2.0	ug	sentdug
Uds15x_HG006_408622-Z0116_0-ug-sentdug-DEL_gt50	DEL_gt50	Uds15x_HG006_408622-Z0116_0	336562667.0	336562667.0	0.0	0.0	2.0			0.9999999940575703	1.0	0.0	0.0	HG006	giabHC_x_clinvar_genes	-1.0	-2.0	ug	sentdug
Uds15x_HG006_408622-Z0116_0-ug-sentdug-INS_50	INS_50	Uds15x_HG006_408622-Z0116_0	336562667.0	336539197.0	4940.0	18530.0	931.0	0.8632456732896973	0.7895185342991052	0.9999972336136985	0.047839268280150046	0.9521607317198499	0.9521607317198499	HG006	giabHC_x_clinvar_genes	-1.0	-2.0	ug	sentdug
