chrom	length	bases	mean	min	max
chr1	248956422	8519800237	34.22	0	16595
chr1_region	248956422	8519800237	34.22	0	16595
chr2	242193529	8334202196	34.41	0	787
chr2_region	242193529	8334202196	34.41	0	787
chr3	198295559	6809419777	34.34	0	1453
chr3_region	198295559	6809419777	34.34	0	1453
chr4	190214555	6681238861	35.12	0	4693
chr4_region	190214555	6681238861	35.12	0	4693
chr5	181538259	6217328630	34.25	0	4721
chr5_region	181538259	6217328630	34.25	0	4721
chr6	170805979	5899376589	34.54	0	669
chr6_region	170805979	5899376589	34.54	0	669
chr7	159345973	5530423258	34.71	0	452
chr7_region	159345973	5530423258	34.71	0	452
chr8	145138636	5023951638	34.61	0	1317
chr8_region	145138636	5023951638	34.61	0	1317
chr9	138394717	4193016234	30.30	0	394
chr9_region	138394717	4193016234	30.30	0	394
chr10	133797422	4663932238	34.86	0	1349
chr10_region	133797422	4663932238	34.86	0	1349
chr11	135086622	4585485868	33.94	0	156
chr11_region	135086622	4585485868	33.94	0	156
chr12	133275309	4621225953	34.67	0	1851
chr12_region	133275309	4621225953	34.67	0	1851
chr13	114364328	3559339266	31.12	0	916
chr13_region	114364328	3559339266	31.12	0	916
chr14	107043718	3062376529	28.61	0	173
chr14_region	107043718	3062376529	28.61	0	173
chr15	101991189	2930242945	28.73	0	296
chr15_region	101991189	2930242945	28.73	0	296
chr16	90338345	3120945601	34.55	0	20622
chr16_region	90338345	3120945601	34.55	0	20622
chr17	83257441	2841103688	34.12	0	618
chr17_region	83257441	2841103688	34.12	0	618
chr18	80373285	2698151631	33.57	0	611
chr18_region	80373285	2698151631	33.57	0	611
chr19	58617616	1947030551	33.22	0	407
chr19_region	58617616	1947030551	33.22	0	407
chr20	64444167	2334047212	36.22	0	2032
chr20_region	64444167	2334047212	36.22	0	2032
chr21	46709983	1540222981	32.97	0	3525
chr21_region	46709983	1540222981	32.97	0	3525
chr22	50818468	1315043329	25.88	0	689
chr22_region	50818468	1315043329	25.88	0	689
chrX	156040895	5258113424	33.70	0	359
chrX_region	156040895	5258113424	33.70	0	359
chrY	57227415	67538180	1.18	0	1785
chrY_region	57227415	67538180	1.18	0	1785
chrM	16569	52150993	3147.50	1696	3723
chrM_region	16569	52150993	3147.50	1696	3723
chr1_KI270706v1_random	175055	7924885	45.27	7	95
chr1_KI270706v1_random_region	175055	7924885	45.27	7	95
chr1_KI270707v1_random	32032	674014	21.04	9	32
chr1_KI270707v1_random_region	32032	674014	21.04	9	32
chr1_KI270708v1_random	127682	1990629	15.59	3	26
chr1_KI270708v1_random_region	127682	1990629	15.59	3	26
chr1_KI270709v1_random	66860	34226772	511.92	34	2117
chr1_KI270709v1_random_region	66860	34226772	511.92	34	2117
chr1_KI270710v1_random	40176	1531123	38.11	11	53
chr1_KI270710v1_random_region	40176	1531123	38.11	11	53
chr1_KI270711v1_random	42210	1475750	34.96	2	76
chr1_KI270711v1_random_region	42210	1475750	34.96	2	76
chr1_KI270712v1_random	176043	4576308	26.00	4	49
chr1_KI270712v1_random_region	176043	4576308	26.00	4	49
chr1_KI270713v1_random	40745	2454624	60.24	2	110
